watch_date,ts_code,name,signal_score,close,pivot,trigger_price,stop_loss,rs20_xsec_q,box_range_pct,industry
20250901,603508.SH,思维列控,81.67,37.16,34.33,34.4,33.18,0.9247,6.24,IT设备
20250901,603257.SH,中国瑞林,60.36,60.48,56.3,56.41,54.38,0.8134,6.93,建筑工程
20250917,000683.SZ,博源化工,70.51,6.3,6.65,6.66,6.38,0.8225,7.78,化工原料
20250924,603150.SH,万朗磁塑,61.51,40.43,40.78,40.86,38.83,0.8607,7.91,塑料
20250930,600499.SH,科达制造,63.25,12.23,12.08,12.1,11.71,0.8226,7.2,专用机械
20251009,600378.SH,昊华科技,67.12,31.81,30.9,30.96,29.79,0.8203,7.45,化工原料
20251010,605058.SH,澳弘电子,61.75,29.7,31.0,31.06,29.87,0.8165,7.0,元器件
20251015,601059.SH,信达证券,62.96,19.91,19.65,19.69,18.87,0.8018,6.78,证券
20251016,603069.SH,海汽集团,68.2,24.02,22.79,22.84,21.8,0.9206,7.29,公共交通
20251027,600867.SH,通化东宝,63.16,8.97,9.04,9.06,8.8,0.8612,6.91,生物制药
20251028,603998.SH,方盛制药,71.24,12.58,12.63,12.66,12.12,0.9024,6.28,中成药
20251028,603966.SH,法兰泰克,63.38,11.68,11.99,12.01,11.57,0.8171,6.25,专用机械
20251028,600235.SH,民丰特纸,63.03,7.09,7.46,7.47,7.19,0.8065,7.05,造纸
20251028,000159.SZ,国际实业,62.02,6.14,6.23,6.24,6.05,0.8431,7.33,石油贸易
20251029,000159.SZ,国际实业,67.74,6.14,6.23,6.24,6.05,0.8495,7.33,石油贸易
20251029,603998.SH,方盛制药,67.47,12.6,12.74,12.77,12.22,0.8174,6.9,中成药
20251029,603966.SH,法兰泰克,67.15,11.81,11.99,12.01,11.6,0.8151,6.18,专用机械
20251029,601336.SH,新华保险,66.88,70.05,70.5,70.64,67.83,0.9073,7.38,保险
20251029,600773.SH,西藏城投,64.06,11.36,11.47,11.49,11.13,0.8071,5.28,区域地产
20251030,601336.SH,新华保险,73.84,70.9,70.5,70.64,67.82,0.9375,5.33,保险
20251031,600251.SH,冠农股份,73.01,8.81,9.02,9.04,8.79,0.8124,4.09,农业综合
20251031,603536.SH,惠发食品,71.54,11.32,11.33,11.35,10.89,0.8755,6.8,食品
20251031,000159.SZ,国际实业,70.86,6.05,6.23,6.24,6.07,0.8119,7.44,石油贸易
20251031,600039.SH,四川路桥,61.22,9.48,9.1,9.12,8.8,0.8903,6.96,建筑工程
20251103,600444.SH,国机通用,75.51,20.09,18.86,18.9,18.22,0.893,4.13,专用机械
20251103,000035.SZ,中国天楹,75.23,5.92,5.98,5.99,5.78,0.9189,5.74,环境保护
20251103,000159.SZ,国际实业,73.94,6.16,6.23,6.24,6.07,0.8129,6.66,石油贸易
20251103,603610.SH,麒盛科技,72.07,18.64,17.98,18.02,17.1,0.8156,6.49,家居用品
20251103,601677.SH,明泰铝业,71.67,15.35,15.3,15.33,14.82,0.8394,6.84,铝
20251103,600257.SH,大湖股份,70.03,5.76,5.79,5.8,5.62,0.8066,5.56,渔业
20251103,600526.SH,菲达环保,66.87,5.79,5.63,5.64,5.47,0.8299,6.91,环境保护
20251104,603959.SH,百利科技,76.13,7.2,7.3,7.31,6.9,0.8672,7.92,建筑工程
20251104,000035.SZ,中国天楹,73.14,5.93,5.98,5.99,5.79,0.8277,5.73,环境保护
20251104,600257.SH,大湖股份,72.8,5.77,5.81,5.82,5.65,0.8097,5.72,渔业
20251104,000528.SZ,柳工,62.37,11.95,12.12,12.14,11.71,0.8224,7.36,工程机械
20251105,000159.SZ,国际实业,76.96,6.3,6.25,6.26,6.08,0.8204,4.6,石油贸易
20251105,000035.SZ,中国天楹,75.49,6.03,5.98,5.99,5.79,0.8623,5.64,环境保护
20251105,603105.SH,芯能科技,69.35,10.52,9.61,9.63,9.29,0.8686,5.23,电气设备
20251106,600257.SH,大湖股份,75.37,5.94,5.87,5.88,5.72,0.8808,6.57,渔业
20251106,601077.SH,渝农商行,69.7,7.09,7.22,7.23,7.01,0.8135,7.19,银行
20251106,600919.SH,江苏银行,66.41,11.1,11.26,11.28,10.99,0.8429,7.3,银行
20251106,603126.SH,中材节能,66.07,7.49,7.43,7.44,7.23,0.8362,7.88,环境保护
20251106,601968.SH,宝钢包装,65.56,5.51,5.6,5.61,5.43,0.8421,6.53,广告包装
