signal_date,confirm_date,ts_code,signal_score,signal_grade,entry_price,ret_t1,ret_t2,ret_t3
20250930,20251009,600499.SH,63.25,A,12.1,-0.0008264462809917106,-0.01983471074380172,-0.0380165289256198
20251015,20251016,601059.SH,62.96,A,19.69,0.015744032503808958,0.011173184357541777,0.003047232097511454
20251029,20251030,601336.SH,66.88,B,70.64,-0.040062287655719064,-0.057899207248018114,-0.055067950169875424
20251030,20251031,601336.SH,73.84,B,70.64,-0.057899207248018114,-0.055067950169875424,-0.0618629671574179
20251103,20251104,000159.SZ,73.94,B,6.24,0.009615384615384581,0.0032051282051281937,0.019230769230769162
20251103,20251104,601677.SH,71.67,B,15.33,-0.030658838878017014,0.010437051532941943,0.004566210045662045
20251103,20251104,600526.SH,66.87,A,5.64,0.015957446808510856,0.02127659574468077,0.03900709219858167
20251105,20251106,603105.SH,69.35,A,9.63,0.1298026998961579,0.13811007268951192,0.15057113187954307
20251106,20251107,600257.SH,75.37,A,5.88,0.028911564625850428,0.04081632653061229,0.03231292517006801
20251106,20251107,603126.SH,66.07,B,7.44,0.04166666666666652,0.03629032258064502,0.029569892473118253
20251107,20251110,600075.SH,66.62,A,5.02,0.033864541832669515,0.02589641434262968,0.09362549800796827
20251110,20251111,601226.SH,72.96,A,7.99,0.0,0.027534418022528317,0.003754693366708306
20251110,20251111,000159.SZ,72.73,A,6.45,0.03875968992248069,0.03875968992248069,0.06201550387596888
20251111,20251112,601288.SH,80.96,B,8.36,0.02392344497607679,0.01674641148325362,-0.004784688995215225
20251111,20251112,603660.SH,68.77,A,9.12,0.0274122807017545,0.04276315789473695,0.11513157894736858
20251112,20251113,603660.SH,71.65,A,9.2,0.033695652173913127,0.10543478260869565,0.12717391304347836
20251114,20251117,600679.SH,72.7,A,13.75,0.012363636363636354,-0.0036363636363636598,-0.0036363636363636598
20251114,20251117,600776.SH,67.11,A,13.45,-0.015613382899628214,-0.0342007434944237,-0.04163568773234194
20251114,20251117,603456.SH,64.73,A,20.54,0.044790652385589214,-0.020447906523855752,-0.04089581304771173
20251118,20251119,601058.SH,71.31,A,16.48,-0.022451456310679685,-0.03276699029126218,-0.04429611650485443
20251120,20251121,600331.SH,74.26,A,11.27,-0.06211180124223592,-0.04081632653061218,-0.03815439219165928
20251125,20251126,603338.SH,72.12,A,55.33,-0.00777155250316286,0.017531176576902174,0.006506416049159469
20251125,20251126,603638.SH,69.14,A,19.92,-0.0010040160642571516,0.011044176706827225,0.005020080321284981
20251126,20251127,600690.SH,71.0,A,27.6,-0.0007246376811594901,-0.004710144927536297,0.005797101449275477
20251127,20251128,605507.SH,62.01,A,24.16,0.009519867549668826,0.005794701986755024,0.013658940397350827
20251128,20251201,603338.SH,71.38,B,56.09,-0.014441076840791656,0.05794259226243548,0.06650026742734894
20251128,20251201,605507.SH,61.23,A,24.27,0.0012360939431397266,0.0090646889163577,0.006592501030078246
20251202,20251203,603187.SH,71.52,B,15.53,-0.030264005151319995,-0.02446877012234383,-0.051513200257565894
20251203,20251204,603338.SH,73.8,A,56.66,0.07042004941757862,0.07147899752912124,0.06900811860218847
20251205,20251208,601318.SH,60.5,A,60.34,0.03496851176665561,0.03662578720583354,0.03629433211799804
20251217,20251218,600993.SH,65.65,A,29.5,0.021016949152542486,0.0077966101694915135,-0.017966101694915304
20251217,20251218,601156.SH,63.85,B,17.29,0.037015615962984416,0.055523423944476624,0.03990746096009268
20251217,20251218,600298.SH,63.06,A,41.94,0.06318550309966642,0.08726752503576551,0.05412494039103488
20251217,20251218,605099.SH,62.42,B,38.19,-0.002356637863314859,0.012306886619533941,0.0010473946059177397
20251217,20251218,603313.SH,60.94,B,9.66,0.013457556935817738,0.005175983436852993,-0.005175983436853104
20251218,20251219,600795.SH,85.41,A,5.97,-0.0167504187604689,-0.01005025125628134,-0.00670016750418756
20251218,20251219,600993.SH,66.85,A,29.5,0.0077966101694915135,-0.017966101694915304,-0.02745762711864408
20251218,20251219,603313.SH,63.91,B,9.66,0.005175983436852993,-0.005175983436853104,-0.010351966873705987
20251219,20251222,601899.SH,73.47,A,32.01,0.002499218994064467,0.009372071227741419,0.0006248047485162278
20251219,20251222,600298.SH,70.5,A,42.55,0.03901292596944783,0.03525264394829608,0.033137485311398374
20251219,20251222,000672.SZ,63.02,A,11.53,-0.0095403295750216,0.027753686036426695,0.038161318300086844
20251222,20251223,601899.SH,75.49,A,32.01,0.009372071227741419,0.0006248047485162278,0.04748516088722288
20251222,20251223,600428.SH,67.35,B,7.31,-0.009575923392612817,-0.015047879616962967,-0.01641586867305056
20251222,20251223,000672.SZ,66.01,A,11.53,0.027753686036426695,0.038161318300086844,0.038161318300086844
20251224,20251225,603901.SH,83.72,B,14.22,-0.02320675105485237,0.005625879043600568,-0.002812939521800395
20251224,20251225,000672.SZ,68.95,A,11.59,0.032786885245901676,0.0051768766177739955,0.018981880931837836
20251225,20251226,603901.SH,82.48,B,14.2,0.007042253521126751,-0.0014084507042253502,0.0
20251226,20251229,601168.SH,82.1,A,26.43,0.019674612183125273,0.04578130911842604,0.06205069996216417
20251226,20251229,000737.SZ,80.66,A,14.95,0.008695652173912993,0.02943143812709037,0.04013377926421424
20251226,20251229,000612.SZ,72.98,A,10.47,0.05921680993314227,0.05253104106972284,0.08118433619866283
20251226,20251229,000630.SZ,72.93,A,5.65,0.0265486725663715,0.06371681415929187,0.030088495575221197
20251226,20251229,601689.SH,72.36,B,72.59,0.07287505166000807,0.06323185011709609,0.060889929742388826
20251226,20251229,000899.SZ,67.92,A,10.37,-0.03375120540019283,-0.045323047251687454,-0.03857280617164882
20251226,20251229,600057.SH,64.36,B,8.86,-0.02483069977426622,-0.038374717832957095,-0.053047404063205295
20251229,20251230,000425.SZ,68.11,B,11.4,0.015789473684210575,0.012280701754385781,0.03157894736842093
20251230,20251231,000425.SZ,67.28,B,11.46,0.00698080279232105,0.02617801047120416,0.023560209424083656
20251231,20260105,600869.SH,73.53,A,8.1,0.1148148148148147,0.22592592592592586,0.3481481481481481
