signal_date,entry_date,exit_date,hold_bars,ts_code,name,setup_type,signal_score,single_peak_dense_score,trigger_price,stop_loss,entry_price,exit_price,exit_reason,pnl_pct,r_multiple,risk_pct,hit_1r,hit_2r,hit_3r,volume_ratio,platform_range,chip_concentration,chip_low_position
20250507,20250508,20250514,5,603668.SH,天马科技,pullback,58.67,0.4605,13.21,13.05,13.21,13.63,time_exit,0.03179409538228617,2.6249999999999973,0.012112036336109019,1,1,1,0.86,8.02,9.26,50.94
20250508,20250509,20250515,5,603668.SH,天马科技,pullback,59.57,0.4588,13.31,13.13,13.31,13.71,time_exit,0.03005259203606303,2.2222222222222276,0.013523666416228378,1,1,1,0.75,8.15,9.5,48.59
20250516,20250519,20250523,5,600222.SH,太龙药业,pullback,58.56,0.4598,5.42,5.31,5.42,5.37,time_exit,-0.009225092250922495,-0.4545454545454516,0.02029520295202958,0,0,0,1.12,8.41,5.83,57.43
20250805,20250806,20250806,1,603270.SH,金帝股份,pullback,64.8,0.6674,27.26,27.11,27.3,27.11,stop_loss,-0.006959706959707046,-1.0,0.006959706959707006,0,0,0,0.96,7.18,4.6,51.66
20250808,20250811,20250814,4,603270.SH,金帝股份,pullback,64.71,0.4849,27.59,27.23,27.61,27.23,stop_loss,-0.013763129300977894,-1.0,0.01376312930097787,0,0,0,0.84,7.28,5.26,52.84
20250819,20250820,20250821,2,001335.SZ,信凯科技,pullback,57.41,0.6025,40.2,39.71,40.2,39.71,stop_loss,-0.01218905472636822,-1.0,0.012189054726368208,0,0,0,1.1,8.11,3.38,11.07
20250820,20250821,20250821,1,001335.SZ,信凯科技,pullback,57.39,0.5649,40.19,39.9,40.2,39.9,stop_loss,-0.007462686567164312,-1.0,0.007462686567164285,0,0,0,0.97,8.31,3.38,11.07
20251106,20251107,20251113,5,600359.SH,新农开发,pullback,65.18,0.5552,7.22,7.16,7.22,7.33,time_exit,0.015235457063711877,1.8333333333333506,0.008310249307479171,1,1,0,0.92,5.52,4.22,48.8
20251112,20251113,20251113,1,603395.SH,红四方,pullback,59.19,0.6388,36.03,35.35,36.03,35.35,stop_loss,-0.018873161254510107,-1.0,0.01887316125451012,0,0,0,1.8,8.92,3.05,23.9
20251113,20251114,20251118,3,603395.SH,红四方,pullback,58.18,0.6314,36.08,35.32,36.08,35.32,stop_loss,-0.021064301552106368,-1.0,0.021064301552106375,1,0,0,1.55,8.92,3.05,23.95
20260120,20260121,20260126,4,603004.SH,鼎龙科技,pullback,57.37,0.6026,24.9,24.64,24.9,24.64,stop_loss,-0.010441767068273045,-1.0,0.010441767068273013,1,0,0,0.93,7.9,4.75,47.94
20260211,20260212,20260212,1,603214.SH,爱婴室,pullback,58.14,0.5306,18.54,18.4,18.54,18.4,stop_loss,-0.007551240560949357,-1.0,0.00755124056094933,0,0,0,0.62,8.27,4.26,41.14
