signal_date,entry_date,exit_date,hold_bars,ts_code,name,setup_type,signal_score,single_peak_dense_score,trigger_price,stop_loss,entry_price,exit_price,exit_reason,pnl_pct,r_multiple,risk_pct,hit_1r,hit_2r,hit_3r,ambiguous_intrabar,volume_ratio,platform_range,chip_concentration,chip_low_position
20260105,20260106,20260112,5,000059.SZ,华锦股份,pullback,57.72,0.3536,5.4,5.28,5.4,5.52,time_exit,0.022222222222222143,0.9999999999999926,0.02222222222222224,1,1,0,0,1.88,11.56,5.77,38.61
20260105,20260106,20260107,2,001229.SZ,魅视科技,pullback,57.78,0.3439,43.43,42.3,43.59,42.3,stop_loss,-0.029593943565037972,-1.0,0.029593943565037993,0,0,0,0,1.92,19.21,8.56,71.77
20260105,20260106,20260107,2,001316.SZ,润贝航科,pullback,55.56,0.2041,40.05,38.6,40.05,38.6,stop_loss,-0.036204744069912476,-1.0,0.0362047440699125,0,0,0,0,1.95,20.49,11.02,20.52
20260105,20260106,20260106,1,600257.SH,大湖股份,breakout,57.62,0.2443,6.61,6.52,6.71,6.71,intrabar_mid,0.0,0.0,0.028315946348733294,1,0,0,1,1.85,10.93,6.89,59.97
20260105,20260106,20260112,5,600638.SH,新黄浦,pullback,57.64,0.3002,6.49,6.3,6.49,6.8,time_exit,0.04776579352850541,1.6315789473684157,0.029275808936825944,1,1,0,0,1.37,17.82,7.27,46.75
20260105,20260106,20260108,3,600889.SH,南京化纤,breakout,71.26,0.4394,17.2,16.9,17.2,17.2,intrabar_mid,0.0,0.0,0.01744186046511632,1,1,1,1,2.19,15.37,7.24,51.41
20260105,20260106,20260112,5,603127.SH,昭衍新药,breakout,63.54,0.2337,38.51,37.71,39.8,40.38,time_exit,0.014572864321608092,0.2775119617224911,0.05251256281407026,1,0,0,0,1.29,21.24,15.11,45.55
20260105,20260106,20260106,1,603186.SH,华正新材,pullback,58.48,0.276,51.02,49.87,51.02,49.87,stop_loss,-0.02254018032144267,-1.0,0.02254018032144268,0,0,0,0,1.23,20.71,10.76,69.54
20260105,20260106,20260112,5,603936.SH,博敏电子,pullback,62.4,0.3766,12.97,12.56,12.97,13.07,time_exit,0.007710100231302919,0.2439024390243893,0.031611410948342335,1,0,0,0,1.54,15.87,9.34,42.89
20260106,20260107,20260108,2,000059.SZ,华锦股份,breakout,63.52,0.3468,5.59,5.46,5.59,5.46,stop_loss,-0.023255813953488302,-1.0,0.023255813953488354,0,0,0,0,2.46,12.68,5.77,38.61
20260106,20260107,20260107,1,001229.SZ,魅视科技,pullback,56.89,0.4469,43.08,42.35,43.38,42.35,stop_loss,-0.02374366067312128,-1.0,0.023743660673121277,0,0,0,0,1.54,19.21,8.27,70.93
20260106,20260107,20260107,1,600416.SH,湘电股份,pullback,59.14,0.2164,16.02,15.74,16.02,16.02,intrabar_mid,0.0,0.0,0.017478152309612943,1,0,0,1,1.88,19.44,10.49,46.38
20260106,20260107,20260113,5,600577.SH,精达股份,pullback,56.05,0.2224,13.26,12.98,13.26,14.62,time_exit,0.10256410256410242,4.8571428571428665,0.02111613876319754,1,1,1,0,1.05,23.32,13.98,67.39
20260106,20260107,20260108,2,600961.SH,株冶集团,breakout,63.02,0.247,17.15,16.89,17.35,16.89,stop_loss,-0.026512968299711837,-1.0,0.02651296829971186,1,0,0,0,1.39,12.13,8.02,64.11
20260106,20260107,20260112,4,603016.SH,新宏泰,pullback,59.48,0.4663,30.2,29.81,30.2,29.81,stop_loss,-0.012913907284768267,-1.0,0.01291390728476823,1,1,1,0,1.01,16.21,11.35,60.96
20260106,20260107,20260107,1,603936.SH,博敏电子,breakout,65.15,0.3875,13.28,12.97,13.36,12.97,stop_loss,-0.029191616766466977,-1.0,0.029191616766466977,0,0,0,0,2.44,16.58,9.84,45.36
20260106,20260107,20260113,5,603966.SH,法兰泰克,pullback,59.83,0.2166,12.19,11.78,12.19,13.61,time_exit,0.11648892534864652,3.46341463414634,0.0336341263330599,1,1,1,0,1.94,15.44,6.49,58.2
20260107,20260108,20260114,5,000969.SZ,安泰科技,breakout,58.73,0.3078,22.49,22.06,22.52,29.27,time_exit,0.299733570159858,14.673913043478233,0.020426287744227393,1,1,1,0,2.15,14.81,9.95,77.71
20260107,20260108,20260114,5,600257.SH,大湖股份,pullback,56.25,0.2231,6.84,6.62,6.85,7.3,time_exit,0.06569343065693434,1.9565217391304395,0.033576642335766356,1,1,1,0,1.39,15.42,7.56,64.11
20260107,20260108,20260108,1,600273.SH,嘉化能源,pullback,59.71,0.2668,9.56,9.4,9.56,9.4,stop_loss,-0.01673640167364021,-1.0,0.01673640167364018,0,0,0,0,3.22,14.49,8.54,36.47
20260107,20260108,20260108,1,600416.SH,湘电股份,breakout,65.61,0.3567,16.46,16.15,16.46,16.46,intrabar_mid,0.0,0.0,0.01883353584447158,1,1,1,1,2.07,19.44,10.49,46.38
20260107,20260108,20260114,5,600577.SH,精达股份,breakout,58.37,0.2141,13.79,13.41,13.9,14.03,time_exit,0.009352517985611541,0.26530612244897744,0.03525179856115109,1,1,0,0,1.51,23.32,14.86,65.29
20260107,20260108,20260108,1,600638.SH,新黄浦,pullback,56.4,0.2906,6.66,6.54,6.66,6.54,stop_loss,-0.018018018018018056,-1.0,0.018018018018018035,0,0,0,0,0.92,20.7,8.32,45.98
20260107,20260108,20260112,3,603016.SH,新宏泰,pullback,58.71,0.4622,30.91,29.98,30.91,29.98,stop_loss,-0.030087350372047905,-1.0,0.03008735037204787,0,0,0,0,1.17,16.21,11.35,58.02
20260107,20260108,20260114,5,603186.SH,华正新材,pullback,58.81,0.4288,52.2,49.33,52.2,54.4,time_exit,0.04214559386973171,0.7665505226480809,0.05498084291187748,1,1,0,0,1.35,23.08,11.24,70.59
20260108,20260109,20260109,1,600232.SH,金鹰股份,pullback,56.29,0.1622,8.52,8.31,8.52,8.31,stop_loss,-0.024647887323943518,-1.0,0.024647887323943556,0,0,0,0,0.65,18.64,12.48,55.86
20260108,20260109,20260109,1,600273.SH,嘉化能源,pullback,59.65,0.2622,9.51,9.38,9.51,9.38,stop_loss,-0.013669821240799074,-1.0,0.013669821240799055,0,0,0,0,1.56,17.0,8.94,38.5
20260108,20260109,20260115,5,600397.SH,江钨装备,pullback,56.43,0.3794,8.24,8.07,8.24,9.4,time_exit,0.14077669902912615,6.823529411764709,0.02063106796116504,1,1,1,0,1.13,21.57,11.49,43.95
20260108,20260109,20260115,5,600482.SH,中国动力,pullback,59.15,0.1246,23.58,22.58,23.63,25.16,time_exit,0.06474820143884896,1.4571428571428573,0.044435040203131645,1,1,0,0,2.29,17.86,9.55,48.99
20260108,20260109,20260114,4,600523.SH,贵航股份,breakout,63.99,0.2722,16.27,15.93,16.32,15.93,stop_loss,-0.023897058823529438,-1.0,0.023897058823529445,1,0,0,0,2.34,10.07,6.42,39.74
