feature,family,n_a_nonnull,n_c_nonnull,missing_rate_a,missing_rate_c,missing_rate_gap_abs,missing_rate_max,median_a,median_c,median_diff_a_minus_c,direction,cliffs_delta,abs_cliffs_delta,effect_bucket,mannwhitney_pvalue,heavy_tail_flag,tail_ratio_q99q01_over_iqr,ready_cliffs_delta,ready_delta_shift_abs,winsorize_recheck_suggest
f_trend_close_ma20_gap,strength,1440,11278,0.03160726294552791,0.022788319902954685,0.008818943042573225,0.03160726294552791,0.07933395150103784,0.0511989349171873,0.028135016583850536,A更高,0.34626534452523106,0.34626534452523106,medium,6.883840984012961e-102,0,6.196975793843351,0.34899986172169073,0.0027345171964596737,0
f_k_pct_chg,kline,1487,11541,0.0,0.0,0.0,0.0,0.045842,0.0264,0.019442,A更高,0.31632383175634105,0.31632383175634105,small,5.538854248023439e-88,0,2.6260894425265002,0.3235285930810563,0.007204761324715259,0
f_strength_rs20_xsec_q,strength,1439,11263,0.03227975790181574,0.024088033965860844,0.008191723935954895,0.03227975790181574,0.8252957233848953,0.7292139936392549,0.09608172974564044,A更高,0.27169598537265904,0.27169598537265904,small,2.088365342217528e-63,0,2.644866179818367,0.2743457370772635,0.002649751704604464,0
f_trend_close_ma60_gap,strength,1297,10331,0.12777404169468728,0.10484360107443029,0.022930440620256995,0.12777404169468728,0.1073759145738582,0.061920834611844056,0.045455079962014144,A更高,0.2682376782620175,0.2682376782620175,small,4.951802467866715e-56,0,6.522809333681082,0.2692640840349012,0.0010264057728837095,0
f_ind_rank_pctchg,industry,1487,11541,0.0,0.0,0.0,0.0,0.9464285714285714,0.875,0.0714285714285714,A更高,0.2552641915752307,0.2552641915752307,small,2.6119935736944824e-58,0,3.1322033898182453,0.26295491169343643,0.007690720118205707,0
f_strength_vs_index20,strength,1439,11263,0.03227975790181574,0.024088033965860844,0.008191723935954895,0.03227975790181574,0.0765273774913644,0.03817328773364448,0.03835408975771992,A更高,0.25507456228327485,0.25507456228327485,small,4.210928369410352e-56,0,7.186201501651322,0.259344261510023,0.004269699226748136,0
f_chip_stability_std10,chip,1487,11541,0.0,0.0,0.0,0.0,0.003789976684460911,0.0024137355007780442,0.001376241183682867,A更高,0.25432015806107944,0.25432015806107944,small,1.5092027123200538e-57,1,11.328463276914931,0.2550561374019482,0.0007359793408687754,1
f_strength_ret20,strength,1439,11263,0.03227975790181574,0.024088033965860844,0.008191723935954895,0.03227975790181574,0.0964912280701753,0.06162464985994398,0.034866578210231314,A更高,0.25050543092602373,0.25050543092602373,small,3.566015617283751e-54,0,7.012604438465138,0.24880450619678385,0.0017009247292398832,0
f_strength_rs60_xsec_q,strength,1297,10327,0.12777404169468728,0.10519019149120527,0.02258385020348201,0.12777404169468728,0.7670428893905192,0.6337129840546697,0.13332990533584954,A更高,0.23253242710476152,0.23253242710476152,small,1.5101859473907915e-42,0,2.168613981905691,0.2336298937179322,0.0010974666131706723,0
f_chip_winner_rate,chip,1487,11541,0.0,0.0,0.0,0.0,0.9264241113306136,0.8436460241306262,0.08277808719998747,A更高,0.2281172116579544,0.2281172116579544,small,1.2337984897962524e-46,0,2.4547689517927513,0.2453298147190377,0.017212603061083298,0
f_strength_vs_index60,strength,1297,10327,0.12777404169468728,0.10519019149120527,0.02258385020348201,0.12777404169468728,0.09939823484560306,0.027578815584717864,0.0718194192608852,A更高,0.226876810636071,0.226876810636071,small,1.3797393037559815e-40,0,6.47346209766687,0.22776298643747883,0.000886175801407818,0
f_strength_ret60,strength,1297,10327,0.12777404169468728,0.10519019149120527,0.02258385020348201,0.12777404169468728,0.1548269581056465,0.08581894296180015,0.06900801514384636,A更高,0.2246409786265151,0.2246409786265151,small,7.975780731950484e-40,0,6.747770146419706,0.22552594592717146,0.0008849673006563474,0
f_k_body_to_atr,kline,1464,11458,0.01546738399462004,0.007191751148080756,0.008275632846539285,0.01546738399462004,0.06933872819047902,0.04252036871231132,0.026818359478167707,A更高,0.1826801876561297,0.1826801876561297,small,4.1928800821501086e-30,1,10.428488096413622,0.1952592987673476,0.0125791111112179,1
f_ind_rank_amount,industry,1487,11541,0.0,0.0,0.0,0.0,0.7916666666666666,0.7142857142857143,0.07738095238095233,A更高,0.17360607924718785,0.17360607924718785,small,9.597376133599502e-28,0,2.3361945031652405,0.1687673296842227,0.00483874956296515,0
f_breakout_vol_ratio20,volume,1440,11278,0.03160726294552791,0.022788319902954685,0.008818943042573225,0.03160726294552791,1.8137600816405035,1.5725732781324133,0.2411868035080902,A更高,0.14475958601800953,0.14475958601800953,negligible,3.2647087075799275e-19,0,5.114264997178272,0.14755462891130078,0.002795042893291244,0
f_trend_ma20_ma60_gap,strength,1297,10331,0.12777404169468728,0.10484360107443029,0.022930440620256995,0.12777404169468728,0.02788014257234339,0.0126050420168069,0.015275100555536492,A更高,0.1388590469641453,0.1388590469641453,negligible,3.240300996809758e-16,0,5.935333873447468,0.13970119913034318,0.0008421521661978737,0
