feature,family,missing_rate_a,missing_rate_c,missing_rate_gap_abs,missing_rate_max,n_a_nonnull,n_c_nonnull,abs_cliffs_delta,effect_bucket,ready_cliffs_delta,ready_delta_shift_abs,heavy_tail_flag,winsorize_recheck_suggest,high_missing_flag,missing_imbalance_flag,stability_flag
f_trend_close_ma20_gap,strength,0.03160726294552791,0.022788319902954685,0.008818943042573225,0.03160726294552791,1440,11278,0.34626534452523106,medium,0.34899986172169073,0.0027345171964596737,0,0,0,0,stable
f_k_pct_chg,kline,0.0,0.0,0.0,0.0,1487,11541,0.31632383175634105,small,0.3235285930810563,0.007204761324715259,0,0,0,0,stable
f_strength_rs20_xsec_q,strength,0.03227975790181574,0.024088033965860844,0.008191723935954895,0.03227975790181574,1439,11263,0.27169598537265904,small,0.2743457370772635,0.002649751704604464,0,0,0,0,stable
f_trend_close_ma60_gap,strength,0.12777404169468728,0.10484360107443029,0.022930440620256995,0.12777404169468728,1297,10331,0.2682376782620175,small,0.2692640840349012,0.0010264057728837095,0,0,0,0,stable
f_ind_rank_pctchg,industry,0.0,0.0,0.0,0.0,1487,11541,0.2552641915752307,small,0.26295491169343643,0.007690720118205707,0,0,0,0,stable
f_strength_vs_index20,strength,0.03227975790181574,0.024088033965860844,0.008191723935954895,0.03227975790181574,1439,11263,0.25507456228327485,small,0.259344261510023,0.004269699226748136,0,0,0,0,stable
f_chip_stability_std10,chip,0.0,0.0,0.0,0.0,1487,11541,0.25432015806107944,small,0.2550561374019482,0.0007359793408687754,1,1,0,0,stable
f_strength_ret20,strength,0.03227975790181574,0.024088033965860844,0.008191723935954895,0.03227975790181574,1439,11263,0.25050543092602373,small,0.24880450619678385,0.0017009247292398832,0,0,0,0,stable
f_strength_rs60_xsec_q,strength,0.12777404169468728,0.10519019149120527,0.02258385020348201,0.12777404169468728,1297,10327,0.23253242710476152,small,0.2336298937179322,0.0010974666131706723,0,0,0,0,stable
f_chip_winner_rate,chip,0.0,0.0,0.0,0.0,1487,11541,0.2281172116579544,small,0.2453298147190377,0.017212603061083298,0,0,0,0,stable
f_strength_vs_index60,strength,0.12777404169468728,0.10519019149120527,0.02258385020348201,0.12777404169468728,1297,10327,0.226876810636071,small,0.22776298643747883,0.000886175801407818,0,0,0,0,stable
f_strength_ret60,strength,0.12777404169468728,0.10519019149120527,0.02258385020348201,0.12777404169468728,1297,10327,0.2246409786265151,small,0.22552594592717146,0.0008849673006563474,0,0,0,0,stable
f_k_body_to_atr,kline,0.01546738399462004,0.007191751148080756,0.008275632846539285,0.01546738399462004,1464,11458,0.1826801876561297,small,0.1952592987673476,0.0125791111112179,1,1,0,0,stable
f_ind_rank_amount,industry,0.0,0.0,0.0,0.0,1487,11541,0.17360607924718785,small,0.1687673296842227,0.00483874956296515,0,0,0,0,stable
f_breakout_vol_ratio20,volume,0.03160726294552791,0.022788319902954685,0.008818943042573225,0.03160726294552791,1440,11278,0.14475958601800953,negligible,0.14755462891130078,0.002795042893291244,0,0,0,0,stable
f_trend_ma20_ma60_gap,strength,0.12777404169468728,0.10484360107443029,0.022930440620256995,0.12777404169468728,1297,10331,0.1388590469641453,negligible,0.13970119913034318,0.0008421521661978737,0,0,0,0,stable
f_trend_ma20_slope5,strength,0.05043712172158709,0.03067325188458539,0.0197638698370017,0.05043712172158709,1412,11187,0.12205663645910336,negligible,0.11421062540106686,0.007846011058036506,0,0,0,0,stable
f_up_down_vol_ratio20,volume,0.18695359784801613,0.18360627328654364,0.0033473245614724922,0.18695359784801613,1209,9422,0.11342863147493354,negligible,0.12428573957687883,0.01085710810194529,0,0,0,0,stable
f_chip_concentration,chip,0.0,0.0,0.0,0.0,1487,11541,0.10873761549639083,negligible,0.11576603190337997,0.007028416406989146,0,0,0,0,stable
f_k_upper_shadow_ratio,kline,0.0020174848688634837,0.0025127805216185774,0.0004952956527550937,0.0025127805216185774,1484,11512,0.09685486982761693,negligible,-0.10129919214154515,0.004444322313928217,0,0,0,0,stable
f_k_close_pos,kline,0.0020174848688634837,0.0025127805216185774,0.0004952956527550937,0.0025127805216185774,1484,11512,0.0960543457290084,negligible,0.10422904790353238,0.008174702174523985,0,0,0,0,stable
f_chip_low_position120,chip,0.26025554808338935,0.2598561649770384,0.00039938310635095897,0.26025554808338935,1100,8542,0.08690310976777837,negligible,0.0868763913298185,2.671843795987172e-05,0,0,1,0,stable
f_k_lower_shadow_ratio,kline,0.0020174848688634837,0.0025127805216185774,0.0004952956527550937,0.0025127805216185774,1484,11512,0.08403313827924075,negligible,-0.0852030116345498,0.001169873355309048,0,0,0,0,stable
f_ind_peer_strong_count,industry,0.0,0.0,0.0,0.0,1487,11541,0.0829860291081177,negligible,0.08752403408709974,0.0045380049789820465,0,0,0,0,stable
f_low_vol_days10,volume,0.0,0.0,0.0,0.0,1487,11541,0.07980226865220785,negligible,-0.07241982252487811,0.007382446127329745,0,0,0,0,stable
