qc_note,count_before,count_after,delta
chip_value_out_of_range,47,0,-47
chip_value_out_of_range;chip_low_position_out_of_range,0,11,11
chip_value_out_of_range;chip_winner_rate_float_epsilon_clipped,0,36,36
chip_window_insufficient_120,1977,0,-1977
chip_window_insufficient_120;chip_window_insufficient_120,0,1969,1969
chip_window_insufficient_120;chip_winner_rate_float_epsilon_clipped,0,8,8
ok,7376,7376,0
pct_chg_missing_source,2191,2191,0
pct_chg_missing_source;chip_value_out_of_range,28,0,-28
pct_chg_missing_source;chip_value_out_of_range;chip_low_position_out_of_range,0,8,8
pct_chg_missing_source;chip_value_out_of_range;chip_winner_rate_float_epsilon_clipped,0,20,20
pct_chg_missing_source;chip_window_insufficient_120,5,0,-5
pct_chg_missing_source;chip_window_insufficient_120;chip_window_insufficient_120,0,5,5
window_insufficient_20;window_insufficient_60;chip_window_insufficient_120,326,0,-326
window_insufficient_20;window_insufficient_60;chip_window_insufficient_120;chip_window_insufficient_120,0,326,326
window_insufficient_60;chip_window_insufficient_120,1078,0,-1078
window_insufficient_60;chip_window_insufficient_120;chip_window_insufficient_120,0,1074,1074
window_insufficient_60;chip_window_insufficient_120;chip_winner_rate_float_epsilon_clipped,0,4,4
