qc_note,count
ok,7375
pct_chg_missing_source,2191
chip_window_insufficient_120;chip_window_insufficient_120,1967
window_insufficient_60;chip_window_insufficient_120;chip_window_insufficient_120,1074
window_insufficient_20;window_insufficient_60;chip_window_insufficient_120;chip_window_insufficient_120,326
chip_value_out_of_range;chip_winner_rate_float_epsilon_clipped,36
pct_chg_missing_source;chip_value_out_of_range;chip_winner_rate_float_epsilon_clipped,20
chip_value_out_of_range;chip_low_position_out_of_range,11
pct_chg_missing_source;chip_value_out_of_range;chip_low_position_out_of_range,8
chip_window_insufficient_120;chip_winner_rate_float_epsilon_clipped,8
pct_chg_missing_source;chip_window_insufficient_120;chip_window_insufficient_120,5
window_insufficient_60;chip_window_insufficient_120;chip_winner_rate_float_epsilon_clipped,4
chip_window_insufficient_120;chip_window_insufficient_120;chip_profile_missing,2
chip_profile_missing,1
