feature,family,rank,abs_cliffs_delta,missing_rate_max,direction,layer,layer_code,redundant_with,reason_summary,role_hint
f_chip_low_position120,chip,22,0.0869031097677783,0.2602555480833893,A更高,降级/弃用项,downgrade,,|delta|=0.0869；missing_max=26.03%；方向=A更高；缺失偏高(>20%),single_role
f_ind_peer_strong_count,industry,24,0.0829860291081177,0.0,A更高,降级/弃用项,downgrade,,|delta|=0.0830；missing_max=0.00%；方向=A更高；边际信息有限,single_role
f_low_vol_days10,volume,25,0.0798022686522078,0.0,A更低,降级/弃用项,downgrade,,|delta|=0.0798；missing_max=0.00%；方向=A更低；边际信息有限,single_role
f_platform_compress_ratio,platform,26,0.0796362386948039,0.0316072629455279,A更高,降级/弃用项,downgrade,,|delta|=0.0796；missing_max=3.16%；方向=A更高；平台静态特征不宜过度约束,single_role
f_vol20_vol60,volume,27,0.0638759153738324,0.1277740416946872,A更高,降级/弃用项,downgrade,,|delta|=0.0639；missing_max=12.78%；方向=A更高；边际信息有限,single_role
f_ind_strength_3d,industry,28,0.0526395558141969,0.0,A更高,降级/弃用项,downgrade,,|delta|=0.0526；missing_max=0.00%；方向=A更高；边际信息有限,single_role
f_ind_breadth,industry,29,0.0487018971047171,0.0,差异弱,降级/弃用项,downgrade,,|delta|=0.0487；missing_max=0.00%；方向=差异弱；区分力弱,single_role
f_chip_peak_dominance,chip,30,0.0480864683810957,0.0013449899125756,差异弱,降级/弃用项,downgrade,,|delta|=0.0481；missing_max=0.13%；方向=差异弱；区分力弱,single_role
f_chip_secondary_peak_ratio,chip,31,0.0480864100274845,0.0013449899125756,差异弱,降级/弃用项,downgrade,f_chip_peak_dominance,|delta|=0.0481；missing_max=0.13%；方向=差异弱；区分力弱；与f_chip_peak_dominance高相关，避免重复约束,single_role
f_platform_len,platform,32,0.0458292405888144,0.0,差异弱,降级/弃用项,downgrade,,|delta|=0.0458；missing_max=0.00%；方向=差异弱；区分力弱,single_role
f_ind_strength_5d,industry,33,0.0456449906059894,0.0,差异弱,降级/弃用项,downgrade,,|delta|=0.0456；missing_max=0.00%；方向=差异弱；区分力弱,single_role
f_chip_peak_count_sig,chip,34,0.0446378283120051,0.0013449899125756,差异弱,降级/弃用项,downgrade,,|delta|=0.0446；missing_max=0.13%；方向=差异弱；区分力弱,single_role
f_platform_range30,platform,35,0.0427103845134158,0.1069266980497646,差异弱,降级/弃用项,downgrade,,|delta|=0.0427；missing_max=10.69%；方向=差异弱；区分力弱,single_role
f_platform_range_best,platform,36,0.0380788347483149,0.0759919300605245,差异弱,降级/弃用项,downgrade,f_platform_range30,|delta|=0.0381；missing_max=7.60%；方向=差异弱；区分力弱；与f_platform_range30高相关，避免重复约束,single_role
f_platform_range20,platform,37,0.0380788347483149,0.0759919300605245,差异弱,降级/弃用项,downgrade,f_platform_range30,|delta|=0.0381；missing_max=7.60%；方向=差异弱；区分力弱；与f_platform_range30高相关，避免重复约束,single_role
f_near_pivot20,platform,38,0.0370886210876222,0.0759919300605245,差异弱,降级/弃用项,downgrade,,|delta|=0.0371；missing_max=7.60%；方向=差异弱；区分力弱,single_role
f_k_break_pivot20_pct,kline,39,0.0370886210876222,0.0759919300605245,差异弱,降级/弃用项,downgrade,f_near_pivot20,|delta|=0.0371；missing_max=7.60%；方向=差异弱；区分力弱；与f_near_pivot20高相关，避免重复约束,single_role
f_ind_strength_today,industry,40,0.0239994634491329,0.0,差异弱,降级/弃用项,downgrade,,|delta|=0.0240；missing_max=0.00%；方向=差异弱；区分力弱,single_role
f_atr_ratio,platform,41,0.0174323998218248,0.01546738399462,差异弱,降级/弃用项,downgrade,,|delta|=0.0174；missing_max=1.55%；方向=差异弱；区分力弱,single_role
f_chip_single_peak_score,chip,42,0.0057300912066944,0.0013449899125756,差异弱,降级/弃用项,downgrade,f_chip_peak_count_sig,|delta|=0.0057；missing_max=0.13%；方向=差异弱；区分力弱；与f_chip_peak_count_sig高相关，避免重复约束,single_role
f_vol_stability20,volume,43,0.0043546171381909,0.0746469401479488,差异弱,降级/弃用项,downgrade,,|delta|=0.0044；missing_max=7.46%；方向=差异弱；区分力弱,single_role
f_trend_close_ma20_gap,strength,1,0.346265344525231,0.0316072629455279,A更高,硬过滤候选,hard_filter,,|delta|=0.3463；missing_max=3.16%；方向=A更高；高区分+低缺失+方向明确,single_role
f_strength_rs20_xsec_q,strength,3,0.271695985372659,0.0322797579018157,A更高,硬过滤候选,hard_filter,,|delta|=0.2717；missing_max=3.23%；方向=A更高；高区分+低缺失+方向明确,single_role
