feature,valid_count,median_A,median_C,q25_A,q75_A,auc_A_vs_C,separability,direction,suggested_role,suggested_min,suggested_max
pct_chg,12090,4.555149999999999,2.68,2.5067,9.295,0.6487908278867498,0.6487908278867498,higher_better,score,2.5067,
atr_ratio,14569,0.035477767265846755,0.028630400716907284,0.027153894533294955,0.045327562702867155,0.6409763470632883,0.6409763470632883,higher_better,score,0.027153894533294955,
rs20_xsec_q,14201,0.8246336996336996,0.7348484848484849,0.6918491325620055,0.9299085737593238,0.6271945028854837,0.6271945028854837,higher_better,score,0.6918491325620055,
candidate_condition_count,14569,5.0,4.0,4.0,6.0,0.6210970952905521,0.6210970952905521,higher_better,score,4.0,
stock_rank_pctchg_in_industry,12090,0.9444444444444444,0.875,0.8303050273018264,1.0,0.620952255479823,0.620952255479823,higher_better,score,0.8303050273018264,
chip_stability_std,14569,0.003789976684460911,0.002456123637614405,0.002084432633043305,0.007309159395759528,0.6208680097935458,0.6208680097935458,higher_better,score,0.002084432633043305,
ret20,14201,0.0964912280701753,0.06351183063511834,0.0496025009590243,0.1887658713905387,0.6172408144461277,0.6172408144461277,higher_better,score,0.0496025009590243,
rs60_xsec_q,12972,0.7669683257918553,0.6429542365201631,0.529707495429616,0.9108193752829334,0.6094269576924236,0.6094269576924236,higher_better,score,0.529707495429616,
platform_range_20,14569,0.1338709677419355,0.11017204257186294,0.09682175656314743,0.19298919644378376,0.6091523656317216,0.6091523656317216,higher_better,score,0.09682175656314743,
platform_range_best,14569,0.1338709677419355,0.11017204257186294,0.09682175656314743,0.19298919644378376,0.6091523656317216,0.6091523656317216,higher_better,score,0.09682175656314743,
platform_range_30,14377,0.17352323595920444,0.14377056514207687,0.12694851655165845,0.24501405482538774,0.6066631443610561,0.6066631443610561,higher_better,score,0.12694851655165845,
ret60,12972,0.1548269581056465,0.08943862987630813,0.04618937644341803,0.3230879199428165,0.6055865026498366,0.6055865026498366,higher_better,score,0.04618937644341803,
winner_rate,14569,0.9264241113306136,0.8516491840676114,0.7726581819534151,0.988761135609752,0.6049911340644838,0.6049911340644838,higher_better,score,0.7726581819534151,
amount,14569,430470.366,313112.9355,224236.8615,962085.433,0.5885038519717805,0.5885038519717805,higher_better,weak,,
stock_rank_amount_in_industry,14569,0.7916666666666666,0.7142857142857143,0.625,0.9230769230769231,0.5867101283059077,0.5867101283059077,higher_better,weak,,
vol_ratio60,14220,1.8146916620120193,1.5744592753819941,1.3065996644560827,2.6704997352182422,0.5807791569008556,0.5807791569008556,higher_better,weak,,
vol_ratio20,14569,1.810239570822972,1.5724766204888248,1.3136221673560418,2.523569413470145,0.572996409003139,0.572996409003139,higher_better,weak,,
body_to_atr,14569,1.0523648648648651,0.8729477152058474,0.6312645957474059,1.6097505994490051,0.5710657749197243,0.5710657749197243,higher_better,weak,,
high,14569,14.86,12.75,8.795,27.115000000000002,0.5586626770708066,0.5586626770708066,higher_better,weak,,
close_x,14569,14.74,12.58,8.64,26.735,0.5579558136557944,0.5579558136557944,higher_better,weak,,
close_y,14569,14.74,12.58,8.64,26.735,0.5579558136557944,0.5579558136557944,higher_better,weak,,
ma20_slope_5,14432,0.010320758304136257,0.00645989878852915,4.585683496127757e-05,0.02912634470454467,0.5566237209578299,0.5566237209578299,higher_better,weak,,
range_high_120,13432,16.45,14.15,9.32,30.0,0.5550940596295341,0.5550940596295341,higher_better,weak,,
pivot_20,14569,14.58,12.6,8.655000000000001,26.6,0.5538122170518037,0.5538122170518037,higher_better,weak,,
open,14569,14.04,12.21,8.365,25.625,0.5538098788697757,0.5538098788697757,higher_better,weak,,
low,14569,13.88,12.13,8.3,25.35,0.5530522797218431,0.5530522797218431,higher_better,weak,,
chip_concentration,14569,0.12283812054830648,0.11343833607373616,0.08983089163763071,0.17540515395353862,0.5529267503348954,0.5529267503348954,higher_better,weak,,
ma20,14569,13.402000000000001,11.8095,8.01225,24.03275,0.5492110973837602,0.5492110973837602,higher_better,weak,,
vol,14569,309704.96,251069.33000000002,138457.23,710063.49,0.5472988307061557,0.5472988307061557,higher_better,weak,,
chip_center,14569,13.578590604026846,11.959614093959733,8.071275167785235,24.09320469798658,0.5462473530652608,0.5462473530652608,higher_better,weak,,
ma60,13779,13.128666666666668,11.511833333333334,7.648041666666666,23.018916666666666,0.543470634896828,0.543470634896828,higher_better,weak,,
platform_low_20,14569,12.42,10.95,7.345,21.75,0.5428600597492838,0.5428600597492838,higher_better,weak,,
low_vol_days10,14569,5.0,6.0,2.0,8.0,0.4581336676126068,0.5418663323873931,lower_better,weak,,
close_pos,14569,0.8181818181818182,0.7999999999999885,0.6470588235294121,1.0,0.5406621686429844,0.5406621686429844,higher_better,weak,,
lower_shadow_ratio,14569,0.10282776349614357,0.12499999999999722,0.02817460317460381,0.22236430804205928,0.4622624745109988,0.5377375254890012,lower_better,weak,,
upper_shadow_ratio,14569,0.17412935323383172,0.19402985074626852,0.0,0.34078898857072526,0.4631646747233846,0.5368353252766154,lower_better,weak,,
industry_peer_strong_count,14569,3.0,2.0,1.0,7.0,0.5339235562092199,0.5339235562092199,higher_better,weak,,
list_days,14569,5418.0,6429.0,2897.5,9521.5,0.4697083447519251,0.530291655248075,lower_better,weak,,
vol20_vol60,14220,1.0269890826620047,1.0038591390956844,0.8438428851131127,1.249920641386308,0.5287275922273671,0.5287275922273671,higher_better,weak,,
industry_amount_rank_pct,14569,0.8411214953271028,0.8130841121495327,0.5917508417508417,0.9545454545454546,0.5263011673106152,0.5263011673106152,higher_better,weak,,
range_low_120,13432,10.1,9.32,6.15,18.01,0.5243206367493157,0.5243206367493157,higher_better,weak,,
industry_ret5,12206,0.4631995652173915,0.4938102386717399,0.1507028571428569,0.8253043478260871,0.4798242698012433,0.5201757301987566,lower_better,weak,,
chip_matches_platform20,14569,0.0,0.0,0.0,0.0,0.5179839157866838,0.5179839157866838,higher_better,weak,,
industry_strength_score,12090,0.7168181818181818,0.7006818181818182,0.5581818181818181,0.8437815656565657,0.5174396327240334,0.5174396327240334,higher_better,weak,,
industry_rank_pct,12090,0.7545454545454545,0.7407407407407407,0.5185185185185185,0.9090909090909091,0.514984392953414,0.514984392953414,higher_better,weak,,
industry_avg_pct,12090,1.083405882352941,0.9966197183098591,0.25615,1.9947256211180122,0.5139424905583277,0.5139424905583277,higher_better,weak,,
industry_breadth,14569,0.6101694915254238,0.6363636363636364,0.27097902097902093,0.8312824314306895,0.4865556505352014,0.5134443494647987,lower_better,weak,,
industry_ret3,12177,0.6305072463768117,0.6508059523809531,0.18195208333333318,1.1055864197530865,0.4936196633408495,0.5063803366591505,lower_better,weak,,
chip_low_position,13432,0.510450102130143,0.5116279823596137,0.4368103742463884,0.5987379632331487,0.5030015639870915,0.5030015639870915,lower_better,weak,,
chip_available_days,14569,10.0,10.0,10.0,10.0,0.5,0.5,higher_better,weak,,
