feature,family,layer_candidate,direction_type,a_median,c_median,median_gap_abs,loose_interval,neutral_interval,strict_interval,risk_note,recommendation
f_trend_close_ma20_gap,strength,硬过滤候选,大于更好,0.0793339515010378,0.0511989349171873,0.0281350165838504,"[0.056826, +inf)","[0.065266, +inf)","[0.073707, +inf)",过严会错杀可交易A样本，建议先用宽松/中性；过松会放入结构未启动的C样本,可进入下一轮规则讨论
f_k_pct_chg,kline,触发确认候选,大于更好,0.045842,0.0264,0.019442,"[0.030288, +inf)","[0.036121, +inf)","[0.041954, +inf)",更适合T日/触发层，不宜前置硬卡,可进入下一轮规则讨论
f_strength_rs20_xsec_q,strength,硬过滤候选,大于更好,0.8252957233848953,0.7292139936392549,0.0960817297456404,"[0.748430, +inf)","[0.777255, +inf)","[0.806079, +inf)",过严会错杀可交易A样本，建议先用宽松/中性；过松会放入结构未启动的C样本,可进入下一轮规则讨论
f_trend_close_ma60_gap,strength,连续评分候选,大于更好,0.1073759145738582,0.061920834611844,0.0454550799620142,"[0.071012, +inf)","[0.084648, +inf)","[0.098285, +inf)",建议以评分分层为主，避免硬阈值；存在一定缺失，需配合QC,建议不设硬阈值，只做评分分层
f_strength_vs_index20,strength,连续评分候选,大于更好,0.0765273774913644,0.0381732877336444,0.03835408975772,"[0.045844, +inf)","[0.057350, +inf)","[0.068857, +inf)",建议以评分分层为主，避免硬阈值,建议不设硬阈值，只做评分分层
f_k_body_to_atr,kline,触发确认候选,大于更好,0.069338728190479,0.0425203687123113,0.0268183594781676,"[0.047884, +inf)","[0.055930, +inf)","[0.063975, +inf)",更适合T日/触发层，不宜前置硬卡,可进入下一轮规则讨论
f_k_close_pos,kline,触发确认候选,大于更好,0.8181818181818183,0.7940053884149092,0.0241764297669091,"[0.798841, +inf)","[0.806094, +inf)","[0.813347, +inf)",更适合T日/触发层，不宜前置硬卡,可进入下一轮规则讨论
f_breakout_vol_ratio20,volume,触发确认候选,大于更好,1.8137600816405035,1.572573278132413,0.2411868035080904,"[1.620811, +inf)","[1.693167, +inf)","[1.765523, +inf)",更适合T日/触发层，不宜前置硬卡,可进入下一轮规则讨论
f_ind_rank_amount,industry,连续评分候选,大于更好,0.7916666666666666,0.7142857142857143,0.0773809523809523,"[0.729762, +inf)","[0.752976, +inf)","[0.776190, +inf)",建议以评分分层为主，避免硬阈值,建议不设硬阈值，只做评分分层
f_chip_winner_rate,chip,??????,大于更好,0.9264241113306136,0.8436460241306262,0.0827780871999874,"[0.75, 0.98]","[0.80, 0.97]","[0.85, 0.96]",过严会错杀可交易A样本，建议先用宽松/中性；过松会放入结构未启动的C样本?????1.0???????????????????,?????????????????????????????
f_chip_stability_std10,chip,??????,大于更好,0.0037899766844609,0.002413735500778,0.0013762411836828,"[0.002689, +inf)","[0.003102, +inf)","[0.003515, +inf)",过严会错杀可交易A样本，建议先用宽松/中性；过松会放入结构未启动的C样本????????????????????????,??????????????????????????
f_ind_rank_pctchg,industry,??????,大于更好,0.9464285714285714,0.875,0.0714285714285714,"[0.889286, +inf)","[0.910714, +inf)","[0.932143, +inf)",过严会错杀可交易A样本，建议先用宽松/中性；过松会放入结构未启动的C样本?????(??=1.0)?????????,??????? + ???? + ?????
