group,field,count,mean,median,p25,p75
A_high_missed_A3A5_not_in_ECH2_scope,score_platform_axis_single,969,0.4409516446362861,0.42787305122494435,0.28418151447661466,0.5969766146993317
A_high_missed_A3A5_not_in_ECH2_scope,f_platform_compress_ratio,969,0.5992648270118004,0.6022727272727278,0.45847176079734264,0.7352941176470591
A_high_missed_A3A5_not_in_ECH2_scope,score_total,11,0.7730464023916899,0.7940657767540094,0.7709553296198152,0.8002160619230241
A_high_missed_A3A5_not_in_ECH2_scope,f_strength_rs20_xsec_q,1017,0.7130046421876707,0.7735294117647059,0.5749872902897813,0.8952380952380953
A_high_missed_A3A5_not_in_ECH2_scope,f_chip_winner_rate,1019,0.7077869004794528,0.7448757050491037,0.5551873468252806,0.8794595447229396
A_high_missed_A3A5_not_in_ECH2_scope,score_industry_axis_single,1019,0.4810393861077365,0.4885552430912336,0.28386782759180146,0.6558055270131415
A_high_missed_A3A5_not_in_ECH2_scope,rank_global_after_merge,11,2.0,2.0,1.5,2.0
A_high_captured_in_ECH2_Q2,score_platform_axis_single,9,0.6726302276664192,0.6603563474387527,0.6509521158129176,0.6764253897550111
A_high_captured_in_ECH2_Q2,f_platform_compress_ratio,9,0.43154576896807567,0.46551724137930955,0.3882352941176473,0.4923076923076925
A_high_captured_in_ECH2_Q2,score_total,0,,,,
A_high_captured_in_ECH2_Q2,f_strength_rs20_xsec_q,9,0.691996747390981,0.7065106815869786,0.6655616942909761,0.7099853157121879
A_high_captured_in_ECH2_Q2,f_chip_winner_rate,9,0.8679373872676821,0.8871532887611404,0.807862592295022,0.9439003004566969
A_high_captured_in_ECH2_Q2,score_industry_axis_single,9,0.6922083716402575,0.6941890649505166,0.6338353793737493,0.734641176788708
A_high_captured_in_ECH2_Q2,rank_global_after_merge,0,,,,
