group,field,count,mean,median,p25,p75
A_high_miss_step1_rs20_fail,f_strength_rs20_xsec_q,302,0.3938342138005748,0.43938065452607256,0.2838158501434963,0.5360879922956054
A_high_miss_step1_rs20_fail,score_platform_axis_single,288,0.5796777754578074,0.6381208240534519,0.4420865812917595,0.7126893095768374
A_high_miss_step1_rs20_fail,score_industry_axis_single,302,0.535216299964794,0.5518326483153967,0.3439832215672489,0.711411970688443
A_high_miss_step1_rs20_fail,f_chip_winner_rate,302,0.6313230917305789,0.65021799886791,0.45346436589284583,0.802987325189897
A_high_miss_step1_rs20_fail,f_platform_compress_ratio,288,0.4913487116725087,0.4579249557426086,0.34947354738073616,0.6235263594852641
A_high_miss_step1_rs20_fail,score_total,0,,,,
A_high_in_core_pool,f_strength_rs20_xsec_q,69,0.8860579374102033,0.9166243009659379,0.8481385919646148,0.948237885462555
A_high_in_core_pool,score_platform_axis_single,69,0.6282703915302926,0.6350501113585746,0.5480623608017817,0.6884521158129175
A_high_in_core_pool,score_industry_axis_single,69,0.44601065226404696,0.4071778162349251,0.21180574333459523,0.6003934346438807
A_high_in_core_pool,f_chip_winner_rate,69,0.9204245139229541,0.9569331101882198,0.8883923531324215,0.979865793094236
A_high_in_core_pool,f_platform_compress_ratio,69,0.40744232997664925,0.42303433001107427,0.32835820895522355,0.47244094488188965
A_high_in_core_pool,score_total,69,0.7475819300727863,0.7383896091943227,0.6984759109434289,0.8006454491374183
