ts_code,trade_date,execution_ready_flag,execution_reject_reason,execution_risk_tag,key_reason_1,key_reason_2,key_reason_3
000534.SZ,20260309,ready,,none,ready_intraday_continue_confirmed,t_signal_breakout_ready,gap_within_guard
002730.SZ,20260309,ready,,none,ready_intraday_continue_confirmed,t_signal_breakout_ready,gap_within_guard
600851.SH,20260309,ready,,none,ready_intraday_continue_confirmed,t_signal_breakout_ready,gap_within_guard
002709.SZ,20260310,ready,,none,ready_intraday_continue_confirmed,t_signal_breakout_ready,gap_within_guard
000066.SZ,20260309,reject,reject_intraday_breakdown,hard_reject,reject_intraday_breakdown,low_vs_t_close=-0.0220,structure_broken_t1
000818.SZ,20260309,reject,reject_intraday_breakdown,hard_reject,reject_intraday_breakdown,low_vs_t_close=-0.0267,structure_broken_t1
001314.SZ,20260309,reject,reject_intraday_breakdown,hard_reject,reject_intraday_breakdown,low_vs_t_close=-0.0565,structure_broken_t1
002637.SZ,20260309,reject,reject_intraday_breakdown,hard_reject,reject_intraday_breakdown,low_vs_t_close=-0.0419,structure_broken_t1
601611.SH,20260309,risk,,intraday_confirmation_weak,risk_intraday_confirmation_weak,needs_finer_intraday_rules,defer_execution
002294.SZ,20260310,risk,,intraday_confirmation_weak,risk_intraday_confirmation_weak,needs_finer_intraday_rules,defer_execution
002654.SZ,20260311,risk,,intraday_confirmation_weak,risk_intraday_confirmation_weak,needs_finer_intraday_rules,defer_execution
600603.SH,20260312,risk,,intraday_confirmation_weak,risk_intraday_confirmation_weak,needs_finer_intraday_rules,defer_execution
