trade_date,has_f3_candidates,has_f2_only_candidates,has_f2_only_pass_gate,selected_flag,selected_tier,selected_reason,selected_stock_code,selected_stock_name,selected_ts_code,selected_path_source,selected_priority_tag,selected_rank_global_after_merge,selected_score_total,ret_t1_close,ret_t2_close,ret_t3_close,label_A_high,label_A_mid,label_A_low,label_C,label_G
20250929,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20250930,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251009,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251010,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251013,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251014,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251015,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251016,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251017,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251020,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251021,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251022,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251023,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251024,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251027,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251028,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251029,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251030,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251031,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251103,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251104,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251105,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
20251106,0,0,0,0,none,f2_fallback_not_pass_gate,,,,,,,,,,,,,,,
