window,miss_reason,count,ratio_in_ahigh
all,captured_by_F3,5,0.20833333333333334
all,not_in_path_A,17,0.7083333333333334
all,not_in_core_pool,0,0.0
all,no_priority_tag,2,0.08333333333333333
all,excluded_by_strict_pool,0,0.0
all,failed_F3_gate,0,0.0
main,captured_by_F3,3,0.2727272727272727
main,not_in_path_A,8,0.7272727272727273
main,not_in_core_pool,0,0.0
main,no_priority_tag,0,0.0
main,excluded_by_strict_pool,0,0.0
main,failed_F3_gate,0,0.0
confirm,captured_by_F3,2,0.15384615384615385
confirm,not_in_path_A,9,0.6923076923076923
confirm,not_in_core_pool,0,0.0
confirm,no_priority_tag,2,0.15384615384615385
confirm,excluded_by_strict_pool,0,0.0
confirm,failed_F3_gate,0,0.0
