window,layer,total_ahigh_n,recall_count,recall_rate,miss_count,miss_rate
all,core_pool,24,24,1.0,0,0.0
all,priority_tag_1,24,5,0.20833333333333334,19,0.7916666666666666
all,strict_pool,24,5,0.20833333333333334,19,0.7916666666666666
all,F3,24,5,0.20833333333333334,19,0.7916666666666666
main,core_pool,11,11,1.0,0,0.0
main,priority_tag_1,11,3,0.2727272727272727,8,0.7272727272727273
main,strict_pool,11,3,0.2727272727272727,8,0.7272727272727273
main,F3,11,3,0.2727272727272727,8,0.7272727272727273
confirm,core_pool,13,13,1.0,0,0.0
confirm,priority_tag_1,13,2,0.15384615384615385,11,0.8461538461538461
confirm,strict_pool,13,2,0.15384615384615385,11,0.8461538461538461
confirm,F3,13,2,0.15384615384615385,11,0.8461538461538461
