trade_date,stock_code,stock_name,ts_code,path_source,label_class,label_A_high,label_A_mid,label_A_low,label_C,label_G,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,ret_t1_close,ret_t2_close,ret_t3_close,quality_tag,quality_tag_reason,quality_tag_industry_cap,quality_tag_rs20_floor,signal_triggered,signal_type,signal_time,signal_price,signal_reason,non_trigger_reason
20250508,000997.SZ,新大陆,000997.SZ,B,C,0,0,0,1,0,0.743355363417728,0.6281458797327394,0.4188929749607917,0.9830590524091548,0.4382207578253707,0.8022426095820592,3.0,-0.0338983050847457,0.0627118644067796,0.0362711864406779,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250509,603121.SH,华培动力,603121.SH,A,G,0,0,0,0,1,0.8070701963117193,0.4929064587973273,0.6676558866475583,0.8655826430746728,0.4650943396226415,0.9867549668874172,2.0,0.040016501650165,0.0445544554455445,0.0325907590759078,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250512,603990.SH,麦迪科技,603990.SH,A,A,0,0,1,0,0,0.8289916716240334,0.6232572383073496,0.7920272024228002,0.7494554981733642,0.361111111111111,0.9490575649516046,2.0,-0.0039603960396039,-0.0217821782178218,-0.0448844884488448,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250513,601288.SH,农业银行,601288.SH,B,C,0,0,0,1,0,0.6449739499804221,0.7219181514476615,0.7043358931372019,0.9994553478086868,0.4246575342465757,0.7033639143730887,3.0,0.0035587188612098,0.0071174377224199,-0.0053380782918149,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250514,000420.SZ,吉林化纤,000420.SZ,A,A,1,0,0,0,0,0.8182584186974405,0.5954203786191536,0.6950543507652371,0.9639519505601372,0.446808510638298,0.9230377166156982,2.0,0.0636792452830188,0.080188679245283,0.1886792452830188,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250515,600057.SH,厦门象屿,600057.SH,A,C,0,0,0,1,0,0.7797247388911209,0.7235356347438752,0.4392136715158726,0.966748589597386,0.3379310344827587,0.9393476044852191,1.0,-0.0057636887608069,0.0086455331412103,0.0043227665706051,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250516,601515.SH,衢州东峰,601515.SH,B,G,0,0,0,0,1,0.7119046957225194,0.7072605790645878,0.0778689632794332,0.8973090509532023,0.2328767123287673,0.9495412844036696,2.0,-0.0073710073710073,0.0024570024570023,0.0343980343980343,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250519,600499.SH,科达制造,600499.SH,A,C,0,0,0,1,0,0.871963928397599,0.6445322939866369,0.6196528040668433,0.9526191912507154,0.3636363636363638,0.9688934217236104,2.0,-0.0028985507246376,-0.0212560386473429,-0.0280193236714975,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250520,600800.SH,渤海化学,600800.SH,A,C,0,0,0,1,0,0.8448861312689591,0.4353925389755011,0.5865015412903575,0.9855405331816864,0.5113636363636364,0.940427698574338,1.0,0.0101010101010101,-0.0454545454545455,-0.0782828282828282,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250521,600389.SH,江山股份,600389.SH,A,A,0,1,0,0,0,0.807951706235466,0.5619766146993318,0.4415594072792169,0.9899787511487252,0.4599589322381933,0.9475292919001528,2.0,-0.0257894736842104,0.0326315789473685,0.0426315789473683,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250522,001319.SZ,铭科精技,001319.SZ,A,G,0,0,0,0,1,0.7008788275892932,0.6016453229398664,0.6656549132010168,0.5068394841458199,0.372093023255814,0.8818135506877228,1.0,0.0129870129870128,0.0090187590187589,-0.0068542568542567,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250523,603997.SH,继峰股份,603997.SH,A,C,0,0,0,1,0,0.8735647071548323,0.5065701559020044,0.5908820507273809,0.985548932552653,0.4775784753363229,0.9485481406011208,1.0,-0.0014430014430013,-0.0043290043290041,-0.0036075036075035,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250526,603683.SH,晶华新材,603683.SH,A,G,0,0,0,0,1,0.8594713644475691,0.6425723830734966,0.6298401925260937,0.926920404450916,0.3280141843971631,0.9643402954661232,1.0,0.0694249649368863,0.0778401122019634,0.076437587657784,0,baseline_only,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
20250527,000967.SZ,盈峰环境,000967.SZ,A,G,0,0,0,0,1,0.8456267914120383,0.5011581291759466,0.5175761181115137,0.9812000233040862,0.5276073619631899,0.9689567430025444,1.0,-0.0026246719160105,0.0052493438320209,-0.0406824146981628,1,ind_le_q55_and_rs20_ge_q30,0.5869395922340599,0.8270325203252032,0,,,,,missing_intraday_data
