trade_date,buy_date,stock_code,stock_name,path_source,priority_tag,rank_global_after_merge,score_total,ret_t1_close,ret_t2_close,ret_t3_close,signal_triggered,signal_type,signal_time,signal_price,signal_reason,non_trigger_reason,selector_explain,priority_reason
20250929,20250930,000623.SZ,吉林敖东,B,0,2,0.7761092352631525,-0.0098960910440375,0.0049480455220187,0.0306778822365163,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20250930,20251009,600301.SH,华锡有色,B,0,2,0.766644927765261,0.0304477611940299,-0.0486567164179104,-0.0217910447761192,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251009,20251010,600392.SH,盛和资源,B,0,3,0.7466099773026618,-0.049960348929421,0.0337034099920698,-0.0087232355273592,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251009,20251010,603038.SH,华立股份,B,0,2,0.7539940772029983,0.0289937464468448,0.1318931210915293,0.1335986355884026,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251010,20251013,600850.SH,电科数字,B,0,3,0.6602070508572456,0.0459363957597174,-0.0208480565371024,0.0162544169611307,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251010,20251013,605580.SH,恒盛能源,B,0,2,0.7301196540172276,0.0533333333333334,0.0385185185185183,0.0474074074074073,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251013,20251014,600114.SH,东睦股份,B,0,3,0.7478130585384849,-0.0763688760806917,-0.0478386167146974,-0.0864553314121038,1,pullback_confirm,2025-10-13 11:20:00,31.63,"pullback_reclaim_support(support=31.278,drawdown=0.846%)",,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251013,20251014,603969.SH,银龙股份,B,0,2,0.7596440835677918,-0.0201096892138938,-0.026508226691042,-0.0493601462522851,1,pullback_confirm,2025-10-13 13:05:00,10.58,"pullback_reclaim_support(support=10.515,drawdown=0.750%)",,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251014,20251015,601069.SH,西部黄金,B,0,2,0.7645950212928023,-0.0163887291546865,-0.077343300747556,-0.043703277745831,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251014,20251015,605188.SH,国光连锁,B,0,3,0.6539353303991662,0.0668708524757528,0.0627871362940275,-0.0255232261357836,1,pullback_confirm,2025-10-14 14:00:00,18.44,"pullback_reclaim_support(support=18.074,drawdown=2.947%)",,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251015,20251016,603391.SH,力聚热能,B,0,2,0.8184580425225255,-0.0688584474885845,-0.0874885844748858,-0.0695890410958904,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251015,20251016,603725.SH,天安新材,B,0,3,0.6965587641505329,-0.0063636363636363,-0.0554545454545454,-0.0627272727272726,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251016,20251017,600179.SH,安通控股,A,0,1,0.801281785031785,0.0439024390243905,0.1487804878048781,0.1243902439024391,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=A;priority_tag=0,in_v32_core_only
20251016,20251017,603069.SH,海汽集团,B,0,2,0.7577400208210955,0.0318471337579617,0.1350318471337579,0.2169851380042462,1,pullback_confirm,2025-10-16 13:05:00,23.25,"pullback_reclaim_support(support=23.087,drawdown=0.811%)",,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251017,20251020,601718.SH,际华集团,B,0,3,0.5667894488986603,-0.0157480314960629,-0.0157480314960629,0.0131233595800523,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251017,20251020,603988.SH,中电电机,B,0,2,0.5674536796156288,-0.0241481971551439,-0.033079722130334,-0.0863380747601719,0,,,,,no_v1_1_pattern_triggered,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
20251020,20251021,600158.SH,中体产业,B,0,2,0.6822739528377896,0.0063626723223755,0.0095440084835631,0.0053022269353129,1,pullback_confirm,2025-10-20 13:25:00,9.34,"pullback_reclaim_support(support=9.300,drawdown=0.426%)",,schemeB:v32_core;path=B;priority_tag=0,in_v32_core_only
