group,signal_class,condition,fail_count,denominator_non_trigger_for_class,fail_rate
all,breakout_confirm,brk_break_any,159,198,0.803030303030303
all,breakout_confirm,brk_hold_any,138,198,0.696969696969697
all,breakout_confirm,brk_chg_ok_any,16,198,0.08080808080808081
all,breakout_confirm,brk_vol_any,6,198,0.030303030303030304
all,pullback_confirm,pull_support_touch_any,45,131,0.3435114503816794
all,pullback_confirm,pull_reclaim_any,31,131,0.2366412213740458
all,pullback_confirm,pull_drawdown_ok_any,27,131,0.20610687022900764
all,pullback_confirm,pull_chg_ok_any,16,131,0.12213740458015267
all,pullback_confirm,pull_vol_ok_any,1,131,0.007633587786259542
all,pullback_confirm,pull_momentum_ok_any,0,131,0.0
all,range_break_confirm,rng_break_any,121,193,0.6269430051813472
all,range_break_confirm,rng_width_ok_any,97,193,0.5025906735751295
all,range_break_confirm,rng_vol_any,1,193,0.0051813471502590676
path_A,breakout_confirm,brk_break_any,15,17,0.8823529411764706
path_A,breakout_confirm,brk_hold_any,11,17,0.6470588235294118
path_A,breakout_confirm,brk_chg_ok_any,3,17,0.17647058823529413
path_A,breakout_confirm,brk_vol_any,1,17,0.058823529411764705
path_A,pullback_confirm,pull_support_touch_any,5,12,0.4166666666666667
path_A,pullback_confirm,pull_drawdown_ok_any,4,12,0.3333333333333333
path_A,pullback_confirm,pull_chg_ok_any,4,12,0.3333333333333333
path_A,pullback_confirm,pull_reclaim_any,3,12,0.25
path_A,pullback_confirm,pull_vol_ok_any,1,12,0.08333333333333333
path_A,pullback_confirm,pull_momentum_ok_any,0,12,0.0
path_A,range_break_confirm,rng_break_any,13,16,0.8125
path_A,range_break_confirm,rng_width_ok_any,9,16,0.5625
path_A,range_break_confirm,rng_vol_any,1,16,0.0625
path_B,breakout_confirm,brk_break_any,144,181,0.7955801104972375
path_B,breakout_confirm,brk_hold_any,127,181,0.7016574585635359
path_B,breakout_confirm,brk_chg_ok_any,13,181,0.0718232044198895
path_B,breakout_confirm,brk_vol_any,5,181,0.027624309392265192
path_B,pullback_confirm,pull_support_touch_any,40,119,0.33613445378151263
path_B,pullback_confirm,pull_reclaim_any,28,119,0.23529411764705882
path_B,pullback_confirm,pull_drawdown_ok_any,23,119,0.19327731092436976
path_B,pullback_confirm,pull_chg_ok_any,12,119,0.10084033613445378
path_B,pullback_confirm,pull_vol_ok_any,0,119,0.0
path_B,pullback_confirm,pull_momentum_ok_any,0,119,0.0
path_B,range_break_confirm,rng_break_any,108,177,0.6101694915254238
path_B,range_break_confirm,rng_width_ok_any,88,177,0.4971751412429379
path_B,range_break_confirm,rng_vol_any,0,177,0.0
priority0_pathB,breakout_confirm,brk_break_any,143,179,0.7988826815642458
priority0_pathB,breakout_confirm,brk_hold_any,126,179,0.7039106145251397
priority0_pathB,breakout_confirm,brk_chg_ok_any,13,179,0.07262569832402235
priority0_pathB,breakout_confirm,brk_vol_any,5,179,0.027932960893854747
priority0_pathB,pullback_confirm,pull_support_touch_any,39,118,0.3305084745762712
priority0_pathB,pullback_confirm,pull_reclaim_any,28,118,0.23728813559322035
priority0_pathB,pullback_confirm,pull_drawdown_ok_any,23,118,0.19491525423728814
priority0_pathB,pullback_confirm,pull_chg_ok_any,12,118,0.1016949152542373
priority0_pathB,pullback_confirm,pull_vol_ok_any,0,118,0.0
priority0_pathB,pullback_confirm,pull_momentum_ok_any,0,118,0.0
priority0_pathB,range_break_confirm,rng_break_any,107,175,0.6114285714285714
priority0_pathB,range_break_confirm,rng_width_ok_any,87,175,0.49714285714285716
priority0_pathB,range_break_confirm,rng_vol_any,0,175,0.0
priority1_pathA,breakout_confirm,brk_break_any,11,12,0.9166666666666666
priority1_pathA,breakout_confirm,brk_hold_any,9,12,0.75
priority1_pathA,breakout_confirm,brk_chg_ok_any,1,12,0.08333333333333333
priority1_pathA,breakout_confirm,brk_vol_any,0,12,0.0
priority1_pathA,pullback_confirm,pull_support_touch_any,3,8,0.375
priority1_pathA,pullback_confirm,pull_drawdown_ok_any,2,8,0.25
priority1_pathA,pullback_confirm,pull_reclaim_any,2,8,0.25
priority1_pathA,pullback_confirm,pull_chg_ok_any,2,8,0.25
priority1_pathA,pullback_confirm,pull_vol_ok_any,0,8,0.0
priority1_pathA,pullback_confirm,pull_momentum_ok_any,0,8,0.0
priority1_pathA,range_break_confirm,rng_break_any,9,11,0.8181818181818182
