trade_date,event_count,stock_count
20250508,26,26
20250509,223,223
20250512,110,110
20250513,68,68
20250514,87,87
20250515,75,75
20250516,27,27
20250519,45,45
20250520,38,38
20250521,51,51
20250522,24,24
20250523,19,19
20250526,22,22
20250527,37,37
20250528,77,77
20250529,76,76
20250530,57,57
20250603,78,78
20250604,61,61
20250605,55,55
20250606,60,60
20250609,67,67
20250610,87,87
20250611,69,69
20250612,53,53
20250613,42,42
20250616,38,38
20250617,55,55
20250618,53,53
20250619,23,23
20250620,25,25
20250623,46,46
20250624,100,100
20250625,139,139
20250626,61,61
20250627,61,61
20250630,77,77
20250701,86,86
20250702,79,79
20250703,47,47
20250704,65,65
20250707,63,63
20250708,96,96
20250709,66,66
20250710,111,111
20250711,159,159
20250714,111,111
20250715,62,62
20250716,73,73
20250717,68,68
20250718,84,84
20250721,167,167
20250722,130,130
20250723,62,62
20250724,111,111
20250725,69,69
20250728,49,49
20250729,83,83
20250730,103,103
20250731,40,40
20250801,47,47
20250804,69,69
20250805,67,67
20250806,96,96
20250807,109,109
20250808,82,82
20250811,104,104
20250812,104,104
20250813,101,101
20250814,54,54
20250815,103,103
20250818,151,151
20250819,106,106
20250820,140,140
20250821,139,139
20250822,105,105
20250825,224,224
20250826,114,114
20250827,51,51
20250828,66,66
20250829,75,75
20250901,88,88
20250902,47,47
20250903,25,25
20250904,36,36
20250905,62,62
20250908,102,102
20250909,53,53
20250910,34,34
20250911,96,96
20250912,86,86
20250915,53,53
20250916,68,68
20250917,90,90
20250918,72,72
20250919,44,44
20250922,27,27
20250923,32,32
20250924,61,61
20250925,52,52
20250926,46,46
20250929,68,68
20250930,79,79
20251009,129,129
20251010,95,95
20251013,58,58
20251014,68,68
20251015,62,62
20251016,46,46
20251017,27,27
20251020,37,37
20251021,62,62
20251022,53,53
20251023,59,59
20251024,58,58
20251027,92,92
20251028,105,105
20251029,105,105
20251030,74,74
20251031,87,87
20251103,81,81
20251104,49,49
20251105,58,58
20251106,66,66
20251107,69,69
20251110,104,104
20251111,63,63
20251112,55,55
20251113,80,80
20251114,81,81
20251117,67,67
20251118,62,62
20251119,48,48
20251120,37,37
20251121,17,17
20251124,24,24
20251125,31,31
20251126,33,33
20251127,40,40
20251128,40,40
20251201,125,125
20251202,54,54
20251203,57,57
20251204,37,37
20251205,93,93
20251208,62,62
20251209,54,54
20251210,54,54
20251211,41,41
20251212,79,79
20251215,65,65
20251216,34,34
20251217,50,50
20251218,83,83
20251219,88,88
20251222,83,83
20251223,48,48
20251224,93,93
20251225,91,91
20251226,124,124
20251229,212,212
20251230,108,108
20251231,96,96
20260105,209,209
20260106,245,245
20260107,109,109
20260108,141,141
20260109,137,137
20260112,220,220
20260113,115,115
20260114,99,99
20260115,90,90
20260116,102,102
20260119,224,224
20260120,155,155
20260121,107,107
20260122,177,177
20260123,209,209
20260126,141,141
20260127,104,104
20260128,121,121
20260129,161,161
20260130,89,89
20260202,38,38
20260203,62,62
20260204,114,114
20260205,127,127
20260206,84,84
20260209,104,104
20260210,122,122
20260211,104,104
20260212,109,109
20260213,51,51
20260224,165,165
20260225,180,180
20260226,125,125
20260227,135,135
20260302,135,135
20260303,81,81
20260304,48,48
20260305,64,64
20260306,96,96
20260309,95,95
20260310,107,107
20260311,141,141
20260312,105,105
20260313,114,114
20260316,105,105
20260317,67,67
20260318,64,64
20260319,42,42
20260320,36,36
20260323,14,14
20260324,35,35
20260325,65,65
20260326,45,45
20260327,76,76
20260330,88,88
20260331,68,68
20260401,98,98
20260402,65,65
20260403,32,32
20260408,253,253
