ts_code,event_interval_days
000001.SZ,12
000001.SZ,9
000001.SZ,20
000001.SZ,7
000001.SZ,8
000001.SZ,52
000001.SZ,50
000001.SZ,9
000001.SZ,19
000001.SZ,8
000001.SZ,47
000001.SZ,71
000001.SZ,14
000002.SZ,8
000002.SZ,19
000002.SZ,27
000002.SZ,17
000002.SZ,19
000002.SZ,100
000002.SZ,20
000002.SZ,27
000006.SZ,10
000006.SZ,18
000006.SZ,62
000006.SZ,19
000006.SZ,17
000006.SZ,27
000006.SZ,19
000006.SZ,59
000006.SZ,49
000006.SZ,31
000006.SZ,17
000007.SZ,26
000007.SZ,21
000007.SZ,57
000007.SZ,23
000008.SZ,24
000008.SZ,33
000008.SZ,22
000008.SZ,22
000008.SZ,26
000008.SZ,27
000008.SZ,18
000008.SZ,10
000008.SZ,18
000008.SZ,39
000008.SZ,17
000008.SZ,49
000008.SZ,20
000009.SZ,24
000009.SZ,17
000009.SZ,18
000009.SZ,18
000009.SZ,14
000009.SZ,7
000009.SZ,19
000009.SZ,37
000009.SZ,55
000009.SZ,21
000009.SZ,8
000009.SZ,49
000010.SZ,17
000010.SZ,22
000010.SZ,66
000010.SZ,101
000010.SZ,19
000011.SZ,17
000012.SZ,89
000012.SZ,21
000014.SZ,35
000014.SZ,21
000014.SZ,17
000014.SZ,27
000014.SZ,110
000014.SZ,30
000016.SZ,46
000016.SZ,17
000016.SZ,31
000016.SZ,17
000016.SZ,54
000016.SZ,17
000016.SZ,33
000016.SZ,42
000016.SZ,70
000017.SZ,20
000017.SZ,71
000017.SZ,20
000017.SZ,34
000017.SZ,37
000017.SZ,20
000017.SZ,17
000017.SZ,28
000019.SZ,24
000019.SZ,74
000019.SZ,45
000019.SZ,23
000020.SZ,25
000020.SZ,22
000020.SZ,112
000021.SZ,46
000021.SZ,17
000021.SZ,19
000021.SZ,13
000021.SZ,7
000021.SZ,23
000021.SZ,19
000021.SZ,27
000021.SZ,42
000021.SZ,16
000021.SZ,7
000021.SZ,21
000021.SZ,23
000021.SZ,27
000025.SZ,20
000025.SZ,63
000025.SZ,17
000025.SZ,11
000025.SZ,45
000025.SZ,19
000025.SZ,15
000025.SZ,44
000025.SZ,10
000025.SZ,7
000026.SZ,19
000026.SZ,23
000026.SZ,19
000026.SZ,56
000026.SZ,94
000027.SZ,27
000027.SZ,7
000027.SZ,25
000027.SZ,7
000027.SZ,39
000027.SZ,16
000027.SZ,14
000027.SZ,19
000027.SZ,59
000027.SZ,19
000027.SZ,28
000027.SZ,14
000027.SZ,14
000028.SZ,28
000028.SZ,130
000028.SZ,51
000028.SZ,15
000029.SZ,56
000029.SZ,17
000029.SZ,27
000029.SZ,127
000029.SZ,27
000031.SZ,95
000031.SZ,20
000032.SZ,28
000032.SZ,19
000032.SZ,16
000032.SZ,13
000032.SZ,19
000032.SZ,17
000032.SZ,73
000032.SZ,43
000032.SZ,21
000032.SZ,45
000032.SZ,31
000034.SZ,47
000034.SZ,19
000034.SZ,11
000034.SZ,19
000034.SZ,19
000034.SZ,17
000034.SZ,41
000034.SZ,19
000034.SZ,42
000034.SZ,11
000034.SZ,48
000035.SZ,17
000035.SZ,32
000035.SZ,21
000035.SZ,24
000035.SZ,40
000035.SZ,20
000035.SZ,22
000035.SZ,19
000036.SZ,73
000036.SZ,19
000036.SZ,17
000036.SZ,21
000036.SZ,47
000036.SZ,30
000037.SZ,25
000037.SZ,122
000037.SZ,74
000037.SZ,34
000037.SZ,20
000039.SZ,32
000039.SZ,19
000039.SZ,19
000039.SZ,9
000039.SZ,26
000039.SZ,18
000039.SZ,18
000039.SZ,27
000039.SZ,17
000039.SZ,19
000039.SZ,17
000039.SZ,11
000039.SZ,23
000039.SZ,12
000039.SZ,27
000039.SZ,37
000045.SZ,55
000045.SZ,36
000045.SZ,27
000045.SZ,99
000045.SZ,34
000045.SZ,22
000048.SZ,63
000048.SZ,21
000048.SZ,14
000048.SZ,17
000048.SZ,27
000048.SZ,29
000048.SZ,47
000048.SZ,26
000048.SZ,17
000048.SZ,32
000048.SZ,17
000049.SZ,34
000049.SZ,7
000049.SZ,17
000049.SZ,19
000049.SZ,28
000049.SZ,17
000049.SZ,24
000049.SZ,37
000049.SZ,36
000049.SZ,28
000050.SZ,15
000050.SZ,15
000050.SZ,12
000050.SZ,9
000050.SZ,8
000050.SZ,22
000050.SZ,42
000050.SZ,35
000050.SZ,26
000050.SZ,21
000050.SZ,43
000056.SZ,22
000056.SZ,71
000056.SZ,153
000058.SZ,28
000058.SZ,32
000058.SZ,76
000058.SZ,22
000059.SZ,35
000059.SZ,21
000059.SZ,30
000059.SZ,78
000059.SZ,53
000059.SZ,22
000059.SZ,19
000059.SZ,21
000060.SZ,21
000060.SZ,19
000060.SZ,11
000060.SZ,10
000060.SZ,17
000060.SZ,13
000060.SZ,12
000060.SZ,11
000060.SZ,18
000060.SZ,27
000060.SZ,17
000060.SZ,22
000060.SZ,19
000060.SZ,21
000060.SZ,42
000061.SZ,19
000061.SZ,36
000061.SZ,21
000061.SZ,17
000061.SZ,19
000061.SZ,21
000062.SZ,47
000062.SZ,19
000062.SZ,24
000062.SZ,11
000062.SZ,22
000062.SZ,69
000062.SZ,42
000062.SZ,14
000062.SZ,9
000062.SZ,37
000062.SZ,12
000062.SZ,19
000063.SZ,21
000063.SZ,19
000063.SZ,7
000063.SZ,10
000063.SZ,13
000063.SZ,19
000063.SZ,17
000063.SZ,19
000063.SZ,27
000063.SZ,43
000063.SZ,41
000063.SZ,17
000063.SZ,34
000065.SZ,43
000065.SZ,17
000065.SZ,27
000065.SZ,19
000065.SZ,45
000065.SZ,11
000065.SZ,17
000065.SZ,14
000065.SZ,19
000065.SZ,21
000065.SZ,22
000065.SZ,36
000065.SZ,19
000065.SZ,21
000066.SZ,31
000066.SZ,19
000066.SZ,9
000066.SZ,18
000066.SZ,17
000066.SZ,24
000066.SZ,38
000066.SZ,57
000066.SZ,11
000066.SZ,17
000066.SZ,45
000069.SZ,46
000069.SZ,17
000069.SZ,19
000069.SZ,41
000069.SZ,18
000069.SZ,21
000069.SZ,21
000069.SZ,19
000070.SZ,27
000070.SZ,7
000070.SZ,19
000070.SZ,20
000070.SZ,39
000070.SZ,28
000070.SZ,19
000070.SZ,33
000070.SZ,22
000070.SZ,27
000070.SZ,29
000078.SZ,20
000078.SZ,112
000078.SZ,19
000078.SZ,29
000078.SZ,76
000088.SZ,50
000088.SZ,9
000088.SZ,19
000088.SZ,70
000088.SZ,8
000088.SZ,27
000088.SZ,17
000088.SZ,26
000089.SZ,28
000089.SZ,50
000089.SZ,88
000090.SZ,18
000090.SZ,31
000090.SZ,17
000090.SZ,13
000090.SZ,71
000090.SZ,13
000096.SZ,87
000096.SZ,161
000099.SZ,54
000099.SZ,15
000099.SZ,18
000099.SZ,14
000099.SZ,7
000099.SZ,46
000099.SZ,73
000099.SZ,14
000099.SZ,7
000099.SZ,45
000099.SZ,8
000100.SZ,19
000100.SZ,20
000100.SZ,15
000100.SZ,9
000100.SZ,10
000100.SZ,28
000100.SZ,52
000100.SZ,21
000100.SZ,11
000100.SZ,23
000100.SZ,14
000100.SZ,20
000100.SZ,17
000100.SZ,35
000151.SZ,128
000153.SZ,19
000155.SZ,15
000155.SZ,20
000155.SZ,25
000155.SZ,7
000155.SZ,27
000155.SZ,14
000155.SZ,19
000155.SZ,41
000155.SZ,15
000155.SZ,17
000155.SZ,32
000155.SZ,17
000155.SZ,19
000156.SZ,35
000156.SZ,17
000156.SZ,73
000156.SZ,67
000156.SZ,19
000156.SZ,13
000157.SZ,42
000157.SZ,8
000157.SZ,19
000157.SZ,35
000157.SZ,23
000157.SZ,7
000157.SZ,27
000157.SZ,16
000157.SZ,28
000157.SZ,19
000157.SZ,13
000157.SZ,17
000157.SZ,12
000157.SZ,27
000157.SZ,37
000158.SZ,47
000158.SZ,20
000158.SZ,20
000158.SZ,14
000158.SZ,59
000158.SZ,19
000158.SZ,17
000158.SZ,38
000158.SZ,14
000158.SZ,46
000158.SZ,10
000159.SZ,39
000159.SZ,35
