feature_a,feature_b,spearman_corr,keep_representative,downgrade_redundant
f_platform_range_best,f_platform_range20,1.0,f_platform_range20,f_platform_range_best
f_chip_secondary_peak_ratio,f_chip_peak_dominance,-0.9999999999833711,f_chip_secondary_peak_ratio,f_chip_peak_dominance
f_strength_rs60_xsec_q,f_strength_vs_index60,0.9872029746167414,f_strength_rs60_xsec_q,f_strength_vs_index60
f_strength_rs20_xsec_q,f_strength_vs_index20,0.9703485551921326,f_strength_rs20_xsec_q,f_strength_vs_index20
f_strength_ret60,f_strength_vs_index60,0.9612521694366072,f_strength_ret60,f_strength_vs_index60
f_strength_rs60_xsec_q,f_strength_ret60,0.9602885387107657,f_strength_rs60_xsec_q,f_strength_ret60
f_strength_ret20,f_strength_vs_index20,0.9340628325590018,f_strength_ret20,f_strength_vs_index20
f_strength_rs20_xsec_q,f_strength_ret20,0.9048324010975144,f_strength_rs20_xsec_q,f_strength_ret20
f_platform_range_best,f_platform_range30,0.9047962900932578,f_platform_range_best,f_platform_range30
f_platform_range20,f_platform_range30,0.9047962900932578,f_platform_range20,f_platform_range30
f_trend_close_ma60_gap,f_trend_ma20_ma60_gap,0.8878177119392955,f_trend_close_ma60_gap,f_trend_ma20_ma60_gap
f_strength_ret20,f_trend_ma20_slope5,0.8866180586833275,f_strength_ret20,f_trend_ma20_slope5
f_chip_secondary_peak_ratio,f_chip_single_peak_score,-0.8851869303464629,f_chip_secondary_peak_ratio,f_chip_single_peak_score
f_chip_peak_dominance,f_chip_single_peak_score,0.8851869224220847,f_chip_peak_dominance,f_chip_single_peak_score
f_chip_peak_count_sig,f_chip_single_peak_score,-0.8691305069873811,f_chip_peak_count_sig,f_chip_single_peak_score
