feature,months_used,overall_gap,dominant_sign,sign_consistency,stable_direction,monthly_gap_std,stage_sensitive
f_strength_ret20,11,0.015480465750780215,positive,1.0,True,0.015397280239553128,False
f_strength_ret60,11,0.0214472109484396,positive,0.8181818181818182,True,0.020505137564605747,False
f_strength_rs20_xsec_q,11,0.04962365138682456,positive,1.0,True,0.042566414116300764,False
f_strength_rs60_xsec_q,11,0.04751318527587467,positive,0.9090909090909091,True,0.0459282417616066,False
f_trend_close_ma20_gap,11,0.005176484407333537,positive,0.9090909090909091,True,0.004212525841489212,False
f_trend_close_ma60_gap,11,0.011696984521576193,positive,0.8181818181818182,True,0.010495765203978751,False
f_trend_ma20_ma60_gap,11,0.006270857151784659,positive,0.7272727272727273,True,0.008602889018895813,False
f_trend_ma20_slope5,11,0.0019087444689154243,positive,0.6363636363636364,False,0.0031836741835746924,False
f_platform_range20,11,0.012525652454198427,positive,0.8181818181818182,True,0.01552193549059173,False
f_platform_range30,11,0.01028426348178671,positive,0.7272727272727273,True,0.01859558189686262,False
f_platform_range_best,11,0.012846405914744702,positive,0.8181818181818182,True,0.015638506932506117,False
f_platform_compress_ratio,11,-0.0010261353196810985,positive,0.7272727272727273,True,0.01835402245916333,False
f_near_pivot20,11,-0.004577761734926744,negative,0.8181818181818182,True,0.00558080145968111,False
f_platform_len,11,0.0,negative,1.0,True,0.385694607919935,False
f_atr_ratio,11,0.023376648048937243,positive,0.8181818181818182,True,0.06028904812995256,False
f_vol20_vol60,11,0.01591590490373429,positive,0.6363636363636364,False,0.055750784174220795,False
f_breakout_vol_ratio20,11,-0.04733737165338425,negative,0.9090909090909091,True,0.09358295620458369,False
f_vol_stability20,11,0.001957982492249377,positive,0.6363636363636364,False,0.02431451050504321,False
f_low_vol_days10,11,0.0,negative,0.6666666666666666,False,0.8624393618641034,False
f_up_down_vol_ratio20,11,0.022270987432942535,positive,0.6363636363636364,False,0.0979966959126277,False
f_k_pct_chg,11,0.002004000799093686,positive,0.7272727272727273,True,0.005008537472634617,False
f_k_body_to_atr,11,-0.008676858364132123,negative,0.6363636363636364,False,0.07197686764149508,False
f_k_upper_shadow_ratio,11,-0.00559440559440777,negative,0.5454545454545454,False,0.025109204822342607,True
f_k_lower_shadow_ratio,11,-0.01584507042253322,negative,0.9090909090909091,True,0.012429978175687854,False
f_k_close_pos,11,-0.004951635191159487,positive,0.5454545454545454,False,0.05484806295898515,True
f_k_break_pivot20_pct,11,-0.004577761734926744,negative,0.8181818181818182,True,0.00558080145968111,False
f_ind_strength_today,11,0.0008552011855731626,positive,0.5454545454545454,False,0.0024731090176910503,True
f_ind_strength_3d,11,-3.5223426508376385e-05,negative,0.5454545454545454,False,0.0010778902024880714,True
f_ind_strength_5d,11,-0.0002892358596404965,negative,0.7272727272727273,True,0.0016369565020136964,False
f_ind_breadth,11,0.014950166112956853,positive,0.6363636363636364,False,0.08131916014925562,False
f_ind_peer_strong_count,11,1.0,positive,0.8888888888888888,True,0.6428243465332248,False
f_ind_rank_pctchg,11,0.00940438871473348,positive,0.7272727272727273,True,0.0494480232548245,False
f_ind_rank_amount,11,-0.0034155597722960174,negative,0.5454545454545454,False,0.022564732871619895,True
f_strength_vs_index20,11,0.014058254899973366,positive,1.0,True,0.01329629916489958,False
f_strength_vs_index60,11,0.018025856715098376,positive,0.8181818181818182,True,0.026227415649593435,False
f_chip_concentration,11,0.003207416632684368,positive,0.7272727272727273,True,0.0058138389803220804,False
f_chip_stability_std10,11,0.0005170086312542756,positive,0.9090909090909091,True,0.0004874607310225479,False
f_chip_low_position120,11,0.021151967119931503,positive,0.9090909090909091,True,0.015224665730245774,False
f_chip_winner_rate,11,0.026247007450779902,positive,0.8181818181818182,True,0.02913126968473606,False
f_chip_peak_count_sig,11,0.0,negative,1.0,True,0.2874797872880344,False
f_chip_secondary_peak_ratio,11,-0.018916026329796054,negative,0.8181818181818182,True,0.023573033988008026,False
f_chip_peak_dominance,11,0.018916026329796,positive,0.8181818181818182,True,0.023573033988008033,False
f_chip_single_peak_score,11,0.008354123682645875,positive,0.6363636363636364,False,0.016460515898499947,False
