feature,a_n,c_n,a_missing_rate,c_missing_rate,a_median,c_median,median_gap_a_minus_c,direction,cliffs_delta,abs_effect,keep_candidate,family,rank
f_strength_rs20_xsec_q,3813,6968,0.001047943411055803,0.003432494279176201,0.7541223891535361,0.7044987377667116,0.04962365138682456,A_higher,0.08661211885256881,0.08661211885256881,True,trend_strength,1
f_strength_ret20,3813,6968,0.001047943411055803,0.003432494279176201,0.07750472589792068,0.062024260147140464,0.015480465750780215,A_higher,0.08515455464913524,0.08515455464913524,True,trend_strength,2
f_platform_range_best,3644,6853,0.04532355252816348,0.01987986270022883,0.1463944263731648,0.1335480204584201,0.012846405914744702,A_higher,0.07955676706524639,0.07955676706524639,False,platform_structure,3
f_platform_range20,3813,6968,0.001047943411055803,0.003432494279176201,0.14615384615384613,0.1336281936996477,0.012525652454198427,A_higher,0.07766356440276367,0.07766356440276367,False,platform_structure,4
f_strength_vs_index20,3813,6968,0.001047943411055803,0.003432494279176201,0.049820473644003105,0.03576221874402974,0.014058254899973366,A_higher,0.07467707459193762,0.07467707459193762,False,trend_strength,5
f_chip_stability_std10,3817,6992,0.0,0.0,0.0035754460050652264,0.0030584373738109507,0.0005170086312542756,A_higher,0.07128653039005917,0.07128653039005917,False,chip_quality,6
f_chip_winner_rate,3817,6992,0.0,0.0,0.7601539839774705,0.7339069765266906,0.026247007450779902,A_higher,0.0665629164720758,0.0665629164720758,False,chip_quality,7
f_platform_range30,3644,6853,0.04532355252816348,0.01987986270022883,0.1860730593607306,0.1757887958789439,0.01028426348178671,A_higher,0.06595783685720669,0.06595783685720669,False,platform_structure,8
f_ind_peer_strong_count,3817,6992,0.0,0.0,6.0,5.0,1.0,A_higher,0.06575953565555515,0.06575953565555515,False,industry_leadership,9
f_chip_low_position120,3418,6426,0.10453235525281634,0.08094965675057209,0.5364894420013981,0.5153374748814666,0.021151967119931503,A_higher,0.05694323109908428,0.05694323109908428,False,chip_quality,10
f_trend_close_ma60_gap,3418,6426,0.10453235525281634,0.08094965675057209,0.07896659059947464,0.06726960607789845,0.011696984521576193,A_higher,0.05458870369550861,0.05458870369550861,False,trend_strength,11
f_strength_rs60_xsec_q,3411,6422,0.106366256222164,0.08152173913043478,0.6997427416391032,0.6522295563632285,0.04751318527587467,A_higher,0.054023059657960726,0.054023059657960726,False,trend_strength,12
f_trend_close_ma20_gap,3817,6992,0.0,0.0,0.044581456011382414,0.03940497160404888,0.005176484407333537,A_higher,0.05311193630326572,0.05311193630326572,False,trend_strength,13
f_breakout_vol_ratio20,3817,6992,0.0,0.0,1.3633640027320104,1.4107013743853947,-0.04733737165338425,A_lower,-0.050485782921040334,0.050485782921040334,False,volume_rhythm,14
f_k_lower_shadow_ratio,3799,6979,0.004715745349751114,0.0018592677345537758,0.12500000000000167,0.14084507042253488,-0.01584507042253322,A_lower,-0.04759399093757788,0.04759399093757788,False,kline_research,15
f_trend_ma20_slope5,3701,6915,0.030390358920618286,0.011012585812356979,0.011277209546288969,0.009368465077373545,0.0019087444689154243,A_higher,0.047303156032754146,0.047303156032754146,False,trend_strength,16
f_ind_strength_5d,3817,6992,0.0,0.0,0.0038665780380565786,0.004155813897697075,-0.0002892358596404965,A_lower,-0.046119027307079175,0.046119027307079175,False,industry_leadership,17
f_platform_len,3817,6992,0.0,0.0,20.0,20.0,0.0,flat,-0.04411033171485623,0.04411033171485623,False,platform_structure,18
f_strength_ret60,3411,6422,0.106366256222164,0.08152173913043478,0.12501526065193524,0.10356804970349565,0.0214472109484396,A_higher,0.0437274901825766,0.0437274901825766,False,trend_strength,19
f_chip_secondary_peak_ratio,3817,6992,0.0,0.0,0.7782344875145164,0.7971505138443125,-0.018916026329796054,A_lower,-0.04352483529962603,0.04352483529962603,False,chip_quality,20
f_chip_peak_dominance,3817,6992,0.0,0.0,0.2217655124854836,0.2028494861556876,0.018916026329796,A_higher,0.04352476036088104,0.04352476036088104,False,chip_quality,21
f_chip_peak_count_sig,3817,6992,0.0,0.0,2.0,2.0,0.0,flat,-0.043020647422796654,0.043020647422796654,False,chip_quality,22
f_strength_vs_index60,3411,6422,0.106366256222164,0.08152173913043478,0.059587593155854934,0.04156173644075656,0.018025856715098376,A_higher,0.04247364650300134,0.04247364650300134,False,trend_strength,23
f_trend_ma20_ma60_gap,3418,6426,0.10453235525281634,0.08094965675057209,0.030172496422259165,0.023901639270474506,0.006270857151784659,A_higher,0.03489772477484587,0.03489772477484587,False,trend_strength,24
f_chip_single_peak_score,3817,6992,0.0,0.0,0.31383674345082757,0.3054826197681817,0.008354123682645875,A_higher,0.03127396166373608,0.03127396166373608,False,chip_quality,25
f_k_pct_chg,3817,6992,0.0,0.0,0.021956087824351433,0.019952087025257748,0.002004000799093686,A_higher,0.030525885641077055,0.030525885641077055,False,kline_research,26
f_atr_ratio,3651,6863,0.043489651558815824,0.018449656750572082,1.1105502271580006,1.0871735791090633,0.023376648048937243,A_higher,0.029058962925572418,0.029058962925572418,False,platform_structure,27
f_chip_concentration,3817,6992,0.0,0.0,0.12386425228606567,0.1206568356533813,0.003207416632684368,A_higher,0.028246323954799424,0.028246323954799424,False,chip_quality,28
f_up_down_vol_ratio20,3817,6991,0.0,0.00014302059496567506,1.5687932736409205,1.546522286207978,0.022270987432942535,A_higher,0.02088230734324492,0.02088230734324492,False,volume_rhythm,29
f_near_pivot20,3813,6968,0.001047943411055803,0.003432494279176201,-0.032820512820512904,-0.02824275108558616,-0.004577761734926744,A_lower,-0.01986835477035931,0.01986835477035931,False,other,30
f_k_break_pivot20_pct,3813,6968,0.001047943411055803,0.003432494279176201,-0.032820512820512904,-0.02824275108558616,-0.004577761734926744,A_lower,-0.01986835477035931,0.01986835477035931,False,kline_research,31
f_low_vol_days10,3817,6992,0.0,0.0,5.0,5.0,0.0,flat,-0.01889966391471609,0.01889966391471609,False,other,32
f_ind_strength_today,3817,6992,0.0,0.0,0.007982591186797998,0.007127390001224835,0.0008552011855731626,A_higher,0.01759014681399429,0.01759014681399429,False,industry_leadership,33
