trade_date,label_true_breakout,count
20250508,A,2
20250508,C,15
20250508,G,9
20250509,A,41
20250509,C,42
20250509,G,140
20250512,A,14
20250512,C,42
20250512,G,54
20250513,A,10
20250513,C,29
20250513,G,29
20250514,A,6
20250514,C,58
20250514,G,23
20250515,A,12
20250515,C,16
20250515,G,47
20250516,A,4
20250516,C,4
20250516,G,19
20250519,A,8
20250519,C,13
20250519,G,24
20250520,A,9
20250520,C,20
20250520,G,9
20250521,A,5
20250521,C,23
20250521,G,23
20250522,A,1
20250522,C,9
20250522,G,14
20250523,A,4
20250523,C,8
20250523,G,7
20250526,A,3
20250526,C,11
20250526,G,8
20250527,A,8
20250527,C,14
20250527,G,15
20250528,A,16
20250528,C,22
20250528,G,39
20250529,A,19
20250529,C,25
20250529,G,32
20250530,A,11
20250530,C,14
20250530,G,32
20250603,A,22
20250603,C,20
20250603,G,36
20250604,A,6
20250604,C,22
20250604,G,33
20250605,A,6
20250605,C,22
20250605,G,27
20250606,A,8
20250606,C,28
20250606,G,24
20250609,A,8
20250609,C,38
20250609,G,21
20250610,A,15
20250610,C,41
20250610,G,31
20250611,A,5
20250611,C,40
20250611,G,24
20250612,A,2
20250612,C,37
20250612,G,14
20250613,A,7
20250613,C,18
20250613,G,17
20250616,A,2
20250616,C,22
20250616,G,14
20250617,A,5
20250617,C,35
20250617,G,15
20250618,A,8
20250618,C,27
20250618,G,18
20250619,A,7
20250619,C,6
20250619,G,10
20250620,A,9
20250620,C,8
20250620,G,8
20250623,A,18
20250623,C,12
20250623,G,16
20250624,A,32
20250624,C,17
20250624,G,51
20250625,A,30
20250625,C,47
20250625,G,62
20250626,A,14
20250626,C,22
20250626,G,25
20250627,A,10
20250627,C,21
20250627,G,30
20250630,A,8
20250630,C,26
20250630,G,43
20250701,A,26
20250701,C,30
20250701,G,30
20250702,A,9
20250702,C,29
20250702,G,41
20250703,A,8
20250703,C,18
20250703,G,21
20250704,A,20
20250704,C,6
20250704,G,39
20250707,A,16
20250707,C,12
20250707,G,35
20250708,A,9
20250708,C,35
20250708,G,52
20250709,A,8
20250709,C,25
20250709,G,33
20250710,A,16
20250710,C,53
20250710,G,42
20250711,A,22
20250711,C,70
20250711,G,67
20250714,A,25
20250714,C,35
20250714,G,51
20250715,A,27
20250715,C,11
20250715,G,24
20250716,A,18
20250716,C,19
20250716,G,36
20250717,A,20
20250717,C,15
20250717,G,33
20250718,A,34
20250718,C,18
20250718,G,32
20250721,A,40
20250721,C,31
20250721,G,96
20250722,A,13
20250722,C,67
20250722,G,50
20250723,A,12
20250723,C,21
20250723,G,29
20250724,A,11
20250724,C,62
20250724,G,38
20250725,A,12
20250725,C,33
20250725,G,24
20250728,A,6
20250728,C,21
20250728,G,22
20250729,A,16
20250729,C,36
20250729,G,31
20250730,A,9
20250730,C,63
20250730,G,31
20250731,A,12
20250731,C,11
20250731,G,17
20250801,A,20
20250801,C,7
20250801,G,20
20250804,A,24
20250804,C,6
20250804,G,39
20250805,A,19
20250805,C,19
20250805,G,29
20250806,A,24
20250806,C,29
20250806,G,43
20250807,A,17
20250807,C,36
20250807,G,56
20250808,A,16
20250808,C,29
20250808,G,37
20250811,A,29
20250811,C,30
20250811,G,45
20250812,A,39
20250812,C,34
20250812,G,31
20250813,A,35
20250813,C,22
20250813,G,44
20250814,A,17
20250814,C,8
20250814,G,29
20250815,A,31
20250815,C,29
20250815,G,43
20250818,A,50
20250818,C,19
20250818,G,82
20250819,A,31
20250819,C,17
20250819,G,58
20250820,A,33
20250820,C,32
20250820,G,75
20250821,A,29
20250821,C,55
20250821,G,55
20250822,A,17
20250822,C,35
20250822,G,53
20250825,A,28
20250825,C,131
20250825,G,65
20250826,A,19
20250826,C,77
20250826,G,18
20250827,A,16
20250827,C,21
20250827,G,14
20250828,A,12
20250828,C,29
20250828,G,25
20250829,A,15
20250829,C,42
20250829,G,18
20250901,A,16
20250901,C,44
20250901,G,28
20250902,A,10
20250902,C,24
20250902,G,13
20250903,A,7
20250903,C,11
20250903,G,7
20250904,A,16
20250904,C,7
20250904,G,13
20250905,A,22
20250905,C,9
20250905,G,31
20250908,A,16
20250908,C,44
20250908,G,42
20250909,A,17
20250909,C,20
20250909,G,16
20250910,A,8
20250910,C,11
20250910,G,15
20250911,A,25
20250911,C,31
20250911,G,40
20250912,A,11
20250912,C,36
20250912,G,39
20250915,A,12
20250915,C,19
20250915,G,22
20250916,A,12
20250916,C,36
20250916,G,20
20250917,A,11
20250917,C,55
20250917,G,24
20250918,A,19
20250918,C,36
20250918,G,17
20250919,A,6
20250919,C,18
20250919,G,20
20250922,A,3
20250922,C,13
20250922,G,11
20250923,A,11
20250923,C,10
20250923,G,11
20250924,A,21
20250924,C,16
20250924,G,24
20250925,A,13
20250925,C,18
20250925,G,21
20250926,A,18
20250926,C,12
20250926,G,16
20250929,A,16
20250929,C,18
20250929,G,34
20250930,A,21
20250930,C,29
20250930,G,29
20251009,A,19
20251009,C,63
20251009,G,47
20251010,A,18
20251010,C,41
20251010,G,36
20251013,A,15
20251013,C,24
20251013,G,19
20251014,A,7
20251014,C,26
20251014,G,35
20251015,A,9
20251015,C,35
20251015,G,18
20251016,A,6
20251016,C,20
20251016,G,20
20251017,A,3
20251017,C,13
20251017,G,11
20251020,A,8
20251020,C,15
20251020,G,14
20251021,A,5
20251021,C,22
20251021,G,35
20251022,A,12
20251022,C,29
20251022,G,12
20251023,A,10
20251023,C,32
20251023,G,17
20251024,A,16
20251024,C,19
20251024,G,23
20251027,A,14
20251027,C,34
20251027,G,44
20251028,A,19
20251028,C,39
20251028,G,47
20251029,A,22
20251029,C,48
20251029,G,35
20251030,A,17
20251030,C,19
20251030,G,38
20251031,A,18
20251031,C,34
20251031,G,35
20251103,A,24
20251103,C,14
20251103,G,43
20251104,A,15
20251104,C,9
20251104,G,25
20251105,A,13
20251105,C,17
20251105,G,28
20251106,A,13
20251106,C,23
20251106,G,30
20251107,A,19
20251107,C,14
20251107,G,36
20251110,A,22
20251110,C,38
20251110,G,44
20251111,A,9
20251111,C,31
20251111,G,23
20251112,A,5
20251112,C,25
20251112,G,25
20251113,A,11
20251113,C,48
20251113,G,21
20251114,A,2
20251114,C,63
20251114,G,16
20251117,A,5
20251117,C,52
20251117,G,10
20251118,A,8
20251118,C,41
20251118,G,13
20251119,A,7
20251119,C,27
20251119,G,14
20251120,A,3
20251120,C,31
20251120,G,3
20251121,A,4
20251121,C,6
20251121,G,7
20251124,A,8
20251124,C,10
20251124,G,6
20251125,A,11
20251125,C,11
20251125,G,9
20251126,A,8
20251126,C,7
20251126,G,18
20251127,A,9
20251127,C,7
20251127,G,24
20251128,A,12
20251128,C,12
20251128,G,16
20251201,A,24
20251201,C,49
20251201,G,52
20251202,A,15
20251202,C,20
20251202,G,19
20251203,A,12
20251203,C,22
20251203,G,23
20251204,A,10
20251204,C,6
20251204,G,21
20251205,A,21
20251205,C,34
20251205,G,38
20251208,A,7
20251208,C,29
20251208,G,26
20251209,A,4
20251209,C,27
20251209,G,23
20251210,A,3
20251210,C,32
20251210,G,19
20251211,A,8
20251211,C,13
20251211,G,20
20251212,A,5
20251212,C,44
20251212,G,30
20251215,A,11
20251215,C,33
20251215,G,21
20251216,A,11
20251216,C,13
20251216,G,10
20251217,A,14
20251217,C,16
20251217,G,20
20251218,A,30
20251218,C,17
20251218,G,36
20251219,A,15
20251219,C,23
20251219,G,50
20251222,A,15
20251222,C,33
20251222,G,35
20251223,A,11
20251223,C,7
20251223,G,30
20251224,A,23
20251224,C,25
20251224,G,45
20251225,A,20
20251225,C,28
20251225,G,43
20251226,A,28
20251226,C,44
20251226,G,52
20251229,A,62
20251229,C,56
20251229,G,94
20251230,A,38
20251230,C,32
20251230,G,38
20251231,A,48
20251231,C,11
20251231,G,37
20260105,A,105
20260105,C,13
20260105,G,91
20260106,A,56
20260106,C,80
20260106,G,109
20260107,A,27
20260107,C,35
20260107,G,47
20260108,A,47
20260108,C,28
20260108,G,66
20260109,A,32
20260109,C,42
20260109,G,63
20260112,A,39
20260112,C,90
20260112,G,91
20260113,A,34
20260113,C,36
20260113,G,45
20260114,A,26
20260114,C,37
20260114,G,36
20260115,A,28
20260115,C,25
20260115,G,37
20260116,A,39
20260116,C,21
20260116,G,41
20260116,N,1
20260119,A,66
20260119,C,72
20260119,G,86
20260120,A,37
20260120,C,57
20260120,G,61
20260121,A,24
20260121,C,32
20260121,G,51
20260122,A,43
20260122,C,64
20260122,G,70
20260123,A,24
20260123,C,125
20260123,G,60
20260126,A,13
20260126,C,79
20260126,G,49
20260127,A,10
20260127,C,63
20260127,G,31
20260128,A,16
20260128,C,62
20260128,G,43
20260129,A,17
20260129,C,91
20260129,G,53
20260130,A,11
20260130,C,48
20260130,G,30
20260202,A,20
20260202,C,6
20260202,G,12
20260203,A,18
20260203,C,21
20260203,G,23
20260204,A,23
20260204,C,51
20260204,G,40
20260205,A,23
20260205,C,58
20260205,G,46
20260206,A,14
20260206,C,23
20260206,G,47
20260209,A,21
20260209,C,41
20260209,G,42
20260210,A,35
20260210,C,49
20260210,G,38
20260211,A,24
20260211,C,28
20260211,G,52
20260212,A,42
20260212,C,21
20260212,G,46
20260213,A,18
20260213,C,11
20260213,G,22
20260224,A,63
20260224,C,38
20260224,G,64
20260225,A,30
20260225,C,76
20260225,G,74
20260226,A,20
20260226,C,74
20260226,G,31
20260227,A,24
20260227,C,69
20260227,G,42
20260302,A,12
20260302,C,87
20260302,G,36
20260303,A,10
20260303,C,47
20260303,G,24
20260304,A,19
20260304,C,19
20260304,G,10
20260305,A,23
20260305,C,16
20260305,G,25
20260306,A,24
20260306,C,33
20260306,G,39
20260309,A,24
20260309,C,27
20260309,G,44
20260310,A,16
20260310,C,45
20260310,G,46
20260311,A,15
20260311,C,80
20260311,G,46
20260312,A,6
20260312,C,76
20260312,G,23
20260313,A,8
20260313,C,75
20260313,G,31
20260316,A,6
20260316,C,84
20260316,G,15
20260317,A,10
20260317,C,51
20260317,G,6
20260318,A,13
20260318,C,41
20260318,G,10
20260319,A,7
20260319,C,28
20260319,G,7
20260320,A,7
20260320,C,24
20260320,G,5
20260323,A,8
20260323,C,3
20260323,G,3
20260324,A,12
20260324,C,8
20260324,G,15
20260325,A,12
20260325,C,40
20260325,G,12
20260325,N,1
20260326,A,9
20260326,C,24
20260326,G,12
20260327,A,12
20260327,C,40
20260327,G,23
20260327,N,1
20260330,A,18
20260330,C,46
20260330,G,24
20260331,N,68
20260401,N,98
20260402,N,65
20260403,N,32
20260408,N,253
