month,label_true_breakout,count
2025-05,A,173
2025-05,C,365
2025-05,G,524
2025-06,A,222
2025-06,C,509
2025-06,G,519
2025-07,A,389
2025-07,C,721
2025-07,G,874
2025-08,A,521
2025-08,C,707
2025-08,G,879
2025-09,A,311
2025-09,C,517
2025-09,G,493
2025-10,A,218
2025-10,C,513
2025-10,G,486
2025-11,A,208
2025-11,C,486
2025-11,G,411
2025-12,A,435
2025-12,C,614
2025-12,G,782
2026-01,A,694
2026-01,C,1100
2026-01,G,1160
2026-01,N,1
2026-02,A,375
2026-02,C,566
2026-02,G,579
2026-03,A,271
2026-03,C,894
2026-03,G,456
2026-03,N,70
2026-04,N,448
