scope,scenario,selected_n,signal_days,avg_days_per_signal,A_recall_rate,A_high_recall_rate,A_high_over_C,A_low_plus_C_share,mean_ret_t2,median_ret_t2,win_t2
full_year,R2_base_R1_ind55_rs30,82,82,2.7195121951219514,0.007597589730154571,0.013492063492063493,0.5666666666666667,0.43902439024390244,0.011498844622047078,0.0038880248833592,0.5365853658536586
main_window,R2_base_R1_ind55_rs30,18,18,3.1666666666666665,0.004207573632538569,0.00796812749003984,0.5,0.5555555555555556,0.011316562142452656,0.00751504308234815,0.6111111111111112
confirm_window,R2_base_R1_ind55_rs30,27,27,2.2222222222222223,0.01847290640394089,0.03260869565217391,1.125,0.4074074074074074,0.023296826939764,0.0107632093933462,0.5925925925925926
full_year,R2_R1_ind55_rs30_chip55,50,50,4.46,0.004715745349751114,0.009523809523809525,0.631578947368421,0.46,0.010735787154856697,0.0035349617080751503,0.52
main_window,R2_R1_ind55_rs30_chip55,12,12,4.75,0.0021037868162692847,0.00398406374501992,0.4,0.5,0.005077074200661749,0.00751504308234815,0.6666666666666666
confirm_window,R2_R1_ind55_rs30_chip55,14,14,4.285714285714286,0.011083743842364532,0.025362318840579712,1.75,0.42857142857142855,0.03252203985279861,0.0354156607576697,0.5714285714285714
full_year,R2_R1_ind55_rs30_score50,42,42,5.309523809523809,0.0039297877914592615,0.007936507936507936,0.5882352941176471,0.47619047619047616,0.008454747198317809,-0.0042735042735041,0.4523809523809524
main_window,R2_R1_ind55_rs30_score50,6,6,9.5,0.001402524544179523,0.00199203187250996,0.3333333333333333,0.6666666666666666,-0.012416606952158385,-0.0040514129682619,0.3333333333333333
confirm_window,R2_R1_ind55_rs30_score50,11,11,5.454545454545454,0.008620689655172414,0.018115942028985508,2.5,0.36363636363636365,0.029085434384135137,0.0027027027027026,0.5454545454545454
full_year,R2_R1_ind55_rs30_plat70,61,61,3.6557377049180326,0.006025674613570867,0.010317460317460317,0.5652173913043478,0.47540983606557374,0.012089723178947635,0.0032953637930309,0.5245901639344263
main_window,R2_R1_ind55_rs30_plat70,14,14,4.071428571428571,0.0035063113604488078,0.00597609561752988,0.42857142857142855,0.6428571428571429,0.015765598918723495,0.00751504308234815,0.5714285714285714
confirm_window,R2_R1_ind55_rs30_plat70,21,21,2.857142857142857,0.014778325123152709,0.025362318840579712,1.1666666666666667,0.42857142857142855,0.01787499499373089,0.0105778225516297,0.5714285714285714
full_year,R2_R1_ind55_rs30_ind60_rs35,75,75,2.973333333333333,0.007335603877390621,0.012698412698412698,0.5714285714285714,0.4533333333333333,0.01160834077620186,0.0032953637930309,0.52
main_window,R2_R1_ind55_rs30_ind60_rs35,14,14,4.071428571428571,0.004207573632538569,0.00796812749003984,0.5714285714285714,0.6428571428571429,0.010054908359632695,0.00165846132803025,0.5
confirm_window,R2_R1_ind55_rs30_ind60_rs35,27,27,2.2222222222222223,0.01847290640394089,0.03260869565217391,1.125,0.4074074074074074,0.023296826939764,0.0107632093933462,0.5925925925925926
