trade_date,stock_code,stock_name,path_source,priority_tag,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,rank_global_after_merge,selector_explain,ret_t1_close,ret_t2_close,ret_t3_close,label_A_high,label_A_mid,label_A_low,label_C,label_G,window
20251016,600179.SH,安通控股,A,0,0.801281785031785,0.6167477696674777,0.5372655122655123,0.9999999999999999,0.5384615384615381,1,schemeB:v32_core;path=A;priority_tag=0,0.0439024390243905,0.1487804878048781,0.1243902439024391,1,0,0,0,0,confirm
20251023,603699.SH,纽威股份,A,0,0.815976430976431,0.6050790754257908,0.3961159211159211,0.9736347216747478,0.41654778887303867,1,schemeB:v32_core;path=A;priority_tag=0,-0.0176600441501103,0.0805739514348786,0.1501103752759383,1,0,0,0,0,confirm
20251124,600151.SH,航天机电,A,1,0.8663503113503114,0.6677514193025141,0.6438191438191437,0.9825255555928823,0.4545454545454543,1,schemeB:v32_core;path=A;priority_tag=1,0.0168918918918916,-0.0292792792792794,-0.0484234234234235,0,0,0,1,0,confirm
20251217,000893.SZ,亚钾国际,A,1,0.8697859547859549,0.7040044606650445,0.5697691197691197,0.9903648802568674,0.24167561761546727,1,schemeB:v32_core;path=A;priority_tag=1,-0.0238244514106583,-0.0194357366771159,-0.0183908045977011,0,0,0,1,0,confirm
20251222,600711.SH,盛屯矿业,A,1,0.8657540413790413,0.6557988645579886,0.7954545454545454,0.9610657517899833,0.4051724137931034,1,schemeB:v32_core;path=A;priority_tag=1,0.030942334739803,0.0218002812939521,0.0028129395218001,0,0,1,0,0,confirm
20251231,002134.SZ,天津普林,A,0,0.8881890331890333,,0.6865680615680616,0.9849286761603238,,1,schemeB:v32_core;path=A;priority_tag=0,-0.0126865671641791,-0.0283582089552238,-0.0171641791044776,0,0,0,0,1,main
20260106,002501.SZ,利源股份,A,0,0.8738405288405289,,0.7967652717652718,0.982354807902433,,1,schemeB:v32_core;path=A;priority_tag=0,-0.0315789473684211,-0.0210526315789474,-0.0526315789473683,0,0,0,0,1,main
20260107,002284.SZ,亚太股份,A,0,0.8605651755651756,,0.681024531024531,0.9648312913126543,,1,schemeB:v32_core;path=A;priority_tag=0,-0.0151228733459356,-0.0220541902961562,-0.0214240705734088,0,0,1,0,0,main
20260211,002859.SZ,洁美科技,A,1,0.8503198653198654,0.6786699107866991,0.5754449254449254,0.9853614561278234,0.3346425765907304,1,schemeB:v32_core;path=A;priority_tag=1,0.0036585365853658,-0.0017073170731707,0.0780487804878049,0,0,1,0,0,main
20260310,002169.SZ,智光电气,A,1,0.8689951802451803,0.6094383617193836,0.966991341991342,0.9744594930483583,0.40555555555555556,1,schemeB:v32_core;path=A;priority_tag=1,-0.0233128834355829,-0.0214723926380369,-0.047239263803681,0,0,0,1,0,main
