window,metric,value
all,priority_tag_1_sample_n,14.0
all,priority_tag_1_pathA_sample_n,12.0
all,group_H_n,5.0
all,group_C_n,5.0
all,group_AL_n,2.0
all,group_H_pct_in_pathA_tag,0.4166666666666667
all,group_C_pct_in_pathA_tag,0.4166666666666667
all,group_AL_pct_in_pathA_tag,0.16666666666666666
all,C_in_tag1_n,6.0
all,C_in_tag1_pathA_n,5.0
all,C_in_tag1_pathA_share,0.8333333333333334
main,priority_tag_1_sample_n,7.0
main,priority_tag_1_pathA_sample_n,6.0
main,group_H_n,3.0
main,group_C_n,2.0
main,group_AL_n,1.0
main,group_H_pct_in_pathA_tag,0.5
main,group_C_pct_in_pathA_tag,0.3333333333333333
main,group_AL_pct_in_pathA_tag,0.16666666666666666
main,C_in_tag1_n,3.0
main,C_in_tag1_pathA_n,2.0
main,C_in_tag1_pathA_share,0.6666666666666666
confirm,priority_tag_1_sample_n,7.0
confirm,priority_tag_1_pathA_sample_n,6.0
confirm,group_H_n,2.0
confirm,group_C_n,3.0
confirm,group_AL_n,1.0
confirm,group_H_pct_in_pathA_tag,0.3333333333333333
confirm,group_C_pct_in_pathA_tag,0.5
confirm,group_AL_pct_in_pathA_tag,0.16666666666666666
confirm,C_in_tag1_n,3.0
confirm,C_in_tag1_pathA_n,3.0
confirm,C_in_tag1_pathA_share,1.0
