window,field,group,reason_value,count,share
all,priority_reason,A_high,in_v32_core_and_hit_v31_relaxed,5,1.0
all,priority_reason,C,in_v32_core_and_hit_v31_relaxed,5,1.0
all,selector_explain,A_high,schemeB:v32_core;path=A;priority_tag=1,5,1.0
all,selector_explain,C,schemeB:v32_core;path=A;priority_tag=1,5,1.0
main,priority_reason,A_high,in_v32_core_and_hit_v31_relaxed,3,1.0
main,priority_reason,C,in_v32_core_and_hit_v31_relaxed,2,1.0
main,selector_explain,A_high,schemeB:v32_core;path=A;priority_tag=1,3,1.0
main,selector_explain,C,schemeB:v32_core;path=A;priority_tag=1,2,1.0
confirm,priority_reason,A_high,in_v32_core_and_hit_v31_relaxed,2,1.0
confirm,priority_reason,C,in_v32_core_and_hit_v31_relaxed,3,1.0
confirm,selector_explain,A_high,schemeB:v32_core;path=A;priority_tag=1,2,1.0
confirm,selector_explain,C,schemeB:v32_core;path=A;priority_tag=1,3,1.0
