sample_n,mean,median,win,p90,p75,p25,p10,gt_5pct,gt_3pct,gt_2pct,lt_neg2pct,lt_neg3pct,window,pool,horizon
210,0.004396336929072337,0.0024315696328567,0.5285714285714286,0.0455027304850626,0.020134491250611924,-0.0140005014730771,-0.02796216620981562,0.08095238095238096,0.16666666666666666,0.2523809523809524,0.16666666666666666,0.09047619047619047,all,core_pool,ret_t1_close
210,0.009430484253655138,0.00366419592791805,0.5476190476190477,0.07053104974280851,0.03340140789258087,-0.024003933510975725,-0.04490433514878751,0.1761904761904762,0.26666666666666666,0.34285714285714286,0.29523809523809524,0.19523809523809524,all,core_pool,ret_t2_close
210,0.00928230869195164,0.0057280365445795,0.5380952380952381,0.0846861363073898,0.035472160256958055,-0.027820461860627425,-0.06298327759197328,0.20952380952380953,0.28095238095238095,0.35714285714285715,0.32857142857142857,0.23333333333333334,all,core_pool,ret_t3_close
14,0.013098418984994016,0.018114738375487,0.6428571428571429,0.037786898807189905,0.028737724506179698,-0.004107981220657125,-0.02214635653440441,0.07142857142857142,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,all,priority_tag_1,ret_t1_close
14,0.02164563358011933,0.0200546356068609,0.5714285714285714,0.11679726276216039,0.057603054664835424,-0.02096322864780665,-0.05360392766867593,0.35714285714285715,0.35714285714285715,0.5,0.2857142857142857,0.14285714285714285,all,priority_tag_1,ret_t2_close
14,0.049874682114548416,0.00530055075778475,0.5714285714285714,0.22871512450630455,0.14075930828592348,-0.04002714900218603,-0.07949105580400544,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,all,priority_tag_1,ret_t3_close
196,0.0037747596393636453,0.0021721321068276,0.5204081632653061,0.0456954706071314,0.018637090045484327,-0.014292847716537774,-0.02863466367830975,0.08163265306122448,0.15816326530612246,0.23979591836734693,0.1683673469387755,0.09693877551020408,all,priority_tag_0,ret_t1_close
196,0.008557973587479123,0.003311132752634,0.5459183673469388,0.0655480504286213,0.03223761791707752,-0.0243739502214078,-0.04433680286939995,0.16326530612244897,0.2602040816326531,0.33163265306122447,0.29591836734693877,0.1989795918367347,all,priority_tag_0,ret_t2_close
196,0.0063828534474804416,0.0057280365445795,0.5357142857142857,0.0816087965831453,0.03348714630051685,-0.026407443673168676,-0.0627646025472112,0.19387755102040816,0.27040816326530615,0.3520408163265306,0.33163265306122447,0.22959183673469388,all,priority_tag_0,ret_t3_close
101,0.0035714832487378804,0.0019801980198019,0.5247524752475248,0.0395348837209303,0.0174134871339841,-0.0115894039735099,-0.0263367916999202,0.07920792079207921,0.13861386138613863,0.22772277227722773,0.16831683168316833,0.0891089108910891,main,core_pool,ret_t1_close
101,0.00617079818980056,0.0024721878862792,0.5247524752475248,0.061265216523648,0.0299719013424912,-0.0220541902961562,-0.0446058091286306,0.15841584158415842,0.24752475247524752,0.32673267326732675,0.2871287128712871,0.1782178217821782,main,core_pool,ret_t2_close
101,0.007471617859709968,0.001255230125523,0.5247524752475248,0.0846724351050678,0.0376712328767123,-0.0244274809160305,-0.0726256983240223,0.2376237623762376,0.297029702970297,0.3564356435643564,0.32673267326732675,0.19801980198019803,main,core_pool,ret_t3_close
7,0.014359200600211857,0.0036585365853658,0.5714285714285714,0.05037558379011195,0.02929927741799385,-0.00273865414710475,-0.012611538350758858,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,main,priority_tag_1,ret_t1_close
7,0.014896026790112557,0.0183089899197697,0.5714285714285714,0.07509245877924278,0.05687778702059085,-0.011589854855603801,-0.05482396766419925,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,main,priority_tag_1,ret_t2_close
7,0.05133029642171259,0.0643415514131089,0.5714285714285714,0.18100723707055724,0.11985579901988394,-0.02495680532294725,-0.07028409036358571,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.2857142857142857,main,priority_tag_1,ret_t3_close
94,0.00276814259490471,0.001905012093158,0.5212765957446809,0.0392888668185805,0.016058758314855676,-0.0124122763665118,-0.027885128017312046,0.07446808510638298,0.1276595744680851,0.22340425531914893,0.1702127659574468,0.09574468085106383,main,priority_tag_0,ret_t1_close
94,0.005521047123819878,0.0018451073414343499,0.5212765957446809,0.06107390351276733,0.029174373921762774,-0.022070071758516,-0.04444440537309221,0.13829787234042554,0.23404255319148937,0.3191489361702128,0.2872340425531915,0.18085106382978725,main,priority_tag_0,ret_t2_close
94,0.004205546051901262,0.00123613433253835,0.5212765957446809,0.0838769089095234,0.03368878197547525,-0.0242953460915978,-0.07022260421143098,0.2127659574468085,0.2765957446808511,0.3404255319148936,0.32978723404255317,0.19148936170212766,main,priority_tag_0,ret_t3_close
109,0.00516065088974922,0.0027703820968554,0.5321100917431193,0.04599410890361366,0.0218068535825544,-0.0161725067385445,-0.02806172189289436,0.08256880733944955,0.1926605504587156,0.27522935779816515,0.1651376146788991,0.09174311926605505,confirm,core_pool,ret_t1_close
109,0.01245092730364883,0.0062408223201175,0.5688073394495413,0.10009733144114538,0.0348837209302326,-0.026508226691042,-0.043962627801538194,0.1926605504587156,0.28440366972477066,0.3577981651376147,0.30275229357798167,0.21100917431192662,confirm,core_pool,ret_t2_close
109,0.01096010478421227,0.0064977257959712,0.5504587155963303,0.08269269205417693,0.0306778822365163,-0.0338983050847456,-0.05916199589883796,0.1834862385321101,0.26605504587155965,0.3577981651376147,0.3302752293577982,0.26605504587155965,confirm,core_pool,ret_t3_close
7,0.011837637369776175,0.0218068535825544,0.7142857142857143,0.03230436060835672,0.026533114272556398,-0.0012662842698814986,-0.02118445682325608,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,confirm,priority_tag_1,ret_t1_close
7,0.028395240370126095,0.0218002812939521,0.5714285714285714,0.1292921222437408,0.07616029829349666,-0.02435750797819765,-0.04317907835893456,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.14285714285714285,confirm,priority_tag_1,ret_t2_close
7,0.048419067807384246,0.0028129395218001,0.5714285714285714,0.2425260753645341,0.12225691285529179,-0.0334071140105623,-0.06617635621232745,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,confirm,priority_tag_1,ret_t3_close
102,0.0047024263273944275,0.0024315696328567,0.5196078431372549,0.046196104907250575,0.020134491250611924,-0.0160663879279241,-0.02863826353948387,0.08823529411764706,0.18627450980392157,0.2549019607843137,0.16666666666666666,0.09803921568627451,confirm,priority_tag_0,ret_t1_close
102,0.011356709740263133,0.0061973342369818,0.5686274509803921,0.08029149235277182,0.034588643195691895,-0.026402909148716226,-0.042746899094870915,0.18627450980392157,0.28431372549019607,0.3431372549019608,0.30392156862745096,0.21568627450980393,confirm,priority_tag_0,ret_t2_close
102,0.008389391635563214,0.00676047824104335,0.5490196078431373,0.062376030905413764,0.0305209325455007,-0.033258235855812675,-0.05801685743019967,0.17647058823529413,0.2647058823529412,0.3627450980392157,0.3333333333333333,0.2647058823529412,confirm,priority_tag_0,ret_t3_close
