trade_date,stock_code,stock_name,ts_code,input_tier,path_source,in_C2A,in_ech2_s2,in_mainline_current,score_total,score_platform_axis_single,score_industry_axis_single,f_chip_winner_rate,f_platform_compress_ratio,f_strength_rs20_xsec_q,rank_global_after_merge,label_A_high,label_A_mid,label_A_low,label_C,label_G,ret_t1_close,ret_t2_close,ret_t3_close
20250508,000997.SZ,新大陆,000997.SZ,main_channel,B,True,False,True,0.743355363417728,0.6281458797327394,0.41889297496079175,0.9830590524091548,0.4382207578253707,0.8022426095820592,3.0,0,0,0,1,0,-0.03389830508474578,0.06271186440677967,0.03627118644067795
20250509,603121.SH,华培动力,603121.SH,main_channel,A,True,False,True,0.8070701963117193,0.49290645879732736,0.6676558866475583,0.8655826430746728,0.4650943396226415,0.9867549668874173,2.0,0,0,0,0,1,0.040016501650165015,0.044554455445544594,0.032590759075907805
20250512,603990.SH,麦迪科技,603990.SH,main_channel,A,True,False,True,0.8289916716240334,0.6232572383073496,0.7920272024228002,0.7494554981733642,0.36111111111111105,0.9490575649516046,2.0,0,0,1,0,0,-0.003960396039603964,-0.0217821782178218,-0.04488448844884485
20250513,601288.SH,农业银行,601288.SH,early_channel,B,False,True,True,0.6449739499804221,0.7219181514476615,0.7043358931372019,0.9994553478086867,0.42465753424657576,0.7033639143730887,3.0,0,0,0,1,0,0.003558718861209842,0.007117437722419906,-0.005338078291814985
20250514,000420.SZ,吉林化纤,000420.SZ,main_channel,A,True,False,True,0.8182584186974405,0.5954203786191536,0.6950543507652371,0.9639519505601372,0.446808510638298,0.9230377166156982,2.0,1,0,0,0,0,0.06367924528301883,0.08018867924528306,0.18867924528301883
20250515,600057.SH,厦门象屿,600057.SH,main_channel,A,True,False,True,0.7797247388911209,0.7235356347438752,0.43921367151587265,0.9667485895973861,0.33793103448275874,0.9393476044852191,1.0,0,0,0,1,0,-0.0057636887608069065,0.008645533141210304,0.004322766570605152
20250516,601515.SH,衢州东峰,601515.SH,main_channel,B,True,False,True,0.7119046957225194,0.7072605790645878,0.07786896327943324,0.8973090509532023,0.23287671232876733,0.9495412844036697,2.0,0,0,0,0,1,-0.0073710073710073765,0.002457002457002311,0.03439803439803435
20250519,600499.SH,科达制造,600499.SH,main_channel,A,True,False,True,0.871963928397599,0.6445322939866369,0.6196528040668433,0.9526191912507154,0.36363636363636387,0.9688934217236104,2.0,0,0,0,1,0,-0.0028985507246376274,-0.021256038647342934,-0.02801932367149751
20250520,600800.SH,渤海化学,600800.SH,main_channel,A,True,False,True,0.8448861312689591,0.4353925389755011,0.5865015412903575,0.9855405331816863,0.5113636363636364,0.9404276985743381,1.0,0,0,0,1,0,0.010101010101010166,-0.045454545454545525,-0.07828282828282829
20250521,600389.SH,江山股份,600389.SH,main_channel,A,True,False,True,0.807951706235466,0.5619766146993318,0.44155940727921694,0.9899787511487251,0.45995893223819334,0.9475292919001528,2.0,0,1,0,0,0,-0.025789473684210473,0.03263157894736857,0.042631578947368354
20250522,001319.SZ,铭科精技,001319.SZ,main_channel,A,True,False,True,0.7008788275892932,0.6016453229398664,0.6656549132010168,0.5068394841458199,0.372093023255814,0.8818135506877228,1.0,0,0,0,0,1,0.01298701298701288,0.009018759018758926,-0.0068542568542567794
20250523,603997.SH,继峰股份,603997.SH,main_channel,A,True,False,True,0.8735647071548323,0.5065701559020044,0.5908820507273809,0.985548932552653,0.47757847533632297,0.9485481406011207,1.0,0,0,0,1,0,-0.0014430014430013571,-0.004329004329004182,-0.003607503607503504
20250526,603683.SH,晶华新材,603683.SH,main_channel,A,True,False,True,0.8594713644475691,0.6425723830734966,0.6298401925260937,0.9269204044509161,0.3280141843971631,0.9643402954661233,1.0,0,0,0,0,1,0.06942496493688632,0.07784011220196341,0.07643758765778408
20250527,000967.SZ,盈峰环境,000967.SZ,main_channel,A,True,False,True,0.8456267914120383,0.5011581291759466,0.5175761181115137,0.9812000233040862,0.5276073619631899,0.9689567430025445,1.0,0,0,0,0,1,-0.002624671916010568,0.005249343832020914,-0.040682414698162805
20250528,603611.SH,诺力股份,603611.SH,main_channel,A,True,False,True,0.8452941971770052,0.4680233853006681,0.5304404845600562,0.9803037404425764,0.5145348837209306,0.9750762970498474,2.0,0,0,0,1,0,0.021380846325167013,-0.020044543429844075,-0.09265033407572376
20250529,603123.SH,翠微股份,603123.SH,main_channel,A,True,False,True,0.8589278567951977,0.5381792873051225,0.5512681845222,0.9965219128903811,0.49779735682819426,0.9730417090539166,2.0,1,0,0,0,0,0.0,0.10044444444444456,0.14577777777777778
20250530,603444.SH,吉比特,603444.SH,main_channel,B,True,False,True,0.7531379772995902,0.8003563474387527,0.18917311124330755,0.9948242174038799,0.30338508526342556,0.7360122075279756,2.0,1,0,0,0,0,0.06282907662082526,0.07732809430255405,0.08671905697445981
20250603,600285.SH,羚锐制药,600285.SH,main_channel,B,True,False,True,0.742439884388432,0.8483129175946548,0.7274484884538425,0.9618614372440637,0.35652173913043533,0.7517838939857289,4.0,0,0,0,1,0,-0.005670311867152722,-0.026731470230862753,-0.025111381125962007
20250604,600249.SH,两面针,600249.SH,main_channel,A,True,False,True,0.8306681628900547,0.6084632516703785,0.5394651452057757,0.9871306012617185,0.36802973977695136,0.959775967413442,1.0,0,0,0,1,0,-0.03458646616541361,-0.027067669172932463,-0.02857142857142858
20250605,603109.SH,神驰机电,603109.SH,main_channel,A,True,False,True,0.8177781082688876,0.5985746102449888,0.6330444540587313,0.7795868818114602,0.37086614173228355,0.9735368956743002,1.0,0,0,0,1,0,-0.04424778761061943,-0.05840707964601766,-0.10088495575221246
20250606,600459.SH,贵研铂业,600459.SH,main_channel,B,True,False,True,0.735167555374316,0.6290089086859688,0.5626723811584013,0.9800209053063555,0.49999999999999956,0.9389002036659878,3.0,0,0,0,0,1,0.013548387096774306,-0.007741935483870921,0.020645161290322678
20250609,600800.SH,渤海化学,600800.SH,main_channel,A,True,False,True,0.8792242171867396,0.500011135857461,0.7855510789032502,0.9690173114108254,0.47972972972973,0.9704533876719307,1.0,0,0,0,1,0,0.0,-0.015801354401805745,-0.020316027088036037
20250610,603333.SH,尚纬股份,603333.SH,main_channel,A,True,False,True,0.8507833540641393,0.4160077951002227,0.6340652209182845,0.959112053281814,0.5210084033613446,0.9979623025980642,1.0,0,0,0,1,0,-0.059893048128342286,-0.04919786096256673,-0.12085561497326192
