feature,family,year_a_median,year_c_median,year_gap_a_minus_c,year_effect_cliff,near_a_median,near_c_median,near_gap_a_minus_c,near_effect_cliff,drift_state
f_strength_rs20_xsec_q,trend,0.7541223891535361,0.7044987377667116,0.04962365138682456,0.08661211885256885,0.7450942291125557,0.7164617511920546,0.028632477920501165,0.05625109824894649,stable_or_stronger
f_strength_ret20,trend,0.07750472589792068,0.062024260147140464,0.015480465750780215,0.08515455464913525,0.08422236020170093,0.07238260714603939,0.01183975305566154,0.06253389074969842,stable_or_stronger
f_strength_ret60,trend,0.12501526065193524,0.10356804970349565,0.0214472109484396,0.04372749018257655,0.11281070745697885,0.12345679012345667,-0.010646082666477819,-0.048981105038284685,direction_flip
f_strength_vs_index20,trend,0.049820473644003105,0.03576221874402974,0.014058254899973366,0.07467707459193773,0.05813819572102519,0.05092552037134934,0.0072126753496758456,0.03505529784511429,stable_or_stronger
f_strength_rs60_xsec_q,trend,0.6997427416391032,0.6522295563632285,0.04751318527587467,0.054023059657960795,0.6880081300813008,0.6898830706659889,-0.0018749405846880673,-0.02327908536125634,direction_flip
f_trend_close_ma20_gap,trend,0.044581456011382414,0.03940497160404888,0.005176484407333537,0.05311193630326571,0.04666943987949945,0.04378972858440133,0.0028797112950981196,0.016848883503175482,stable_or_stronger
f_trend_close_ma60_gap,trend,0.07896659059947464,0.06726960607789845,0.011696984521576193,0.0545887036955085,0.08014384567878552,0.07895476257375678,0.0011890831050287431,-0.01978021978021978,weakened_near
f_trend_ma20_ma60_gap,trend,0.030172496422259165,0.023901639270474506,0.006270857151784659,0.0348977247748459,0.029963554543474102,0.030450669914738215,-0.000487115371264113,-0.03251756295234556,direction_flip
f_trend_ma20_slope5,trend,0.011277209546288969,0.009368465077373545,0.0019087444689154243,0.047303156032754236,0.013236234807853187,0.011505718089901418,0.0017305167179517689,0.026321397700543238,stable_or_stronger
f_platform_compress_ratio,platform,0.5689039346103887,0.5699300699300698,-0.0010261353196810985,0.0034838556527279872,0.588036565977742,0.5944819892386507,-0.006445423260908689,-0.01396697780694718,stable_or_stronger
f_platform_range20,platform,0.14615384615384613,0.1336281936996477,0.012525652454198427,0.07766356440276376,0.15664021164021164,0.15545290736024547,0.0011873042799661615,0.022760299823309935,weakened_near
f_platform_range30,platform,0.1860730593607306,0.1757887958789439,0.01028426348178671,0.0659578368572066,0.1977929527135638,0.1980679855857505,-0.00027503287218669237,0.009806084250954082,direction_flip
f_chip_winner_rate,chip,0.7601539839774705,0.7339069765266906,0.026247007450779902,0.06656291647207573,0.7598687300593943,0.7510194935505211,0.008849236508873148,0.04091325199804519,weakened_near
f_chip_low_position120,chip,0.5364894420013981,0.5153374748814666,0.021151967119931503,0.056943231099084196,0.5130556331824934,0.48935243968801045,0.02370319349448291,0.04631841588363327,stable_or_stronger
f_chip_stability_std10,chip,0.0035754460050652264,0.0030584373738109507,0.0005170086312542756,0.07128653039005917,0.0035440270609760553,0.0034457516860123805,9.827537496367479e-05,0.016890641341121664,weakened_near
f_ind_peer_strong_count,industry,6.0,5.0,1.0,0.06575953565555515,9.0,8.0,1.0,0.07225749337666809,stable_or_stronger
f_ind_strength_5d,industry,0.0038665780380565786,0.004155813897697075,-0.0002892358596404965,-0.046119027307079195,0.004294598554310995,0.004435598450667243,-0.00014099989635624807,-0.040064624968816326,weakened_near
f_ind_rank_pctchg,industry,0.8275862068965517,0.8181818181818182,0.00940438871473348,0.013482454441739322,0.8,0.8181818181818182,-0.018181818181818188,-0.012937655817351755,direction_flip
