rule_set,window,sample_n,Ahigh_n,Ahigh_pct,C_n,C_pct,Ahigh_over_C,win_t1,win_t2,win_t3,mean_ret_t1,mean_ret_t2,mean_ret_t3
BASELINE,main,166,18,0.10843373493975904,70,0.42168674698795183,0.2571428571428571,0.5421686746987951,0.5060240963855421,0.5060240963855421,0.00490204280128715,0.004433793063297813,0.0038628643899852153
BASELINE,confirm,172,16,0.09302325581395349,67,0.38953488372093026,0.23880597014925373,0.5174418604651163,0.5406976744186046,0.5058139534883721,0.005989985599504289,0.00705644061398899,0.002276357501853045
R1,main,25,8,0.32,9,0.36,0.8888888888888888,0.56,0.6,0.64,0.007218880484924894,0.012789280518930898,0.03488696327951358
R1,confirm,12,1,0.08333333333333333,6,0.5,0.16666666666666666,0.4166666666666667,0.25,0.5,-0.009137242871915474,-0.0006905726463919126,0.013962251419664609
R2,main,133,18,0.13533834586466165,57,0.42857142857142855,0.3157894736842105,0.556390977443609,0.5112781954887218,0.5112781954887218,0.005138379372202038,0.006869992064689372,0.0066132570252194715
R2,confirm,151,16,0.10596026490066225,57,0.37748344370860926,0.2807017543859649,0.5165562913907285,0.5629139072847682,0.5364238410596026,0.006372692840008565,0.00982946075500017,0.005566195911947861
R3,main,144,18,0.125,56,0.3888888888888889,0.32142857142857145,0.5347222222222222,0.5277777777777778,0.5347222222222222,0.005484903906518441,0.0075440988778302225,0.00869453788013045
R3,confirm,143,14,0.0979020979020979,54,0.3776223776223776,0.25925925925925924,0.5104895104895105,0.5314685314685315,0.5174825174825175,0.003323397398384205,0.008896873389619364,0.00681681182487601
R1_R2,main,14,8,0.5714285714285714,3,0.21428571428571427,2.6666666666666665,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.017774641733111614,0.03514494040111854,0.08165620485799352
R1_R2,confirm,8,1,0.125,4,0.5,0.25,0.375,0.375,0.75,-0.0074210143453306565,0.010322930817388332,0.04208147307308137
R1_R3,main,25,8,0.32,9,0.36,0.8888888888888888,0.56,0.6,0.64,0.007218880484924894,0.012789280518930898,0.03488696327951358
R1_R3,confirm,12,1,0.08333333333333333,6,0.5,0.16666666666666666,0.4166666666666667,0.25,0.5,-0.009137242871915474,-0.0006905726463919126,0.013962251419664609
R2_R3,main,118,18,0.15254237288135594,47,0.3983050847457627,0.3829787234042553,0.5508474576271186,0.5423728813559322,0.5423728813559322,0.005985770080744202,0.010315876866669368,0.011616979679502589
R2_R3,confirm,128,14,0.109375,48,0.375,0.2916666666666667,0.515625,0.546875,0.5390625,0.0036621941468272714,0.010758852320389764,0.009216683232650232
R1_R2_R3,main,14,8,0.5714285714285714,3,0.21428571428571427,2.6666666666666665,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.017774641733111614,0.03514494040111854,0.08165620485799352
R1_R2_R3,confirm,8,1,0.125,4,0.5,0.25,0.375,0.375,0.75,-0.0074210143453306565,0.010322930817388332,0.04208147307308137
