ts_code,trade_date,name,industry,label_true_breakout,selected_class,path_source,score_total,rank_global_after_merge,score_trend_axis_single,score_platform_axis_single,score_chip_axis_single,score_industry_axis_single,ret_t1,ret_t2,ret_t3,a_quality_layer,a_quality_score,selected_c_reason,selected_g_reason
002937.SZ,20251230,兴瑞科技,元器件,G,selected_G,A,0.8615677091601842,1,0.8996314851229692,,,0.6536354976980474,-0.028006589785831926,-0.021004942339374,-0.011532125205930832,,,,grey_uncertain
601100.SH,20251230,恒立液压,工程机械,G,selected_G,B,0.7546181206372642,2,0.6958926770565711,0.7744193874116458,0.6423022928809562,0.41191062073344975,-0.028548700724765785,0.003181898532791161,-0.021566201166696164,,,,path_mixed_unclear
603216.SH,20251230,梦天家居,家居用品,C,selected_C,B,0.7271743737118069,3,0.9080603470457639,0.5964826657691013,0.831020263987481,0.3610890617558343,0.058081945069788254,0.04682575416479051,-0.02476361999099508,,,mixed_pseudo_C,
000792.SZ,20251231,盐湖股份,农药化肥,A,selected_A,B,0.7256750821446291,2,0.7395326526058408,0.6633961629081118,0.7916158573923299,0.1541712970312748,0.023793787177792458,0.06972901520158614,0.06378056840713797,A_mid,0.6769230769230768,,
002134.SZ,20251231,天津普林,元器件,G,selected_G,A,0.8775384981743135,1,0.8992899997511649,,,0.6502421019209399,-0.012686567164179152,-0.028358208955223896,-0.01716417910447765,,,,grey_uncertain
603885.SH,20251231,吉祥航空,空运,G,selected_G,B,0.7255849869111696,3,0.7080696921103558,0.7770952541231908,0.5224262694758806,0.5548301317669471,0.011643835616438336,0.045205479452054886,0.03767123287671237,,,,grey_uncertain
000893.SZ,20260105,亚钾国际,农药化肥,G,selected_G,B,0.7760174643270548,3,0.5983128692089357,0.7334230898687311,0.8019692921778967,0.5547309096682014,0.038714827379764394,0.061265216523648025,0.023149072041508845,,,,grey_uncertain
000935.SZ,20260105,四川双马,水泥,A,selected_A,B,0.781632600943245,2,0.7491730993361362,0.7581285762369572,0.7096934093847096,0.23843070328623592,0.0015624999999999112,0.06601562499999991,0.06484375000000009,A_mid,0.6192307692307693,,
603358.SH,20260105,华达科技,汽车配件,A,selected_A,A,0.858369644493129,1,0.8529466107699801,0.4407438572871087,0.7198139840791055,0.6938998253691062,-0.009852216748768461,0.015763546798029493,0.020689655172413834,A_low,0.33749999999999997,,
000166.SZ,20260106,申万宏源,证券,C,selected_C,B,0.7619567990132774,3,0.4674883845459721,0.8922753281723325,0.5517477377361486,0.8796039053818066,-0.010928961748634003,-0.030965391621129323,-0.02550091074681249,,,mixed_pseudo_C,
000783.SZ,20260106,长江证券,证券,C,selected_C,B,0.8284207787883687,2,0.6033019452803854,0.885897004375631,0.691066484475994,0.8796039053818066,-0.011299435028248594,-0.04406779661016935,-0.023728813559321882,,,mixed_pseudo_C,
002501.SZ,20260106,利源股份,铝,G,selected_G,A,0.8634648356882046,1,0.8967611522645678,,,0.7520836640736626,-0.03157894736842115,-0.021052631578947434,-0.05263157894736836,,,,grey_uncertain
002339.SZ,20260107,积成电子,电气设备,G,selected_G,A,0.851956688149945,1,0.8209247410503119,,,0.8629742816320051,-0.009278350515463885,-0.005154639175257603,0.011340206185567192,,,,path_mixed_unclear
601156.SH,20260107,东航物流,仓储物流,C,selected_C,B,0.758333957610625,2,0.7433027405690824,0.8045944126556714,0.6988846982514231,0.0899547547229719,-0.014016172506738589,-0.02264150943396237,-0.02857142857142858,,,mixed_pseudo_C,
605222.SH,20260107,起帆电缆,电气设备,A,selected_A,B,0.756366226033584,3,0.7455984328484571,0.7214742510939077,0.6725838908670311,0.8629742816320051,0.00829445308449972,0.01969932607568703,0.02488335925349916,A_low,0.40769230769230763,,
001379.SZ,20260108,腾达科技,机械基件,C,selected_C,B,0.7783705738383961,3,0.5862650446510753,0.7481656008078087,0.8661040754768331,0.5744165740593745,-0.008757961783439572,0.009554140127388422,-0.029458598726114782,,,mixed_pseudo_C,
600498.SH,20260108,烽火通信,通信设备,A,selected_A,A,0.8808247340847755,1,0.9047004709059489,0.20908784920902052,0.9156172861905517,0.8560287347197968,0.011168831168831161,0.1122077922077922,0.15116883116883129,A_high,0.85,,
603901.SH,20260108,永创智能,专用机械,G,selected_G,B,0.7900962057287264,2,0.4405054955421662,0.742830696735106,0.829604075476833,0.8667050325448484,0.02393980848153232,0.03351573187414503,0.04035567715458277,,,,grey_uncertain
001216.SZ,20260109,华瓷股份,家居用品,A,selected_A,B,0.7794809641381137,3,0.4168063827065869,0.8701447324133288,0.7273492617875853,0.33439831719320523,0.0027932960893854997,0.02960893854748603,0.11117318435754209,A_mid,0.6288461538461538,,
600345.SH,20260109,长江通信,通信设备,C,selected_C,A,0.8798483886331164,1,0.903538066978746,0.20922248401211713,0.8881737577393237,0.823166375615177,0.007197696737044179,-0.09357005758157388,-0.05590211132437617,,,industry_heat_C,
600367.SH,20260109,红星发展,化工原料,A,selected_A,B,0.788719437013208,2,0.7705050037930407,0.7461292494109727,0.7863843580613703,0.7096364502301953,-0.02518756698821001,0.015541264737406246,0.06645230439442651,A_mid,0.44903846153846144,,
000959.SZ,20260112,首钢股份,普钢,G,selected_G,B,0.7743210150563198,3,0.7915964378095318,0.7861999326825985,0.6566912548477082,0.617975075408795,-0.0019267822736032114,0.007707129094412402,-0.0019267822736032114,,,,path_mixed_unclear
000977.SZ,20260112,浪潮信息,IT设备,C,selected_C,B,0.8207590743386735,2,0.6432352186660951,0.8027263547627062,0.8470490894246253,0.8034211779647563,-0.04865016872890904,-0.022075365579302675,-0.04204161979752541,,,mixed_pseudo_C,
600215.SH,20260112,派斯林,专用机械,C,selected_C,A,0.8359667726069382,1,0.8293886493412821,0.19294850218781556,0.6850809879119135,0.8779766629623749,-0.044471153846153855,-0.05649038461538469,-0.08653846153846156,,,trend_chase_C,
000739.SZ,20260113,普洛药业,化学制药,G,selected_G,B,0.7888093996262209,2,0.48948558579983664,0.796869740828004,0.685078617921212,0.6296237498015558,0.0028571428571428914,0.03600000000000003,0.008000000000000007,,,,grey_uncertain
603138.SH,20260113,海量数据,软件服务,G,selected_G,A,0.8108416396269509,1,0.8195641847330494,0.29057556378323796,0.6312187535436464,0.7184672170185743,0.013585351447135352,0.0,-0.02421736562315413,,,,weak_continuation
603190.SH,20260113,亚通精工,汽车配件,G,selected_G,B,0.7300266223718052,3,0.4004234997688338,0.6813194210703467,0.8199696210282811,0.5092276551833623,-0.0007092198581559739,0.0024822695035460196,-0.014893617021276562,,,,path_mixed_unclear
000657.SZ,20260114,中钨高新,小金属,A,selected_A,A,0.8377305921574854,1,0.9050680213375811,0.4591551666105689,0.9114435284512281,0.5988648991903476,0.061253972840219495,0.08350187806992193,0.16324761629586826,A_high,0.8990384615384616,,
000978.SZ,20260114,桂林旅游,旅游景点,C,selected_C,B,0.7196201936237392,2,0.519314243336423,0.6358549309996633,0.7412432699067879,0.4343149706302588,-0.0054421768707483276,-0.021768707482993088,0.00952380952380949,,,mixed_pseudo_C,
000960.SZ,20260115,锡业股份,小金属,C,selected_C,A,0.8690847753611686,1,0.9082832681570685,0.06950521709862,0.7275846166058104,0.8100690585807271,-0.034258564641160394,-0.0620155038759691,-0.046761690422605806,,,industry_heat_C,
601113.SH,20260115,华鼎股份,化纤,G,selected_G,B,0.6921956309568701,3,0.48382376663940135,0.6983170649612924,0.6620960129725806,0.3047904429274488,-0.002096436058700135,0.05031446540880502,0.01048218029350112,,,,buypoint_sensitive_recovery
601156.SH,20260115,东航物流,仓储物流,G,selected_G,B,0.7293275786856419,2,0.39501545335610955,0.8354426119151801,0.5832521488671671,0.42800444515002384,-0.025396825396825196,0.006878306878306928,0.02645502645502651,,,,buypoint_sensitive_recovery
000680.SZ,20260116,山推股份,工程机械,G,selected_G,B,0.7091527865230554,2,0.4372282325714595,0.7454392460451026,0.7154232417844102,0.3414430862041594,0.005654281098545821,0.03796445880452337,0.012116316639741331,,,,grey_uncertain
600348.SH,20260116,华阳股份,煤炭开采,A,selected_A,B,0.7055916608227348,3,0.602659099584334,0.6911982497475597,0.683427607556755,0.14456659787267823,0.013100436681222627,-0.0065502183406114245,-0.020742358078602585,A_low,0.11634615384615385,,
603090.SH,20260116,宏盛股份,专用机械,A,selected_A,A,0.8830552468645818,1,0.905799628216016,0.33460114439582633,0.8585184269611956,0.6393475154786474,0.04368808737617491,0.04762509525019043,0.1524003048006095,A_high,0.7961538461538461,,
000823.SZ,20260119,超声电子,元器件,G,selected_G,B,0.7609905746759323,2,0.5155328030621592,0.7698249747559743,0.7887376794502527,0.679711065248452,-0.021828103683492528,-0.004774897680764001,0.0395634379263301,,,,path_mixed_unclear
002182.SZ,20260119,宝武镁业,小金属,A,selected_A,A,0.8688228290204796,1,0.9028351189372127,0.43791652642208,,0.6580806477218607,0.014122759369907811,0.04671374253123295,0.019011406844106515,A_mid,0.4846153846153845,,
605376.SH,20260119,博迁新材,小金属,A,selected_A,B,0.7376019726030837,3,0.4884491733984715,0.6462807135644564,0.8696883405529222,0.6580806477218607,0.003798670465337217,0.003798670465337217,0.05467372134038806,A_low,0.3923076923076923,,
600577.SH,20260120,精达股份,电气设备,C,selected_C,A,0.8520265121447849,1,0.9039180435025063,0.46351396836082126,0.8442107137187308,0.7534132401968566,0.001958224543080922,0.021540469973890364,0.011096605744125299,,,industry_heat_C,
601677.SH,20260120,明泰铝业,铝,G,selected_G,B,0.7801796710594946,2,0.6858391794736123,0.7294092898014136,0.796803426847799,0.41385537386886806,-0.04289071680376033,-0.04759106933019974,-0.023501762632197387,,,,grey_uncertain
605366.SH,20260120,宏柏新材,化工原料,C,selected_C,B,0.7285205317670449,3,0.6802821284760143,0.8036856277347694,0.5631757875399723,0.8509684076837593,-0.019718309859154903,-0.023943661971830954,-0.014084507042253502,,,mixed_pseudo_C,
000059.SZ,20260121,华锦股份,石油加工,A,selected_A,B,0.7776012106728007,2,0.5014926475973902,0.8225849882194547,0.6438691062073345,0.21285124622956023,0.023297491039426577,0.08960573476702516,0.09139784946236551,A_high,0.775,,
603097.SH,20260121,江苏华辰,电气设备,G,selected_G,A,0.884857120177806,1,0.8978403709027395,0.19848535846516324,0.7869599369514436,0.7879822193999048,0.017862205840657674,-0.0019846895378509144,-0.030904451375106445,,,,early_spike_fade
603798.SH,20260121,康普顿,石油加工,C,selected_C,B,0.7707689760607094,3,0.6968500482579728,0.6746381689666778,0.864797677635906,0.21285124622956023,-0.005494505494505364,0.017032967032967194,-0.08461538461538454,,,mixed_pseudo_C,
000933.SZ,20260122,神火股份,铝,A,selected_A,B,0.6986688973264605,3,0.678902424077204,0.6218949848535846,0.7872597237656771,0.6154349896809017,0.010123378677633577,0.05504587155963314,0.036064536539069936,A_mid,0.5375,,
600888.SH,20260122,新疆众和,铝,A,selected_A,B,0.7212011910182525,2,0.4915597963750831,0.6895658027600134,0.6882175628784615,0.6154349896809017,0.021181716833890585,0.027870680044593144,0.01672240802675562,A_mid,0.43557692307692303,,
603186.SH,20260122,华正新材,元器件,C,selected_C,A,0.8881989204635657,1,0.9045629948851326,0.255604173678896,0.8449047354455356,0.8216978885537386,-0.029725182277061002,-0.06772293886707792,-0.00350532809871007,,,industry_heat_C,
000155.SZ,20260123,川能动力,新型电力,C,selected_C,B,0.7373576286000099,3,0.6432661394236155,0.7089195557051498,0.7220174971083846,0.6169630100015875,-0.024857954545454475,-0.037642045454545414,-0.029119318181818232,,,mixed_pseudo_C,
000880.SZ,20260123,潍柴重机,专用机械,C,selected_C,A,0.8900801714557867,1,0.8675005651857417,0.33556041736788955,0.6265563468124192,0.7488291792347992,-0.05206463195691202,-0.06129776865863046,-0.09669145934855095,,,trend_chase_C,
601388.SH,20260123,怡球资源,铝,A,selected_A,B,0.7564753126910797,2,0.7885027513569225,0.6837596768764724,0.8139971537432246,0.7603389426893158,0.016393442622950838,-0.013661202185792476,0.08469945355191255,A_low,0.3903846153846154,,
000923.SZ,20260126,河钢资源,普钢,C,selected_C,B,0.7217575449634165,2,0.8803566018358912,0.6186974082800404,0.8017873698773048,0.42177329734878555,-0.02488335925349927,0.0038880248833592645,0.027216174183514852,,,mixed_pseudo_C,
600487.SH,20260126,亨通光电,通信设备,A,selected_A,B,0.6498619895236327,3,0.788933670012929,0.4255132951868058,0.8944768784160751,0.5102000317510716,0.03778501628664488,0.09511400651465785,0.03680781758957652,A_mid,0.6673076923076923,,
600961.SH,20260126,株冶集团,铅锌,C,selected_C,A,0.8493038577551993,1,0.903035069748823,0.3669808145405587,0.7876791327421587,0.6954080012700429,-0.005652173913043401,0.0939130434782609,0.10782608695652174,,,platform_false_break_C,
000852.SZ,20260127,石化机械,化工机械,G,selected_G,B,0.7451764742867373,3,0.6036894509545659,0.6641871423763043,0.7789467489170617,0.21306953484680108,0.010962241169305775,0.0012180267965895553,-0.013398294762484886,,,,path_mixed_unclear
603124.SH,20260127,江南新材,铜,C,selected_C,B,0.7691101004493197,2,0.7065882182322002,0.6331033322113766,0.8913417209080807,0.43030639784092717,0.011135393901550605,0.02997190134249128,0.03111666146321146,,,mixed_pseudo_C,
605288.SH,20260127,凯迪股份,电气设备,C,selected_C,A,0.8831266867756787,1,0.9040565487481067,0.4837596768764725,0.847302973261062,0.6492300365137323,0.025648854961832113,-0.07694656488549612,-0.01526717557251911,,,mixed_pseudo_C,
000426.SZ,20260128,兴业银锡,铅锌,C,selected_C,A,0.862099539609462,1,0.9089325420790583,0.4342140693369236,0.8483794026262672,0.7283695824734084,-0.043916083916083926,-0.13958041958041956,-0.22559440559440558,,,platform_false_break_C,
000825.SZ,20260128,太钢不锈,特种钢,C,selected_C,B,0.7121142588938749,3,0.5489372630895092,0.6701110737125546,0.6950396661601614,0.37333306874107,-0.016274864376130127,-0.054249547920434016,-0.12839059674502706,,,mixed_pseudo_C,
600201.SH,20260128,生物股份,农业综合,C,selected_C,B,0.7452186838839061,2,0.784488726332926,0.574671827667452,0.9013911278434219,0.2374384822987776,-0.015541264737406135,-0.03269024651661301,-0.127545551982851,,,mixed_pseudo_C,
601168.SH,20260129,西部矿业,铜,C,selected_C,A,0.8295943800603272,1,0.9053700203483646,0.28256479299899023,0.7353498060916699,0.6505794570566756,-0.037837837837837784,-0.13405405405405413,-0.10540540540540533,,,platform_false_break_C,
603162.SH,20260129,海通发展,水运,G,selected_G,B,0.7771216170175408,2,0.6979257625946134,0.661225176708179,0.8839885696142246,0.1954476901095412,0.0696378830083566,0.011142061281337101,0.013231197771587766,,,,grey_uncertain
603995.SH,20260129,甬金股份,特种钢,C,selected_C,B,0.692594260366448,3,0.42124916016306196,0.7797290474587681,0.6286531649014583,0.19312589299888872,-0.0010373443983402453,-0.04460580912863066,-0.028526970954356856,,,mixed_pseudo_C,
001210.SZ,20260130,金房能源,供气供热,G,selected_G,B,0.8019807829645944,2,0.9022087241998806,0.6609054190508246,0.8970910802168145,0.2740911255754882,-0.015481171548117012,-0.028451882845188292,0.001255230125523088,,,,path_mixed_unclear
001226.SZ,20260130,拓山重工,工程机械,G,selected_G,B,0.7589916427302855,3,0.7411659210811801,0.6257152473914507,0.9046684621141678,0.14571757421812986,-0.005212355212355191,0.02258687258687253,0.006949806949806847,,,,buypoint_sensitive_recovery
603926.SH,20260130,铁流股份,汽车配件,G,selected_G,A,0.8871987617082078,1,0.9061875415692869,0.1810838101649276,0.9645598961286372,0.5964438799809494,-0.022770398481973486,-0.014421252371916604,0.020872865275142205,,,,path_mixed_unclear
002830.SZ,20260202,名雕股份,装修装饰,A,selected_A,A,0.753860136529608,2,0.8991938838274007,0.5272551329518681,,0.11079139545959675,0.1310289389067525,0.2439710610932475,0.11977491961414799,A_high,0.9461538461538461,,
600316.SH,20260202,洪都航空,航空,A,selected_A,B,0.7093092093581845,3,0.8488323678671696,0.6843655334904072,0.6538055587054635,0.1421455786632799,0.005897617362585539,0.060627506487379135,0.08280254777070062,A_mid,0.6576923076923076,,
603291.SH,20260202,联合水务,水务,C,selected_C,B,0.8469084594355338,1,0.8915698371356886,0.7997307303938067,0.8459173678361644,0.0939236386728052,-0.00547730829420956,-0.10485133020344284,-0.10485133020344284,,,mixed_pseudo_C,
002487.SZ,20260203,大金重工,电气设备,C,selected_C,A,0.8508771384796743,1,0.8110862614186802,0.43172332547963643,,0.8035204000635022,0.00459369554886746,-0.009504197687311922,-0.03057183589418655,,,mixed_pseudo_C,
601872.SH,20260203,招商轮船,水运,A,selected_A,B,0.7600230828866378,3,0.8857785634778932,0.7287277011107371,0.6658008073843921,0.37789728528337835,0.025641025641025772,-0.004273504273504147,-0.029059829059829068,A_low,0.1423076923076923,,
603031.SH,20260203,安孚科技,电气设备,G,selected_G,B,0.8235506857143782,2,0.8644603776356002,0.690844833389431,0.8389523507132652,0.8035204000635022,0.05179982440737474,-0.03634767339771727,-0.05179982440737496,,,,early_spike_fade
600683.SH,20260204,京投发展,区域地产,A,selected_A,A,0.893215589776155,1,0.8894710026320696,0.1663412992258499,0.6853504751321071,0.75619145896174,0.09999999999999987,0.008333333333333304,0.1100000000000001,A_mid,0.6576923076923077,,
600778.SH,20260204,友好集团,百货,G,selected_G,B,0.7214832277309087,3,0.8014035339933758,0.6337260181756984,0.7737989816977751,0.5622717891728846,0.055415617128463435,-0.02267002518891692,-0.02267002518891692,,,,early_spike_fade
601096.SH,20260204,宏盛华源,钢加工,C,selected_C,B,0.7908292647511108,2,0.9013954738732368,0.6866879838438236,0.8324179234799174,0.5225432608350531,-0.06210191082802552,-0.07165605095541405,-0.05414012738853502,,,mixed_pseudo_C,
600754.SH,20260205,锦江酒店,酒店餐饮,C,selected_C,B,0.6735746947960345,3,0.7028885318016904,0.5715079097946819,0.6440071213117728,0.3807548817272583,-0.022495606326889295,-0.020386643233743396,-0.009841827768014011,,,mixed_pseudo_C,
600841.SH,20260205,动力新科,汽车配件,G,selected_G,A,0.8427313859342753,1,0.9050481225226742,0.44890609222484007,0.725788140974758,0.5851722495634228,0.004206098843323014,0.10515247108307046,0.1556256572029444,,,,grey_uncertain
603345.SH,20260205,安井食品,食品,G,selected_G,B,0.6891796592287434,2,0.5421758914911906,0.6681588690676539,0.6336253033361304,0.6160104778536276,0.017413487133984162,0.037821650399290085,-0.0016637089618455336,,,,path_mixed_unclear
002842.SZ,20260206,翔鹭钨业,小金属,A,selected_A,A,0.8647507540879505,1,0.9084478490413835,0.3781050151464153,,0.5805881886013654,0.026512576478585848,0.08191706322229764,0.19000679809653276,A_high,0.8673076923076922,,
600028.SH,20260206,中国石化,石油加工,G,selected_G,B,0.6281226447184721,3,0.5265658823589885,0.6393806799057555,0.5226697434967003,0.15182965550087316,0.0,-0.006153846153846176,0.006153846153846176,,,,path_mixed_unclear
605196.SH,20260206,华通线缆,电气设备,A,selected_A,B,0.6570025490300329,2,0.8892874481961022,0.5233591383372601,0.7561892590660649,0.8473964121289094,0.03953488372093039,0.039069767441860526,0.06093023255813956,A_mid,0.5923076923076923,,
001228.SZ,20260209,永泰运,仓储物流,G,selected_G,B,0.8057375780140906,2,0.8829248573452624,0.6996802423426455,0.8093829859614905,0.6716740752500396,-0.024129505192425293,-0.015577275503970811,-0.008246792913866874,,,,grey_uncertain
600261.SH,20260209,阳光照明,家用电器,C,selected_C,B,0.7666359924198873,3,0.6997961748813899,0.8611410299562436,0.5565882679790444,0.6269844419749167,0.0078125,-0.00520833333333337,-0.0078125,,,mixed_pseudo_C,
603663.SH,20260209,三祥新材,小金属,G,selected_G,A,0.8760144467375774,1,0.8926168279589931,0.26400201952204644,0.8448111264826617,0.7384505477059851,-0.001737242128121541,0.004777415852334599,-0.0023887079261671884,,,,path_mixed_unclear
002806.SZ,20260210,华锋股份,汽车配件,A,selected_A,A,0.8807056675662803,1,0.899824002244481,0.2714910804442948,,0.6629226861406573,0.006218905472636926,0.05845771144278622,0.06343283582089576,A_mid,0.6000000000000001,,
600388.SH,20260210,龙净环保,环境保护,A,selected_A,B,0.7618383554561688,3,0.8069245502183339,0.7308397845843151,0.7612620597373733,0.23118749007779016,0.012405609492988079,0.025350593311758596,0.008090614886731462,A_low,0.39807692307692305,,
603186.SH,20260210,华正新材,元器件,A,selected_A,B,0.7910619712302503,2,0.9041977735699187,0.6663076405250757,0.8561563740276235,0.6963010001587554,0.024179620034542326,0.031088082901554515,0.06191045569283915,A_mid,0.5721153846153847,,
000899.SZ,20260211,赣能股份,火力发电,A,selected_A,B,0.7497299139473326,2,0.3487696092785828,0.8299394143386065,0.6116744948177715,0.19046674075250042,0.008294930875575979,-0.032258064516129004,0.011059907834101379,A_low,0.15576923076923077,,
002859.SZ,20260211,洁美科技,元器件,A,selected_A,A,0.8364446737577393,1,0.9015341909227136,0.6921070346684618,,0.5244880139704715,0.003658536585365857,-0.0017073170731707332,0.07804878048780495,A_low,0.35673076923076924,,
