window,group,sample_n,label_A_high,label_A_mid,label_A_low,label_C,label_G,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3
all,core_pool,210,0.11428571428571428,0.09523809523809523,0.11428571428571428,0.38095238095238093,0.29523809523809524,0.004396336929072337,0.0024315696328567,0.5285714285714286,0.009430484253655138,0.00366419592791805,0.5476190476190477,0.00928230869195164,0.0057280365445795,0.5380952380952381
all,priority_tag_1,14,0.35714285714285715,0.0,0.14285714285714285,0.42857142857142855,0.07142857142857142,0.013098418984994016,0.018114738375487,0.6428571428571429,0.02164563358011933,0.0200546356068609,0.5714285714285714,0.049874682114548416,0.00530055075778475,0.5714285714285714
all,path_A,17,0.4117647058823529,0.0,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.0078766074998421,0.0036585365853658,0.5294117647058824,0.03160898926219318,0.0183089899197697,0.5294117647058824,0.05756408872743964,0.0028129395218001,0.5294117647058824
all,priority_tag_1_path_A,12,0.4166666666666667,0.0,0.16666666666666666,0.4166666666666667,0.0,0.013920693375130943,0.018114738375487,0.6666666666666666,0.0316219507539879,0.0200546356068609,0.5833333333333334,0.06627572648444593,0.033577245467454504,0.5833333333333334
main,core_pool,101,0.10891089108910891,0.1188118811881188,0.1188118811881188,0.40594059405940597,0.24752475247524752,0.0035714832487378804,0.0019801980198019,0.5247524752475248,0.00617079818980056,0.0024721878862792,0.5247524752475248,0.007471617859709968,0.001255230125523,0.5247524752475248
main,priority_tag_1,7,0.42857142857142855,0.0,0.14285714285714285,0.42857142857142855,0.0,0.014359200600211857,0.0036585365853658,0.5714285714285714,0.014896026790112557,0.0183089899197697,0.5714285714285714,0.05133029642171259,0.0643415514131089,0.5714285714285714
main,path_A,9,0.3333333333333333,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.005178147179684078,0.0,0.4444444444444444,0.015295387433767035,-0.0017073170731707,0.4444444444444444,0.04143817517001958,-0.0026743468422135,0.4444444444444444
main,priority_tag_1_path_A,6,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0,0.017665285415948754,0.011498060722224101,0.6666666666666666,0.03485391962237178,0.0368681208259357,0.6666666666666666,0.07736056752590516,0.07119516595045691,0.6666666666666666
confirm,core_pool,109,0.11926605504587157,0.07339449541284404,0.11009174311926606,0.3577981651376147,0.3394495412844037,0.00516065088974922,0.0027703820968554,0.5321100917431193,0.01245092730364883,0.0062408223201175,0.5688073394495413,0.01096010478421227,0.0064977257959712,0.5504587155963303
confirm,priority_tag_1,7,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.011837637369776175,0.0218068535825544,0.7142857142857143,0.028395240370126095,0.0218002812939521,0.5714285714285714,0.048419067807384246,0.0028129395218001,0.5714285714285714
confirm,path_A,8,0.5,0.0,0.125,0.375,0.0,0.010912375360019875,0.019507892848600702,0.625,0.049961791319172597,0.05118711636441535,0.625,0.07570574147953721,0.0636015917121196,0.625
confirm,priority_tag_1_path_A,6,0.3333333333333333,0.0,0.16666666666666666,0.5,0.0,0.010176101334313134,0.019507892848600702,0.6666666666666666,0.028389981885604015,0.0011822723084181,0.5,0.05519088544298672,-0.0077889325379505,0.5
