group,label_abc,n,avg_ret_t1,med_ret_t1,win_t1,avg_ret_t2,med_ret_t2,win_t2
top1,A,28,0.05662885316756711,0.054985084521047445,1.0,0.09433544963964538,0.08291104258033866,0.9642857142857143
top1,C,90,-0.009083350145110386,-0.013453950848990592,0.34444444444444444,-0.018459338964164445,-0.027748998882473563,0.34444444444444444
top2,A,59,0.0553021434746764,0.051801801801801606,0.9152542372881356,0.09663999020132688,0.08092485549132955,0.9661016949152542
top2,C,177,-0.011404210643249453,-0.014987080103359363,0.327683615819209,-0.016659726887470583,-0.021666666666666612,0.3446327683615819
top3,A,85,0.04936549666773847,0.047363717605004574,0.8823529411764706,0.08770050594641124,0.07435897435897454,0.9294117647058824
top3,C,269,-0.010845758140244785,-0.014682747771368687,0.3345724907063197,-0.019858577342966546,-0.024626209322779147,0.3159851301115242
top5,A,122,0.04966849352959015,0.049012324733085255,0.8934426229508197,0.09085205565980362,0.07840928243841438,0.9508196721311475
top5,C,468,-0.010702543544605043,-0.014796023488204302,0.33760683760683763,-0.02098325142992333,-0.02005779690236842,0.30982905982905984
rank6_10,A,102,0.045446690832987635,0.04407725540765994,0.9215686274509803,0.06942330554834933,0.05659642401021714,0.9509803921568627
rank6_10,C,469,-0.010042615710782719,-0.010598290598290538,0.3326226012793177,-0.018431447011493234,-0.01741293532338295,0.326226012793177
