rule,quadrant,n_quadrant,hit_n,hit_rate_in_quadrant
f_strength_rs20_xsec_q >= 0.72,selected_A,129,129,1.0
f_strength_rs20_xsec_q >= 0.72,selected_C,285,285,1.0
f_strength_rs20_xsec_q >= 0.72,missed_A,1297,650,0.5011565150346955
f_strength_rs20_xsec_q >= 0.72,rejected_C,2318,1001,0.43183779119930976
f_chip_stability_std10 >= 0.0032,selected_A,129,129,1.0
f_chip_stability_std10 >= 0.0032,selected_C,285,285,1.0
f_chip_stability_std10 >= 0.0032,missed_A,1297,632,0.48727833461835
f_chip_stability_std10 >= 0.0032,rejected_C,2318,1094,0.4719585849870578
combined_hard_filters,selected_A,129,129,1.0
combined_hard_filters,selected_C,285,285,1.0
combined_hard_filters,missed_A,1297,402,0.3099460292983809
combined_hard_filters,rejected_C,2318,650,0.2804141501294219
