feature,left_n,right_n,left_median,right_median,median_gap_left_minus_right
f_ind_peer_strong_count,129,1297,11.0,9.0,2.0
score_trend_axis,129,1297,0.891738941166717,0.46144147827949455,0.4302974628872225
f_strength_rs20_xsec_q,129,1297,0.955547391623806,0.7202643171806168,0.2352830744431892
f_trend_close_ma60_gap,94,986,0.3066389438482008,0.07297326872387078,0.23366567512433
f_strength_ret20,129,1297,0.30795847750865035,0.07430340557275539,0.23365507193589496
f_chip_winner_rate,129,1297,0.9602606345626319,0.7373662075680977,0.2228944269945342
score_chip_axis,129,1297,0.6865227103499627,0.4957060705827701,0.1908166397671926
f_platform_range20,129,1297,0.2826789838337183,0.1480959097320169,0.13458307410170142
f_platform_range_best,122,1184,0.2836613169163612,0.15007984669434687,0.13358147022201433
f_chip_low_position120,94,986,0.6176830359515229,0.49873218391811225,0.1189508520334106
f_trend_close_ma20_gap,129,1297,0.1458740711771609,0.04258561231854996,0.10328845885861093
score_industry_axis,129,1297,0.5996525192355423,0.5044055596922313,0.09524695954331097
score_platform_axis,129,1297,0.5444112914734609,0.509254559113754,0.035156732359706955
f_chip_stability_std10,129,1297,0.014534588945822824,0.003124666852863062,0.01140992209295976
f_ind_strength_5d,129,1297,0.005600402205287102,0.004136152447798401,0.001464249757488701
f_platform_len,129,1297,17.0,19.0,-2.0
