feature,left_n,right_n,left_median,right_median,median_gap_left_minus_right
f_ind_peer_strong_count,285,2318,12.0,7.0,5.0
score_trend_axis,285,2318,0.9168239058918075,0.43155800968788194,0.4852658962039256
f_trend_close_ma60_gap,243,1850,0.37734411482783203,0.06710748356337704,0.310236631264455
f_strength_rs20_xsec_q,285,2317,0.9706852326859655,0.6727806309611152,0.29790460172485034
f_strength_ret20,285,2317,0.3515952304221719,0.060975609756097615,0.2906196206660743
f_chip_winner_rate,285,2318,0.9391296641952975,0.7218182725804279,0.21731139161486968
f_platform_range_best,281,2239,0.32401103955841765,0.14277726001863927,0.18123377953977837
f_platform_range20,285,2317,0.3209393346379647,0.14105671352399402,0.1798826211139707
score_chip_axis,285,2318,0.6572753305944445,0.4796319628381804,0.17764336775626416
score_industry_axis,285,2318,0.6190742119632664,0.4804542069992554,0.138620004964011
f_chip_low_position120,243,1850,0.6101226478856261,0.47283810911623614,0.13728453876938995
f_trend_close_ma20_gap,285,2318,0.16972394080827802,0.03877865931727276,0.13094528149100526
score_platform_axis,285,2318,0.5633349502107733,0.5072573781124583,0.05607757209831499
f_chip_stability_std10,285,2318,0.018832794304033177,0.002933456048578087,0.01589933825545509
f_ind_strength_5d,285,2318,0.007218133184499672,0.004143280995805033,0.0030748521886946392
f_platform_len,285,2318,17.0,20.0,-3.0
