model,group_type,group_name,total_n,selected_n,selected_rate
single_v22,A_subtype,high_momentum_frontline_A,160,74,0.4625
single_v22,A_subtype,steady_structure_A,79,1,0.012658227848101266
single_v22,A_subtype,chip_support_A,69,1,0.014492753623188406
single_v22,A_subtype,mixed_A,1118,75,0.06708407871198568
single_v22,C_mode,industry_heat_C,317,172,0.5425867507886435
single_v22,C_mode,trend_chase_C,47,1,0.02127659574468085
single_v22,C_mode,platform_false_break_C,430,86,0.2
single_v22,C_mode,chip_distortion_C,90,0,0.0
single_v22,C_mode,mixed_pseudo_C,1719,67,0.038976148923792905
path_a,A_subtype,high_momentum_frontline_A,160,91,0.56875
path_a,A_subtype,steady_structure_A,79,0,0.0
path_a,A_subtype,chip_support_A,69,0,0.0
path_a,A_subtype,mixed_A,1118,61,0.05456171735241502
path_a,C_mode,industry_heat_C,317,159,0.501577287066246
path_a,C_mode,trend_chase_C,47,0,0.0
path_a,C_mode,platform_false_break_C,430,74,0.17209302325581396
path_a,C_mode,chip_distortion_C,90,1,0.011111111111111112
path_a,C_mode,mixed_pseudo_C,1719,52,0.030250145433391506
path_b,A_subtype,high_momentum_frontline_A,160,33,0.20625
path_b,A_subtype,steady_structure_A,79,43,0.5443037974683544
path_b,A_subtype,chip_support_A,69,12,0.17391304347826086
path_b,A_subtype,mixed_A,1118,92,0.08228980322003578
path_b,C_mode,industry_heat_C,317,85,0.26813880126182965
path_b,C_mode,trend_chase_C,47,1,0.02127659574468085
path_b,C_mode,platform_false_break_C,430,15,0.03488372093023256
path_b,C_mode,chip_distortion_C,90,34,0.37777777777777777
path_b,C_mode,mixed_pseudo_C,1719,210,0.12216404886561955
dual_merge,A_subtype,high_momentum_frontline_A,160,104,0.65
dual_merge,A_subtype,steady_structure_A,79,43,0.5443037974683544
dual_merge,A_subtype,chip_support_A,69,12,0.17391304347826086
dual_merge,A_subtype,mixed_A,1118,136,0.12164579606440072
dual_merge,C_mode,industry_heat_C,317,198,0.6246056782334385
dual_merge,C_mode,trend_chase_C,47,1,0.02127659574468085
dual_merge,C_mode,platform_false_break_C,430,78,0.1813953488372093
dual_merge,C_mode,chip_distortion_C,90,35,0.3888888888888889
dual_merge,C_mode,mixed_pseudo_C,1719,234,0.13612565445026178
