model,c_mode,total_c_n,selected_c_n,selected_rate_in_mode
stageA_q22_hlow,industry_heat_C,317,63,0.19873817034700317
stageA_q22_hlow,trend_chase_C,47,0,0.0
stageA_q22_hlow,platform_false_break_C,430,12,0.027906976744186046
stageA_q22_hlow,chip_distortion_C,90,9,0.1
stageA_q22_hlow,mixed_pseudo_C,1719,42,0.02443280977312391
stageA_q22_hmedium,industry_heat_C,317,58,0.1829652996845426
stageA_q22_hmedium,trend_chase_C,47,0,0.0
stageA_q22_hmedium,platform_false_break_C,430,13,0.030232558139534883
stageA_q22_hmedium,chip_distortion_C,90,9,0.1
stageA_q22_hmedium,mixed_pseudo_C,1719,42,0.02443280977312391
stageA_q22_hhigh,industry_heat_C,317,55,0.17350157728706625
stageA_q22_hhigh,trend_chase_C,47,0,0.0
stageA_q22_hhigh,platform_false_break_C,430,15,0.03488372093023256
stageA_q22_hhigh,chip_distortion_C,90,9,0.1
stageA_q22_hhigh,mixed_pseudo_C,1719,43,0.02501454333915067
stageA_q21_hlow,industry_heat_C,317,59,0.1861198738170347
stageA_q21_hlow,trend_chase_C,47,0,0.0
stageA_q21_hlow,platform_false_break_C,430,12,0.027906976744186046
stageA_q21_hlow,chip_distortion_C,90,6,0.06666666666666667
stageA_q21_hlow,mixed_pseudo_C,1719,22,0.012798138452588714
stageA_q21_hmedium,industry_heat_C,317,55,0.17350157728706625
stageA_q21_hmedium,trend_chase_C,47,0,0.0
stageA_q21_hmedium,platform_false_break_C,430,13,0.030232558139534883
stageA_q21_hmedium,chip_distortion_C,90,6,0.06666666666666667
stageA_q21_hmedium,mixed_pseudo_C,1719,22,0.012798138452588714
stageA_q21_hhigh,industry_heat_C,317,52,0.1640378548895899
stageA_q21_hhigh,trend_chase_C,47,0,0.0
stageA_q21_hhigh,platform_false_break_C,430,15,0.03488372093023256
stageA_q21_hhigh,chip_distortion_C,90,6,0.06666666666666667
stageA_q21_hhigh,mixed_pseudo_C,1719,23,0.013379872018615475
stageA_q12_hlow,industry_heat_C,317,36,0.11356466876971609
stageA_q12_hlow,trend_chase_C,47,0,0.0
stageA_q12_hlow,platform_false_break_C,430,5,0.011627906976744186
stageA_q12_hlow,chip_distortion_C,90,9,0.1
stageA_q12_hlow,mixed_pseudo_C,1719,41,0.02385107620709715
stageA_q12_hmedium,industry_heat_C,317,34,0.10725552050473186
stageA_q12_hmedium,trend_chase_C,47,0,0.0
stageA_q12_hmedium,platform_false_break_C,430,5,0.011627906976744186
stageA_q12_hmedium,chip_distortion_C,90,9,0.1
stageA_q12_hmedium,mixed_pseudo_C,1719,41,0.02385107620709715
stageA_q12_hhigh,industry_heat_C,317,32,0.10094637223974763
stageA_q12_hhigh,trend_chase_C,47,0,0.0
stageA_q12_hhigh,platform_false_break_C,430,6,0.013953488372093023
stageA_q12_hhigh,chip_distortion_C,90,9,0.1
stageA_q12_hhigh,mixed_pseudo_C,1719,41,0.02385107620709715
stageB_q12_hhigh_a10_b20,industry_heat_C,317,32,0.10094637223974763
stageB_q12_hhigh_a10_b20,trend_chase_C,47,0,0.0
stageB_q12_hhigh_a10_b20,platform_false_break_C,430,6,0.013953488372093023
stageB_q12_hhigh_a10_b20,chip_distortion_C,90,9,0.1
stageB_q12_hhigh_a10_b20,mixed_pseudo_C,1719,43,0.02501454333915067
stageB_q12_hhigh_a10_b30,industry_heat_C,317,32,0.10094637223974763
stageB_q12_hhigh_a10_b30,trend_chase_C,47,0,0.0
stageB_q12_hhigh_a10_b30,platform_false_break_C,430,6,0.013953488372093023
stageB_q12_hhigh_a10_b30,chip_distortion_C,90,9,0.1
stageB_q12_hhigh_a10_b30,mixed_pseudo_C,1719,43,0.02501454333915067
stageB_q12_hhigh_a20_b20,industry_heat_C,317,32,0.10094637223974763
stageB_q12_hhigh_a20_b20,trend_chase_C,47,0,0.0
stageB_q12_hhigh_a20_b20,platform_false_break_C,430,6,0.013953488372093023
stageB_q12_hhigh_a20_b20,chip_distortion_C,90,9,0.1
stageB_q12_hhigh_a20_b20,mixed_pseudo_C,1719,43,0.02501454333915067
stageB_q12_hhigh_a20_b30,industry_heat_C,317,32,0.10094637223974763
stageB_q12_hhigh_a20_b30,trend_chase_C,47,0,0.0
stageB_q12_hhigh_a20_b30,platform_false_break_C,430,6,0.013953488372093023
stageB_q12_hhigh_a20_b30,chip_distortion_C,90,9,0.1
stageB_q12_hhigh_a20_b30,mixed_pseudo_C,1719,43,0.02501454333915067
stageB_q12_hhigh_a30_b20,industry_heat_C,317,32,0.10094637223974763
stageB_q12_hhigh_a30_b20,trend_chase_C,47,0,0.0
stageB_q12_hhigh_a30_b20,platform_false_break_C,430,6,0.013953488372093023
stageB_q12_hhigh_a30_b20,chip_distortion_C,90,9,0.1
stageB_q12_hhigh_a30_b20,mixed_pseudo_C,1719,43,0.02501454333915067
stageB_q12_hhigh_a30_b30,industry_heat_C,317,32,0.10094637223974763
stageB_q12_hhigh_a30_b30,trend_chase_C,47,0,0.0
stageB_q12_hhigh_a30_b30,platform_false_break_C,430,6,0.013953488372093023
stageB_q12_hhigh_a30_b30,chip_distortion_C,90,9,0.1
stageB_q12_hhigh_a30_b30,mixed_pseudo_C,1719,43,0.02501454333915067
confirm_q12_hhigh_a10_b20,industry_heat_C,179,30,0.16759776536312848
