model,quota_a,quota_b,cutoff_a,cutoff_b,heat_cap,sample_n,a_n,c_n,a_share,c_share,above_baseline,a_share_lift_vs_baseline_pts,path_a_picks,path_b_picks,path_a_share_in_output,path_b_share_in_output,monthly_a_share_std,stage
stageA_q22_hlow,2,2,0.15,0.15,low,213,87,126,0.4084507042253521,0.5915492957746479,True,0.05455070422535213,112,112,0.5,0.5,0.2188834729992767,A
stageA_q22_hmedium,2,2,0.15,0.15,medium,209,87,122,0.41626794258373206,0.583732057416268,True,0.06236794258373207,112,112,0.5,0.5,0.21344158728033272,A
stageA_q22_hhigh,2,2,0.15,0.15,high,209,87,122,0.41626794258373206,0.583732057416268,True,0.06236794258373207,112,112,0.5,0.5,0.20789241341899858,A
stageA_q21_hlow,2,1,0.15,0.15,low,163,64,99,0.39263803680981596,0.6073619631901841,True,0.03873803680981597,112,57,0.6627218934911243,0.33727810650887574,0.21485242287380507,A
stageA_q21_hmedium,2,1,0.15,0.15,medium,160,64,96,0.4,0.6,True,0.04610000000000003,112,57,0.6627218934911243,0.33727810650887574,0.20858564602849733,A
stageA_q21_hhigh,2,1,0.15,0.15,high,160,64,96,0.4,0.6,True,0.04610000000000003,112,57,0.6627218934911243,0.33727810650887574,0.19429016414711656,A
stageA_q12_hlow,1,2,0.15,0.15,low,161,70,91,0.43478260869565216,0.5652173913043478,True,0.08088260869565217,57,112,0.33727810650887574,0.6627218934911243,0.17942969306306347,A
stageA_q12_hmedium,1,2,0.15,0.15,medium,159,70,89,0.44025157232704404,0.559748427672956,True,0.08635157232704405,57,112,0.33727810650887574,0.6627218934911243,0.1784029224757512,A
stageA_q12_hhigh,1,2,0.15,0.15,high,159,71,88,0.44654088050314467,0.5534591194968553,True,0.09264088050314467,57,112,0.33727810650887574,0.6627218934911243,0.17597591402346538,A
stageB_q12_hhigh_a10_b20,1,2,0.1,0.2,high,161,71,90,0.4409937888198758,0.5590062111801242,True,0.08709378881987578,57,114,0.3333333333333333,0.6666666666666666,0.177015239490732,B
stageB_q12_hhigh_a10_b30,1,2,0.1,0.3,high,161,71,90,0.4409937888198758,0.5590062111801242,True,0.08709378881987578,57,114,0.3333333333333333,0.6666666666666666,0.177015239490732,B
stageB_q12_hhigh_a20_b20,1,2,0.2,0.2,high,161,71,90,0.4409937888198758,0.5590062111801242,True,0.08709378881987578,57,114,0.3333333333333333,0.6666666666666666,0.177015239490732,B
stageB_q12_hhigh_a20_b30,1,2,0.2,0.3,high,161,71,90,0.4409937888198758,0.5590062111801242,True,0.08709378881987578,57,114,0.3333333333333333,0.6666666666666666,0.177015239490732,B
stageB_q12_hhigh_a30_b20,1,2,0.3,0.2,high,161,71,90,0.4409937888198758,0.5590062111801242,True,0.08709378881987578,57,114,0.3333333333333333,0.6666666666666666,0.177015239490732,B
stageB_q12_hhigh_a30_b30,1,2,0.3,0.3,high,161,71,90,0.4409937888198758,0.5590062111801242,True,0.08709378881987578,57,114,0.3333333333333333,0.6666666666666666,0.177015239490732,B
confirm_q12_hhigh_a10_b20,1,2,0.1,0.2,high,162,66,96,0.4074074074074074,0.5925925925925926,True,0.05350740740740739,55,119,0.3160919540229885,0.6839080459770115,0.09877103212633763,CONFIRM
