month,sample_n,a_n,a_share,model
202512,7.0,6.0,0.8571428571428571,stageA_q22_hlow
202601,79.0,31.0,0.3924050632911392,stageA_q22_hlow
202602,51.0,29.0,0.5686274509803921,stageA_q22_hlow
202603,76.0,21.0,0.27631578947368424,stageA_q22_hlow
202512,7.0,6.0,0.8571428571428571,stageA_q22_hmedium
202601,79.0,32.0,0.4050632911392405,stageA_q22_hmedium
202602,50.0,28.0,0.56,stageA_q22_hmedium
202603,73.0,21.0,0.2876712328767123,stageA_q22_hmedium
202512,7.0,6.0,0.8571428571428571,stageA_q22_hhigh
202601,79.0,32.0,0.4050632911392405,stageA_q22_hhigh
202602,51.0,27.0,0.5294117647058824,stageA_q22_hhigh
202603,72.0,22.0,0.3055555555555556,stageA_q22_hhigh
202512,5.0,4.0,0.8,stageA_q21_hlow
202601,60.0,22.0,0.36666666666666664,stageA_q21_hlow
202602,40.0,24.0,0.6,stageA_q21_hlow
202603,58.0,14.0,0.2413793103448276,stageA_q21_hlow
202512,5.0,4.0,0.8,stageA_q21_hmedium
202601,60.0,23.0,0.38333333333333336,stageA_q21_hmedium
202602,39.0,23.0,0.5897435897435898,stageA_q21_hmedium
202603,56.0,14.0,0.25,stageA_q21_hmedium
202512,5.0,4.0,0.8,stageA_q21_hhigh
202601,60.0,23.0,0.38333333333333336,stageA_q21_hhigh
202602,39.0,21.0,0.5384615384615384,stageA_q21_hhigh
202603,56.0,16.0,0.2857142857142857,stageA_q21_hhigh
202512,5.0,4.0,0.8,stageA_q12_hlow
202601,59.0,24.0,0.4067796610169492,stageA_q12_hlow
202602,40.0,23.0,0.575,stageA_q12_hlow
202603,57.0,19.0,0.3333333333333333,stageA_q12_hlow
202512,5.0,4.0,0.8,stageA_q12_hmedium
202601,59.0,28.0,0.4745762711864407,stageA_q12_hmedium
202602,39.0,21.0,0.5384615384615384,stageA_q12_hmedium
202603,56.0,17.0,0.30357142857142855,stageA_q12_hmedium
202512,5.0,4.0,0.8,stageA_q12_hhigh
202601,59.0,26.0,0.4406779661016949,stageA_q12_hhigh
202602,40.0,23.0,0.575,stageA_q12_hhigh
202603,55.0,18.0,0.32727272727272727,stageA_q12_hhigh
202512,5.0,4.0,0.8,stageB_q12_hhigh_a10_b20
202601,59.0,26.0,0.4406779661016949,stageB_q12_hhigh_a10_b20
202602,41.0,23.0,0.5609756097560976,stageB_q12_hhigh_a10_b20
202603,56.0,18.0,0.32142857142857145,stageB_q12_hhigh_a10_b20
202512,5.0,4.0,0.8,stageB_q12_hhigh_a10_b30
202601,59.0,26.0,0.4406779661016949,stageB_q12_hhigh_a10_b30
202602,41.0,23.0,0.5609756097560976,stageB_q12_hhigh_a10_b30
202603,56.0,18.0,0.32142857142857145,stageB_q12_hhigh_a10_b30
202512,5.0,4.0,0.8,stageB_q12_hhigh_a20_b20
202601,59.0,26.0,0.4406779661016949,stageB_q12_hhigh_a20_b20
202602,41.0,23.0,0.5609756097560976,stageB_q12_hhigh_a20_b20
202603,56.0,18.0,0.32142857142857145,stageB_q12_hhigh_a20_b20
202512,5.0,4.0,0.8,stageB_q12_hhigh_a20_b30
202601,59.0,26.0,0.4406779661016949,stageB_q12_hhigh_a20_b30
202602,41.0,23.0,0.5609756097560976,stageB_q12_hhigh_a20_b30
202603,56.0,18.0,0.32142857142857145,stageB_q12_hhigh_a20_b30
202512,5.0,4.0,0.8,stageB_q12_hhigh_a30_b20
202601,59.0,26.0,0.4406779661016949,stageB_q12_hhigh_a30_b20
202602,41.0,23.0,0.5609756097560976,stageB_q12_hhigh_a30_b20
202603,56.0,18.0,0.32142857142857145,stageB_q12_hhigh_a30_b20
202512,5.0,4.0,0.8,stageB_q12_hhigh_a30_b30
202601,59.0,26.0,0.4406779661016949,stageB_q12_hhigh_a30_b30
202602,41.0,23.0,0.5609756097560976,stageB_q12_hhigh_a30_b30
202603,56.0,18.0,0.32142857142857145,stageB_q12_hhigh_a30_b30
202509,5.0,2.0,0.4,confirm_q12_hhigh_a10_b20
202510,47.0,12.0,0.2553191489361702,confirm_q12_hhigh_a10_b20
202511,52.0,21.0,0.40384615384615385,confirm_q12_hhigh_a10_b20
202512,58.0,31.0,0.5344827586206896,confirm_q12_hhigh_a10_b20
