model,c_mode,total_c_n,selected_c_n,selected_rate_in_mode
S0_single_v22,industry_heat_C,317,172,0.5425867507886435
S0_single_v22,trend_chase_C,47,1,0.02127659574468085
S0_single_v22,platform_false_break_C,430,86,0.2
S0_single_v22,chip_distortion_C,90,0,0.0
S0_single_v22,mixed_pseudo_C,1719,67,0.038976148923792905
S3_dual_merge_naive,industry_heat_C,317,197,0.6214511041009464
S3_dual_merge_naive,trend_chase_C,47,2,0.0425531914893617
S3_dual_merge_naive,platform_false_break_C,430,79,0.18372093023255814
S3_dual_merge_naive,chip_distortion_C,90,36,0.4
S3_dual_merge_naive,mixed_pseudo_C,1719,235,0.13670738801628854
S4_dual_merge_controlled,industry_heat_C,317,127,0.40063091482649843
S4_dual_merge_controlled,trend_chase_C,47,0,0.0
S4_dual_merge_controlled,platform_false_break_C,430,39,0.09069767441860466
S4_dual_merge_controlled,chip_distortion_C,90,24,0.26666666666666666
S4_dual_merge_controlled,mixed_pseudo_C,1719,135,0.07853403141361257
S5_path_selection,industry_heat_C,317,105,0.3312302839116719
S5_path_selection,trend_chase_C,47,0,0.0
S5_path_selection,platform_false_break_C,430,37,0.08604651162790698
S5_path_selection,chip_distortion_C,90,0,0.0
S5_path_selection,mixed_pseudo_C,1719,25,0.014543339150668994
M1_quota_merge,industry_heat_C,317,58,0.1829652996845426
M1_quota_merge,trend_chase_C,47,0,0.0
M1_quota_merge,platform_false_break_C,430,13,0.030232558139534883
M1_quota_merge,chip_distortion_C,90,9,0.1
M1_quota_merge,mixed_pseudo_C,1719,42,0.02443280977312391
M2_primary_supplement,industry_heat_C,317,55,0.17350157728706625
M2_primary_supplement,trend_chase_C,47,0,0.0
M2_primary_supplement,platform_false_break_C,430,13,0.030232558139534883
M2_primary_supplement,chip_distortion_C,90,6,0.06666666666666667
M2_primary_supplement,mixed_pseudo_C,1719,22,0.012798138452588714
M3_rank_normalized_merge,industry_heat_C,317,36,0.11356466876971609
M3_rank_normalized_merge,trend_chase_C,47,0,0.0
M3_rank_normalized_merge,platform_false_break_C,430,10,0.023255813953488372
M3_rank_normalized_merge,chip_distortion_C,90,14,0.15555555555555556
M3_rank_normalized_merge,mixed_pseudo_C,1719,75,0.04363001745200698
