ts_code,trade_date,name,industry,label_true_breakout,path_source,score_total,rank_global_after_merge,rank_bucket,buy_date,buy_open_t1,close_t1,close_t2,close_t3,ret_t1,ret_t2,ret_t3,win_t1,win_t2,win_t3
002937.SZ,20251230,兴瑞科技,元器件,G,A,0.8616026658203746,1,top1,20251231,24.28,23.6,23.77,24.0,-0.028006589785831926,-0.021004942339374,-0.011532125205930832,False,False,False
601100.SH,20251230,恒立液压,工程机械,G,B,0.7545953876974981,2,top2,20251231,113.14,109.91,113.5,110.7,-0.028548700724765785,0.003181898532791161,-0.021566201166696164,False,True,False
603216.SH,20251230,梦天家居,家居用品,C,B,0.7272434292809898,3,top3,20251231,44.42,47.0,46.5,43.32,0.058081945069788254,0.04682575416479051,-0.02476361999099508,True,True,False
000792.SZ,20251231,盐湖股份,农药化肥,A,B,0.7256292579179139,3,top3,20260105,30.26,30.98,32.37,32.19,0.023793787177792458,0.06972901520158614,0.06378056840713797,True,True,True
002134.SZ,20251231,天津普林,元器件,G,A,0.8775658521104412,1,top1,20260105,26.8,26.46,26.04,26.34,-0.012686567164179152,-0.028358208955223896,-0.01716417910447765,False,False,False
603885.SH,20251231,吉祥航空,空运,G,B,0.7256455343182191,2,top2,20260105,14.6,14.77,15.26,15.15,0.011643835616438336,0.045205479452054886,0.03767123287671237,True,True,True
000893.SZ,20260105,亚钾国际,农药化肥,G,B,0.7760110857831155,3,top3,20260106,50.11,52.05,53.18,51.27,0.038714827379764394,0.061265216523648025,0.023149072041508845,True,True,True
000935.SZ,20260105,四川双马,水泥,A,B,0.781639328304251,2,top2,20260106,25.6,25.64,27.29,27.26,0.0015624999999999112,0.06601562499999991,0.06484375000000009,True,True,True
603358.SH,20260105,华达科技,汽车配件,A,A,0.8583339050843019,1,top1,20260106,50.75,50.25,51.55,51.8,-0.009852216748768461,0.015763546798029493,0.020689655172413834,False,True,True
000166.SZ,20260106,申万宏源,证券,C,B,0.7619294162457277,3,top3,20260107,5.49,5.43,5.32,5.35,-0.010928961748634003,-0.030965391621129323,-0.02550091074681249,False,False,False
