model,group_type,group_name,total_n,selected_n,selected_rate
S0_single_v22,A_subtype,high_momentum_frontline_A,160,74,0.4625
S0_single_v22,A_subtype,steady_structure_A,79,1,0.012658227848101266
S0_single_v22,A_subtype,chip_support_A,69,1,0.014492753623188406
S0_single_v22,A_subtype,mixed_A,1118,75,0.06708407871198568
S0_single_v22,C_mode,industry_heat_C,317,172,0.5425867507886435
S0_single_v22,C_mode,trend_chase_C,47,1,0.02127659574468085
S0_single_v22,C_mode,platform_false_break_C,430,86,0.2
S0_single_v22,C_mode,chip_distortion_C,90,0,0.0
S0_single_v22,C_mode,mixed_pseudo_C,1719,67,0.038976148923792905
S1_path_a_full,A_subtype,high_momentum_frontline_A,160,91,0.56875
S1_path_a_full,A_subtype,steady_structure_A,79,0,0.0
S1_path_a_full,A_subtype,chip_support_A,69,0,0.0
S1_path_a_full,A_subtype,mixed_A,1118,61,0.05456171735241502
S1_path_a_full,C_mode,industry_heat_C,317,159,0.501577287066246
S1_path_a_full,C_mode,trend_chase_C,47,0,0.0
S1_path_a_full,C_mode,platform_false_break_C,430,74,0.17209302325581396
S1_path_a_full,C_mode,chip_distortion_C,90,1,0.011111111111111112
S1_path_a_full,C_mode,mixed_pseudo_C,1719,52,0.030250145433391506
S2_path_b_full,A_subtype,high_momentum_frontline_A,160,33,0.20625
S2_path_b_full,A_subtype,steady_structure_A,79,43,0.5443037974683544
S2_path_b_full,A_subtype,chip_support_A,69,11,0.15942028985507245
S2_path_b_full,A_subtype,mixed_A,1118,91,0.08139534883720931
S2_path_b_full,C_mode,industry_heat_C,317,83,0.2618296529968454
S2_path_b_full,C_mode,trend_chase_C,47,2,0.0425531914893617
S2_path_b_full,C_mode,platform_false_break_C,430,16,0.037209302325581395
S2_path_b_full,C_mode,chip_distortion_C,90,35,0.3888888888888889
S2_path_b_full,C_mode,mixed_pseudo_C,1719,211,0.1227457824316463
S3_dual_merge_naive,A_subtype,high_momentum_frontline_A,160,103,0.64375
S3_dual_merge_naive,A_subtype,steady_structure_A,79,43,0.5443037974683544
S3_dual_merge_naive,A_subtype,chip_support_A,69,11,0.15942028985507245
S3_dual_merge_naive,A_subtype,mixed_A,1118,136,0.12164579606440072
S3_dual_merge_naive,C_mode,industry_heat_C,317,197,0.6214511041009464
S3_dual_merge_naive,C_mode,trend_chase_C,47,2,0.0425531914893617
S3_dual_merge_naive,C_mode,platform_false_break_C,430,79,0.18372093023255814
S3_dual_merge_naive,C_mode,chip_distortion_C,90,36,0.4
S3_dual_merge_naive,C_mode,mixed_pseudo_C,1719,235,0.13670738801628854
S4_dual_merge_controlled,A_subtype,high_momentum_frontline_A,160,69,0.43125
S4_dual_merge_controlled,A_subtype,steady_structure_A,79,28,0.35443037974683544
S4_dual_merge_controlled,A_subtype,chip_support_A,69,4,0.057971014492753624
S4_dual_merge_controlled,A_subtype,mixed_A,1118,71,0.06350626118067978
S4_dual_merge_controlled,C_mode,industry_heat_C,317,127,0.40063091482649843
S4_dual_merge_controlled,C_mode,trend_chase_C,47,0,0.0
S4_dual_merge_controlled,C_mode,platform_false_break_C,430,39,0.09069767441860466
S4_dual_merge_controlled,C_mode,chip_distortion_C,90,24,0.26666666666666666
S4_dual_merge_controlled,C_mode,mixed_pseudo_C,1719,135,0.07853403141361257
S5_path_selection,A_subtype,high_momentum_frontline_A,160,55,0.34375
S5_path_selection,A_subtype,steady_structure_A,79,0,0.0
S5_path_selection,A_subtype,chip_support_A,69,0,0.0
S5_path_selection,A_subtype,mixed_A,1118,25,0.022361359570661897
S5_path_selection,C_mode,industry_heat_C,317,105,0.3312302839116719
S5_path_selection,C_mode,trend_chase_C,47,0,0.0
S5_path_selection,C_mode,platform_false_break_C,430,37,0.08604651162790698
S5_path_selection,C_mode,chip_distortion_C,90,0,0.0
S5_path_selection,C_mode,mixed_pseudo_C,1719,25,0.014543339150668994
