scope,scenario,selected_n,signal_days,avg_days_per_signal,A_recall_rate,A_high_recall_rate,A_high_over_C,A_low_plus_C_share,mean_ret_t2,median_ret_t2,win_t2
full_year,R2_base_daily_top1,223,223,1.0,0.01676709457689285,0.023809523809523808,0.3333333333333333,0.4798206278026906,0.006178882294513452,0.0010775862068965,0.5022421524663677
main_window,R2_base_daily_top1,57,57,1.0,0.011921458625525946,0.01593625498007968,0.2857142857142857,0.5614035087719298,0.002867932977471533,-0.0017073170731707,0.47368421052631576
confirm_window,R2_base_daily_top1,60,60,1.0,0.02832512315270936,0.043478260869565216,0.5714285714285714,0.4666666666666667,0.01664735457565342,0.011038697821129151,0.6
full_year,R2_ind_cap70,156,156,1.4294871794871795,0.012575320932669635,0.020634920634920634,0.41935483870967744,0.46153846153846156,0.008235712988363642,0.0024570024570023,0.5
main_window,R2_ind_cap70,34,34,1.6764705882352942,0.008415147265077139,0.01195219123505976,0.375,0.5588235294117647,0.006004293352445574,0.0013053981527462,0.5
confirm_window,R2_ind_cap70,47,47,1.2765957446808511,0.024630541871921183,0.043478260869565216,0.7058823529411765,0.44680851063829785,0.020493195832528795,0.0107632093933462,0.5957446808510638
full_year,R2_ind_cap60,134,134,1.664179104477612,0.01100340581608593,0.01904761904761905,0.46153846153846156,0.44776119402985076,0.00946570961556415,0.0027027027027026,0.5074626865671642
main_window,R2_ind_cap60,28,28,2.0357142857142856,0.006311360448807854,0.0099601593625498,0.38461538461538464,0.5714285714285714,0.006319492848246643,0.0013053981527462,0.5
confirm_window,R2_ind_cap60,44,44,1.3636363636363635,0.022167487684729065,0.03985507246376811,0.6875,0.4318181818181818,0.018751698903129242,0.01067051597248795,0.5909090909090909
full_year,R2_ind_cap50,112,112,1.9910714285714286,0.008645533141210375,0.012698412698412698,0.35555555555555557,0.4642857142857143,0.005217346070426667,0.0027027027027026,0.5089285714285714
main_window,R2_ind_cap50,23,23,2.4782608695652173,0.004207573632538569,0.00597609561752988,0.25,0.6086956521739131,0.0043022316395325,0.0031818985327911,0.5217391304347826
confirm_window,R2_ind_cap50,38,38,1.5789473684210527,0.017241379310344827,0.025362318840579712,0.5,0.4473684210526316,0.010226799443732526,0.0100609155175964,0.5789473684210527
full_year,R2_ind60_chip50,78,78,2.858974358974359,0.006549646319098768,0.011904761904761904,0.45454545454545453,0.5,0.007818514052325237,0.0007372907298102,0.5
main_window,R2_ind60_chip50,16,16,3.5625,0.0035063113604488078,0.00597609561752988,0.5,0.5,0.0052528477515430185,0.00538316588083305,0.625
confirm_window,R2_ind60_chip50,23,23,2.608695652173913,0.012315270935960592,0.025362318840579712,0.7777777777777778,0.4782608695652174,0.01799135420581019,0.0212224108658742,0.5217391304347826
