section,window,group,field,count,mean,median,p25,p75,min,max,bucket,a_high_share,c_share,a_c_gap
summary,all,A_high,score_total,5,0.8607725777725778,0.8608152958152958,0.8468278018278019,0.8682053157053157,0.8375060125060126,0.890508463008463,,,,
summary,all,A_high,score_platform_axis_single,5,0.5891058394160583,0.5898925385239254,0.5837793998377939,0.6101378751013787,0.5247668288726682,0.6369525547445254,,,,
summary,all,A_high,score_industry_axis_single,5,0.5960485810485812,0.5727633477633478,0.5268278018278018,0.618867243867244,0.4821669071669071,0.7796176046176047,,,,
summary,all,A_high,score_chip_axis_single,5,0.7514502812233486,0.7262731039164955,0.6889163454998867,0.8640323553789887,0.5400042102535868,0.938025391067785,,,,
summary,all,A_high,f_chip_winner_rate,5,0.966202714833757,0.9758907324152879,0.9663457473925686,0.9760319576907811,0.9199324858050398,0.9928126508651078,,,,
summary,all,A_high,f_platform_compress_ratio,5,0.4699510528792298,0.44751381215469593,0.44047619047619047,0.5135135135135135,0.38461538461538475,0.5636363636363643,,,,
summary,all,A_high,rank_global_after_merge,5,1.0,1.0,1.0,1.0,1.0,1.0,,,,
summary,all,C,score_total,5,0.8553586606086607,0.8663503113503114,0.8365632515632517,0.8689951802451803,0.8350986050986051,0.8697859547859549,,,,
summary,all,C,score_platform_axis_single,5,0.6347161394971614,0.6245640713706406,0.6094383617193836,0.6677514193025141,0.5678223844282237,0.7040044606650445,,,,
summary,all,C,score_industry_axis_single,5,0.632902837902838,0.5697691197691197,0.5549182299182299,0.6438191438191437,0.4290163540163541,0.966991341991342,,,,
summary,all,C,score_chip_axis_single,5,0.7681932674326689,0.8007075205204882,0.6941366281266532,0.8424767086612472,0.5948427092442055,0.9088027706107504,,,,
summary,all,C,f_chip_winner_rate,5,0.9859776977638715,0.9838066163956888,0.9825255555928823,0.9903648802568674,0.9744594930483583,0.9987319435255608,,,,
summary,all,C,f_platform_compress_ratio,5,0.4066874758832279,0.425824175824176,0.40555555555555556,0.4545454545454543,0.24167561761546727,0.5058365758754862,,,,
summary,all,C,rank_global_after_merge,5,1.0,1.0,1.0,1.0,1.0,1.0,,,,
bucket,all,A_high_vs_C,score_platform_axis_single,3,,,,,,,"(0.524, 0.588]",0.6666666666666666,0.3333333333333333,0.3333333333333333
bucket,all,A_high_vs_C,score_platform_axis_single,3,,,,,,,"(0.588, 0.617]",0.6666666666666666,0.3333333333333333,0.3333333333333333
bucket,all,A_high_vs_C,score_platform_axis_single,3,,,,,,,"(0.617, 0.659]",0.3333333333333333,0.3333333333333333,0.0
bucket,all,A_high_vs_C,score_platform_axis_single,3,,,,,,,"(0.659, 0.704]",0.0,0.6666666666666666,-0.6666666666666666
bucket,all,A_high_vs_C,score_industry_axis_single,3,,,,,,,"(0.428, 0.548]",0.6666666666666666,0.3333333333333333,0.3333333333333333
bucket,all,A_high_vs_C,score_industry_axis_single,3,,,,,,,"(0.548, 0.574]",0.3333333333333333,0.6666666666666666,-0.3333333333333333
bucket,all,A_high_vs_C,score_industry_axis_single,3,,,,,,,"(0.574, 0.678]",0.3333333333333333,0.3333333333333333,0.0
bucket,all,A_high_vs_C,score_industry_axis_single,3,,,,,,,"(0.678, 0.967]",0.3333333333333333,0.3333333333333333,0.0
bucket,all,A_high_vs_C,f_platform_compress_ratio,3,,,,,,,"(0.241, 0.4]",0.3333333333333333,0.3333333333333333,0.0
bucket,all,A_high_vs_C,f_platform_compress_ratio,3,,,,,,,"(0.4, 0.433]",0.0,0.6666666666666666,-0.6666666666666666
bucket,all,A_high_vs_C,f_platform_compress_ratio,3,,,,,,,"(0.433, 0.467]",0.6666666666666666,0.3333333333333333,0.3333333333333333
bucket,all,A_high_vs_C,f_platform_compress_ratio,3,,,,,,,"(0.467, 0.564]",0.6666666666666666,0.3333333333333333,0.3333333333333333
bucket,all,A_high_vs_C,f_chip_winner_rate,3,,,,,,,"(0.919, 0.972]",0.6666666666666666,0.0,0.6666666666666666
bucket,all,A_high_vs_C,f_chip_winner_rate,3,,,,,,,"(0.972, 0.979]",0.6666666666666666,0.3333333333333333,0.3333333333333333
bucket,all,A_high_vs_C,f_chip_winner_rate,3,,,,,,,"(0.979, 0.987]",0.0,0.6666666666666666,-0.6666666666666666
bucket,all,A_high_vs_C,f_chip_winner_rate,3,,,,,,,"(0.987, 0.999]",0.3333333333333333,0.6666666666666666,-0.3333333333333333
summary,main,A_high,score_total,3,0.8731763581763582,0.8682053157053157,0.8645103057603057,0.8793568893568893,0.8608152958152958,0.890508463008463,,,,
summary,main,A_high,score_platform_axis_single,3,0.6102899432278993,0.6101378751013787,0.5969586374695863,0.6235452149229521,0.5837793998377939,0.6369525547445254,,,,
summary,main,A_high,score_industry_axis_single,3,0.6417708834375501,0.618867243867244,0.5728475228475229,0.6992424242424243,0.5268278018278018,0.7796176046176047,,,,
summary,main,A_high,score_chip_axis_single,3,0.7101032231830237,0.7262731039164955,0.6331386570850411,0.7951527296477421,0.5400042102535868,0.8640323553789887,,,,
summary,main,A_high,f_chip_winner_rate,3,0.9629256981203097,0.9760319576907811,0.9479822217479105,0.9844223042779445,0.9199324858050398,0.9928126508651078,,,,
summary,main,A_high,f_platform_compress_ratio,3,0.4629093129093132,0.44047619047619047,0.41254578754578763,0.5020562770562773,0.38461538461538475,0.5636363636363643,,,,
summary,main,A_high,rank_global_after_merge,3,1.0,1.0,1.0,1.0,1.0,1.0,,,,
summary,main,C,score_total,2,0.8520468926718927,0.8520468926718927,0.8435727488852489,0.8605210364585365,0.8350986050986051,0.8689951802451803,,,,
summary,main,C,score_platform_axis_single,2,0.5886303730738036,0.5886303730738036,0.5782263787510137,0.5990343673965937,0.5678223844282237,0.6094383617193836,,,,
summary,main,C,score_industry_axis_single,2,0.698003848003848,0.698003848003848,0.563510101010101,0.832497594997595,0.4290163540163541,0.966991341991342,,,,
summary,main,C,score_chip_axis_single,2,0.751822739927478,0.751822739927478,0.6733327245858417,0.8303127552691142,0.5948427092442055,0.9088027706107504,,,,
summary,main,C,f_chip_winner_rate,2,0.9865957182869596,0.9865957182869596,0.980527605667659,0.9926638309062602,0.9744594930483583,0.9987319435255608,,,,
summary,main,C,f_platform_compress_ratio,2,0.4556960657155209,0.4556960657155209,0.43062581063553823,0.4807663207955036,0.40555555555555556,0.5058365758754862,,,,
summary,main,C,rank_global_after_merge,2,1.0,1.0,1.0,1.0,1.0,1.0,,,,
bucket,main,A_high_vs_C,score_platform_axis_single,2,,,,,,,"(0.567, 0.59]",0.5,0.5,0.0
bucket,main,A_high_vs_C,score_platform_axis_single,1,,,,,,,"(0.59, 0.61]",0.0,1.0,-1.0
bucket,main,A_high_vs_C,score_platform_axis_single,1,,,,,,,"(0.61, 0.63]",1.0,0.0,1.0
bucket,main,A_high_vs_C,score_platform_axis_single,2,,,,,,,"(0.63, 0.679]",0.5,0.0,0.5
bucket,main,A_high_vs_C,score_industry_axis_single,2,,,,,,,"(0.428, 0.539]",0.5,0.5,0.0
bucket,main,A_high_vs_C,score_industry_axis_single,1,,,,,,,"(0.539, 0.597]",0.0,0.0,0.0
bucket,main,A_high_vs_C,score_industry_axis_single,1,,,,,,,"(0.597, 0.739]",1.0,0.0,1.0
bucket,main,A_high_vs_C,score_industry_axis_single,2,,,,,,,"(0.739, 0.967]",0.5,0.5,0.0
bucket,main,A_high_vs_C,f_platform_compress_ratio,2,,,,,,,"(0.334, 0.39]",0.5,0.0,0.5
bucket,main,A_high_vs_C,f_platform_compress_ratio,1,,,,,,,"(0.39, 0.423]",0.0,1.0,-1.0
bucket,main,A_high_vs_C,f_platform_compress_ratio,1,,,,,,,"(0.423, 0.489]",1.0,0.0,1.0
bucket,main,A_high_vs_C,f_platform_compress_ratio,2,,,,,,,"(0.489, 0.564]",0.5,0.5,0.0
bucket,main,A_high_vs_C,f_chip_winner_rate,2,,,,,,,"(0.919, 0.975]",0.5,0.5,0.0
bucket,main,A_high_vs_C,f_chip_winner_rate,1,,,,,,,"(0.975, 0.981]",1.0,0.0,1.0
bucket,main,A_high_vs_C,f_chip_winner_rate,1,,,,,,,"(0.981, 0.991]",0.0,0.0,0.0
bucket,main,A_high_vs_C,f_chip_winner_rate,2,,,,,,,"(0.991, 0.999]",0.5,0.5,0.0
summary,confirm,A_high,score_total,2,0.8421669071669073,0.8421669071669073,0.8398364598364599,0.8444973544973546,0.8375060125060126,0.8468278018278019,,,,
summary,confirm,A_high,score_platform_axis_single,2,0.5573296836982968,0.5573296836982968,0.5410482562854826,0.5736111111111111,0.5247668288726682,0.5898925385239254,,,,
summary,confirm,A_high,score_industry_axis_single,2,0.5274651274651274,0.5274651274651274,0.5048160173160172,0.5501142376142376,0.4821669071669071,0.5727633477633478,,,,
summary,confirm,A_high,score_chip_axis_single,2,0.8134708682838359,0.8134708682838359,0.7511936068918612,0.8757481296758105,0.6889163454998867,0.938025391067785,,,,
summary,confirm,A_high,f_chip_winner_rate,2,0.9711182399039282,0.9711182399039282,0.9687319936482485,0.973504486159608,0.9663457473925686,0.9758907324152879,,,,
summary,confirm,A_high,f_platform_compress_ratio,2,0.4805136628341047,0.4805136628341047,0.46401373749440034,0.4970135881738091,0.44751381215469593,0.5135135135135135,,,,
summary,confirm,A_high,rank_global_after_merge,2,1.0,1.0,1.0,1.0,1.0,1.0,,,,
summary,confirm,C,score_total,3,0.8575665058998393,0.8663503113503114,0.8514567814567815,0.8680681330681331,0.8365632515632517,0.8697859547859549,,,,
summary,confirm,C,score_platform_axis_single,3,0.6654399837793998,0.6677514193025141,0.6461577453365774,0.6858779399837793,0.6245640713706406,0.7040044606650445,,,,
summary,confirm,C,score_industry_axis_single,3,0.5895021645021644,0.5697691197691197,0.5623436748436748,0.6067941317941317,0.5549182299182299,0.6438191438191437,,,,
summary,confirm,C,score_chip_axis_single,3,0.7791069524361296,0.8007075205204882,0.7474220743235707,0.8215921145908678,0.6941366281266532,0.8424767086612472,,,,
summary,confirm,C,f_chip_winner_rate,3,0.9855656840818128,0.9838066163956888,0.9831660859942856,0.987085748326278,0.9825255555928823,0.9903648802568674,,,,
summary,confirm,C,f_platform_compress_ratio,3,0.3740150826616992,0.425824175824176,0.33374989671982164,0.4401848151848151,0.24167561761546727,0.4545454545454543,,,,
summary,confirm,C,rank_global_after_merge,3,1.0,1.0,1.0,1.0,1.0,1.0,,,,
bucket,confirm,A_high_vs_C,score_platform_axis_single,2,,,,,,,"(0.524, 0.599]",1.0,0.0,1.0
bucket,confirm,A_high_vs_C,score_platform_axis_single,1,,,,,,,"(0.599, 0.64]",0.0,1.0,-1.0
bucket,confirm,A_high_vs_C,score_platform_axis_single,1,,,,,,,"(0.64, 0.665]",0.0,0.0,0.0
