window,pool,sample_n,mean_ret_t1,median_ret_t1,win_t1,mean_ret_t2,median_ret_t2,win_t2,mean_ret_t3,median_ret_t3,win_t3
all,strict_pool_raw,12,0.013920693375130943,0.018114738375487,0.6666666666666666,0.0316219507539879,0.0200546356068609,0.5833333333333334,0.06627572648444593,0.033577245467454504,0.5833333333333334
all,strict_pool_F1,8,0.01742250108689615,0.020730739332196102,0.625,0.05101068259793358,0.05687778702059085,0.75,0.09765765322810885,0.11300218448253595,0.625
all,strict_pool_F2,11,0.017305563994286746,0.0193375848590824,0.7272727272727273,0.03644870924417198,0.0218002812939521,0.6363636363636364,0.07659527105609384,0.0643415514131089,0.6363636363636364
all,strict_pool_F3,7,0.023241841732964588,0.0221238938053098,0.7142857142857143,0.06136540763164366,0.05832832230908,0.8571428571428571,0.11835721280407882,0.161662817551963,0.7142857142857143
main,strict_pool_raw,6,0.017665285415948754,0.011498060722224101,0.6666666666666666,0.03485391962237178,0.0368681208259357,0.6666666666666666,0.07736056752590516,0.07119516595045691,0.6666666666666666
main,strict_pool_F1,5,0.020466635182065342,0.0193375848590824,0.6,0.042166166961480275,0.0554272517321017,0.8,0.0772229249335252,0.0643415514131089,0.6
main,strict_pool_F2,5,0.025860919186255084,0.0193375848590824,0.8,0.04611918207445352,0.0554272517321017,0.8,0.10228053379182238,0.0780487804878049,0.8
main,strict_pool_F3,4,0.0314115148364774,0.02929927741799385,0.75,0.058075806861359575,0.05687778702059085,1.0,0.10833847211782675,0.11300218448253595,0.75
confirm,strict_pool_raw,6,0.010176101334313134,0.019507892848600702,0.6666666666666666,0.028389981885604015,0.0011822723084181,0.5,0.05519088544298672,-0.0077889325379505,0.5
confirm,strict_pool_F1,3,0.012348944261614167,0.0221238938053098,0.6666666666666666,0.06575154199202243,0.1238938053097347,0.6666666666666666,0.1317155337190816,0.2367256637168142,0.6666666666666666
confirm,strict_pool_F2,6,0.010176101334313134,0.019507892848600702,0.6666666666666666,0.028389981885604015,0.0011822723084181,0.5,0.05519088544298672,-0.0077889325379505,0.5
confirm,strict_pool_F3,3,0.012348944261614167,0.0221238938053098,0.6666666666666666,0.06575154199202243,0.1238938053097347,0.6666666666666666,0.1317155337190816,0.2367256637168142,0.6666666666666666
