trade_date,stock_code,stock_name,ts_code,in_f3,in_f2_only,input_tier,priority_tag,path_source,score_platform_axis_single,score_industry_axis_single,f_platform_compress_ratio,rank_global_after_merge,selector_explain,score_total,ret_t1_close,ret_t2_close,ret_t3_close,label_A_high,label_A_mid,label_A_low,label_C,label_G
20250929,000623.SZ,吉林敖东,000623.SZ,False,False,none,0,B,0.7803223844282238,0.3226791726791727,0.4105691056910574,2,schemeB:v32_core;path=B;priority_tag=0,0.7761092352631525,-0.0098960910440375,0.0049480455220187,0.0306778822365163,0,0,0,0,1
20250930,600301.SH,华锡有色,600301.SH,False,False,none,0,B,0.6821472019464719,0.768073593073593,0.3547008547008548,2,schemeB:v32_core;path=B;priority_tag=0,0.766644927765261,0.0304477611940299,-0.0486567164179104,-0.0217910447761192,0,0,0,1,0
20251009,600392.SH,盛和资源,600392.SH,False,False,none,0,B,0.7481346309813462,0.8332010582010583,0.28735632183908044,3,schemeB:v32_core;path=B;priority_tag=0,0.7466099773026618,-0.049960348929421,0.0337034099920698,-0.0087232355273592,0,0,0,0,1
20251009,603038.SH,华立股份,603038.SH,False,False,none,0,B,0.7334651257096512,0.144035594035594,0.3071593533487295,2,schemeB:v32_core;path=B;priority_tag=0,0.7539940772029983,0.0289937464468448,0.1318931210915293,0.1335986355884026,1,0,0,0,0
20251010,600850.SH,电科数字,600850.SH,False,False,none,0,B,0.6862834549878345,0.0454785954785954,0.4121621621621623,3,schemeB:v32_core;path=B;priority_tag=0,0.6602070508572456,0.0459363957597174,-0.0208480565371024,0.0162544169611307,0,0,0,1,0
20251010,605580.SH,恒盛能源,605580.SH,False,False,none,0,B,0.6931670721816706,0.7321188071188071,0.24264120922832144,2,schemeB:v32_core;path=B;priority_tag=0,0.7301196540172276,0.0533333333333334,0.0385185185185183,0.0474074074074073,0,0,0,1,0
20251013,600114.SH,东睦股份,600114.SH,False,False,none,0,B,0.6733880778588807,0.2321428571428571,0.3594704684317721,3,schemeB:v32_core;path=B;priority_tag=0,0.7478130585384849,-0.0763688760806917,-0.0478386167146974,-0.0864553314121038,0,0,0,1,0
20251013,603969.SH,银龙股份,603969.SH,False,False,none,0,B,0.5976074614760746,0.2742183742183742,0.48034934497816595,2,schemeB:v32_core;path=B;priority_tag=0,0.7596440835677918,-0.0201096892138938,-0.026508226691042,-0.0493601462522851,0,0,0,1,0
20251014,601069.SH,西部黄金,601069.SH,False,False,none,0,B,0.6727899432278994,0.3355218855218855,0.2859986728599867,2,schemeB:v32_core;path=B;priority_tag=0,0.7645950212928023,-0.0163887291546865,-0.077343300747556,-0.043703277745831,0,0,0,1,0
20251014,605188.SH,国光连锁,605188.SH,False,False,none,0,B,0.6860097323600973,0.389093314093314,0.25227272727272715,3,schemeB:v32_core;path=B;priority_tag=0,0.6539353303991662,0.0668708524757528,0.0627871362940275,-0.0255232261357836,0,0,0,0,1
20251015,603391.SH,力聚热能,603391.SH,False,False,none,0,B,0.7226480129764801,0.6972823472823473,0.30296756383712903,2,schemeB:v32_core;path=B;priority_tag=0,0.8184580425225255,-0.0688584474885845,-0.0874885844748858,-0.0695890410958904,0,0,0,1,0
20251015,603725.SH,天安新材,603725.SH,False,False,none,0,B,0.6360705596107056,0.4422318422318422,0.4202898550724636,3,schemeB:v32_core;path=B;priority_tag=0,0.6965587641505329,-0.0063636363636363,-0.0554545454545454,-0.0627272727272726,0,0,0,1,0
