profile,metric,count,mean,std,min,p10,p25,median,p75,p90,max
loose,score_total,1529,32.34074810945711,40.99013995020436,0.0,0.0,0.0,0.0,79.26625015087771,93.00893847222699,100.0
loose,score_axis_strength,1529,33.65442202440754,43.41521895186841,0.0,0.0,0.0,0.0,76.27244745255429,100.0,100.0
loose,score_axis_industry,1529,26.602434397622318,38.83084187854967,0.0,0.0,0.0,0.0,60.0,100.0,100.0
loose,score_axis_chip,1529,36.86211151674811,46.254227075218175,0.0,0.0,0.0,0.0,94.95745709229242,100.0,100.0
loose,score_axis_strength_share_of_total,604,1.0413401154216044,0.1960899319377519,0.21183167194624133,0.8310820217939617,0.9532886579246158,1.0373596788858486,1.1492285899315855,1.2882528645734888,1.5065769032077492
loose,score_axis_industry_share_of_total,604,0.7914202229219431,0.36260021028971434,0.0,0.07297584170530626,0.6612704533303333,0.8779170673192289,1.0237550027751958,1.1412854284081306,1.6642650251712319
loose,score_axis_chip_share_of_total,604,1.1758835247347803,0.28060342001322586,0.4827586206896552,0.9570011025358324,1.0,1.1174390791398459,1.2934450677412639,1.5081929360343589,2.9704592799487184
neutral,score_total,1529,26.832909907373292,39.79324421776501,0.0,0.0,0.0,0.0,74.54744673427203,90.21770128952245,100.0
neutral,score_axis_strength,1529,28.89446512549279,42.94106062720682,0.0,0.0,0.0,0.0,75.0,100.0,100.0
neutral,score_axis_industry,1529,23.03149889741777,37.68435843930102,0.0,0.0,0.0,0.0,60.0,100.0,100.0
neutral,score_axis_chip,1529,27.68380372670484,41.45884360043473,0.0,0.0,0.0,0.0,84.58296385311218,96.15106719375454,100.0
neutral,score_axis_strength_share_of_total,486,1.0859847357947976,0.15783950055926194,0.6951338362037421,0.8732876712328768,1.0,1.068862616428291,1.168873727580447,1.3015359691245127,1.7391605779284363
neutral,score_axis_industry_share_of_total,486,0.8346502028576437,0.3173992080767914,0.0,0.391919846541563,0.7029594336132796,0.9300932723479676,1.0341633992297854,1.1351654971132263,1.591084983953157
neutral,score_axis_chip_share_of_total,486,1.0436472321401917,0.21642720419026262,0.4827586206896552,0.7828322766712852,0.9281556514195918,1.0399032953298202,1.154290474069398,1.316426659365843,2.005257705705908
strict,score_total,1529,18.818053153135565,35.37277972278025,0.0,0.0,0.0,0.0,0.0,86.03784024646019,100.0
strict,score_axis_strength,1529,20.898524961461504,39.267395234612465,0.0,0.0,0.0,0.0,0.0,100.0,100.0
strict,score_axis_industry,1529,17.332053506761973,34.49165690722046,0.0,0.0,0.0,0.0,0.0,90.6170752324599,100.0
strict,score_axis_chip,1529,16.856403473797187,32.51700793047702,0.0,0.0,0.0,0.0,0.0,77.801350169723,100.0
strict,score_axis_strength_share_of_total,342,1.1197791165586153,0.14339442052421195,0.8450704225352113,0.9501924708674057,1.0423007490619753,1.108611651921532,1.1927960046193087,1.2744772405897982,1.8170064606212701
strict,score_axis_industry_share_of_total,342,0.9049148250115265,0.27090861438298397,0.0,0.5612808946679996,0.73089978232689,0.9843992180406695,1.0778418169247463,1.1717709720372838,1.4024629275930667
strict,score_axis_chip_share_of_total,342,0.8984998001806612,0.20963269620213468,0.1039405368592009,0.5936619040428293,0.8115942028985506,0.9178341894100349,1.0403669138520417,1.1363636363636365,1.4645679432091014
