profile,trigger_group,rule_id,fail_count,after_filter_events,fail_ratio_after_filter
loose,quality,k_body_to_atr,582,604,0.9635761589403974
loose,breakout,breakout_volume_ratio20,233,604,0.38576158940397354
loose,quality,k_upper_shadow_ratio,196,604,0.32450331125827814
loose,momentum,k_pct_chg,101,604,0.1672185430463576
loose,momentum,up_down_vol_ratio20,92,604,0.152317880794702
loose,quality,industry_rank_trigger_assist,67,604,0.11092715231788079
neutral,quality,k_body_to_atr,468,486,0.9629629629629629
neutral,breakout,breakout_volume_ratio20,227,486,0.4670781893004115
neutral,quality,k_upper_shadow_ratio,190,486,0.39094650205761317
neutral,momentum,up_down_vol_ratio20,134,486,0.2757201646090535
neutral,quality,industry_rank_trigger_assist,75,486,0.15432098765432098
neutral,momentum,k_pct_chg,73,486,0.15020576131687244
strict,quality,k_body_to_atr,335,342,0.97953216374269
strict,breakout,breakout_volume_ratio20,210,342,0.6140350877192983
strict,momentum,up_down_vol_ratio20,168,342,0.49122807017543857
strict,quality,k_upper_shadow_ratio,157,342,0.4590643274853801
strict,quality,industry_rank_trigger_assist,83,342,0.24269005847953215
strict,momentum,k_pct_chg,61,342,0.1783625730994152
