profile,trade_date,ts_code,name,change_category,is_candidate_after_filters_before,score_total_before,trigger_status_before,signal_ready_before,is_candidate_after_filters_after,score_total_after,trigger_status_after,signal_ready_after,trigger_breakout_pass_before,trigger_momentum_pass_before,trigger_quality_pass_before,trigger_breakout_pass_after,trigger_momentum_pass_after,trigger_quality_pass_after,reason_change_1,reason_change_2,reason_change_3,structure_judgement
loose,20260324,600681.SH,百川能源,before_fail_after_pass,False,0.0,False,False,True,82.0,True,True,False,False,False,True,True,False,state:0/0/0->1/1/1,top_reason:filter:hard:industry_rank_pctchg_weak_gate:fail->score:f_chip_winner_rate,"delta(score=82.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
neutral,20260225,000831.SZ,中国稀土,before_fail_after_pass,False,0.0,False,False,True,79.67957308886217,True,True,False,False,False,True,True,False,state:0/0/0->1/1/1,top_reason:filter:hard:industry_rank_pctchg_weak_gate:fail->score:f_chip_winner_rate,"delta(score=79.680,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
loose,20260303,600903.SH,贵州燃气,before_fail_after_pass,False,0.0,False,False,True,79.21951219512195,True,True,False,False,False,True,True,True,state:0/0/0->1/1/1,top_reason:filter:hard:industry_rank_pctchg_weak_gate:fail->score:f_chip_winner_rate,"delta(score=79.220,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
strict,20260304,000998.SZ,隆平高科,before_fail_after_pass,False,0.0,False,False,True,76.4943367576192,True,True,False,False,False,True,True,False,state:0/0/0->1/1/1,top_reason:filter:hard:industry_rank_pctchg_weak_gate:fail->score:f_chip_winner_rate,"delta(score=76.494,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
strict,20260327,002460.SZ,赣锋锂业,before_fail_after_pass,False,0.0,False,False,True,76.0909090909091,True,True,False,False,False,True,True,False,state:0/0/0->1/1/1,top_reason:filter:hard:industry_rank_pctchg_weak_gate:fail->score:f_chip_winner_rate,"delta(score=76.091,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
neutral,20260302,600798.SH,宁波海运,before_fail_after_pass,False,0.0,False,False,True,69.85738817304295,True,True,False,False,False,True,True,False,state:0/0/0->1/1/1,top_reason:filter:hard:industry_rank_pctchg_weak_gate:fail->score:f_chip_winner_rate,"delta(score=69.857,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
strict,20260327,000155.SZ,川能动力,both_pass_explain_changed,True,88.0909090909091,True,True,True,88.0909090909091,True,True,False,True,True,True,True,True,state:1/1/1->1/1/1,top_reason:score:f_ind_rank_pctchg->score:f_ind_rank_pctchg,"delta(score=0.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
strict,20260327,600513.SH,联环药业,both_pass_explain_changed,True,94.09946010634442,True,True,True,94.09946010634442,True,True,False,True,True,True,True,True,state:1/1/1->1/1/1,top_reason:score:f_ind_rank_pctchg->score:f_ind_rank_pctchg,"delta(score=0.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
strict,20260313,603659.SH,璞泰来,both_pass_explain_changed,True,94.0909090909091,True,True,True,94.0909090909091,True,True,False,True,True,True,True,True,state:1/1/1->1/1/1,top_reason:score:f_ind_rank_pctchg->score:f_ind_rank_pctchg,"delta(score=0.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
strict,20260311,600075.SH,新疆天业,both_pass_explain_changed,True,81.54440978947946,True,True,True,81.54440978947946,True,True,False,True,True,True,True,True,state:1/1/1->1/1/1,top_reason:score:f_ind_rank_pctchg->score:f_ind_rank_pctchg,"delta(score=0.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
strict,20260309,000534.SZ,万泽股份,both_pass_explain_changed,True,85.34090909090908,True,True,True,85.34090909090908,True,True,False,True,True,True,True,True,state:1/1/1->1/1/1,top_reason:score:f_ind_rank_pctchg->score:f_ind_rank_pctchg,"delta(score=0.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
strict,20260303,002957.SZ,科瑞技术,both_pass_explain_changed,True,83.0955231950885,True,True,True,83.0955231950885,True,True,False,True,True,True,True,True,state:1/1/1->1/1/1,top_reason:score:f_ind_rank_pctchg->score:f_ind_rank_pctchg,"delta(score=0.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",more_reasonable
strict,20260325,002428.SZ,云南锗业,new_pass_but_suspicious,True,99.5529181039652,False,False,True,99.5529181039652,True,True,False,True,False,True,True,False,state:1/0/0->1/1/1,top_reason:trigger:breakout:breakout_volume_ratio20->score:f_chip_winner_rate,"delta(score=0.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",need_caution
strict,20260302,000811.SZ,冰轮环境,new_pass_but_suspicious,True,90.86560981089528,False,False,True,90.86560981089528,True,True,False,True,False,True,True,False,state:1/0/0->1/1/1,top_reason:trigger:breakout:breakout_volume_ratio20->score:f_ind_rank_pctchg,"delta(score=0.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",need_caution
strict,20260225,603601.SH,再升科技,new_pass_but_suspicious,True,84.07911648536806,False,False,True,84.07911648536806,True,True,False,True,False,False,True,True,state:1/0/0->1/1/1,top_reason:trigger:breakout:breakout_volume_ratio20->score:f_ind_rank_pctchg,"delta(score=0.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",need_caution
loose,20260324,600681.SH,百川能源,new_pass_but_suspicious,False,0.0,False,False,True,82.0,True,True,False,False,False,True,True,False,state:0/0/0->1/1/1,top_reason:filter:hard:industry_rank_pctchg_weak_gate:fail->score:f_chip_winner_rate,"delta(score=82.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",need_caution
strict,20260302,600961.SH,株冶集团,new_pass_but_suspicious,True,80.01004739087736,False,False,True,80.01004739087736,True,True,False,True,False,True,True,False,state:1/0/0->1/1/1,top_reason:trigger:breakout:breakout_volume_ratio20->score:f_chip_winner_rate,"delta(score=0.000,ind_rank=0.000,body_atr=0.000,vol20=0.000)",need_caution
neutral,20260225,000831.SZ,中国稀土,new_pass_but_suspicious,False,0.0,False,False,True,79.67957308886217,True,True,False,False,False,True,True,False,state:0/0/0->1/1/1,top_reason:filter:hard:industry_rank_pctchg_weak_gate:fail->score:f_chip_winner_rate,"delta(score=79.680,ind_rank=0.000,body_atr=0.000,vol20=0.000)",need_caution
