profile,reason,hit_count_base,failed_events_base,hit_ratio_among_failed_base,hit_count_tune1,failed_events_tune1,hit_ratio_among_failed_tune1,hit_count_delta,failed_events_delta,hit_ratio_among_failed_delta
loose,hard:trend_close_ma20_gap:fail,697,925,0.7535135135135135,697,912,0.7642543859649122,0,-13,0.010740872451398764
loose,hard:strength_rs20_xsec_q:fail,588,925,0.6356756756756756,588,912,0.6447368421052632,0,-13,0.009061166429587542
loose,hard:industry_rank_pctchg_weak_gate:fail,389,925,0.4205405405405405,338,912,0.3706140350877193,-51,-13,-0.049926505452821235
neutral,hard:trend_close_ma20_gap:fail,811,1043,0.7775647171620326,811,1031,0.7866149369544132,0,-12,0.009050219792380632
neutral,hard:strength_rs20_xsec_q:fail,686,1043,0.6577181208053692,686,1031,0.6653734238603298,0,-12,0.007655303054960649
neutral,hard:industry_rank_pctchg_weak_gate:fail,475,1043,0.4554170661553212,436,1031,0.4228903976721629,-39,-12,-0.03252666848315827
neutral,universe:price_too_high,11,1043,0.0105465004793863,11,1031,0.0106692531522793,0,-12,0.00012275267289300028
strict,hard:trend_close_ma20_gap:fail,920,1187,0.7750631844987363,920,1174,0.7836456558773425,0,-13,0.008582471378606127
strict,hard:strength_rs20_xsec_q:fail,792,1187,0.6672283066554339,792,1174,0.6746166950596252,0,-13,0.007388388404191315
strict,hard:industry_rank_pctchg_weak_gate:fail,610,1187,0.5139005897219882,527,1174,0.4488926746166951,-83,-13,-0.06500791510529308
strict,universe:amount_ma20_too_low,217,1187,0.1828138163437236,217,1174,0.1848381601362862,0,-13,0.0020243437925626107
strict,universe:price_too_low,112,1187,0.0943555181128896,112,1174,0.0954003407155025,0,-13,0.0010448226026129048
strict,universe:price_too_high,35,1187,0.029486099410278,35,1174,0.0298126064735945,0,-13,0.00032650706331649806
strict,universe:list_days_too_short,4,1187,0.0033698399326032,4,1174,0.0034071550255536,0,-13,3.7315092950399985e-05
