trade_date,universe_n_base,after_filter_n_base,score_gate_n_base,breakout_pass_n_base,momentum_pass_n_base,quality_pass_n_base,trigger_pass_n_base,signal_ready_n_base,score_total_median_base,score_total_p75_base,score_total_p90_base,profile,after_filter_n_rate_base,score_gate_n_rate_base,breakout_pass_n_rate_base,momentum_pass_n_rate_base,quality_pass_n_rate_base,trigger_pass_n_rate_base,signal_ready_n_rate_base,universe_n_tune1,after_filter_n_tune1,score_gate_n_tune1,breakout_pass_n_tune1,momentum_pass_n_tune1,quality_pass_n_tune1,trigger_pass_n_tune1,signal_ready_n_tune1,score_total_median_tune1,score_total_p75_tune1,score_total_p90_tune1,after_filter_n_rate_tune1,score_gate_n_rate_tune1,breakout_pass_n_rate_tune1,momentum_pass_n_rate_tune1,quality_pass_n_rate_tune1,trigger_pass_n_rate_tune1,signal_ready_n_rate_tune1,universe_n_delta,after_filter_n_delta,score_gate_n_delta,breakout_pass_n_delta,momentum_pass_n_delta,quality_pass_n_delta,trigger_pass_n_delta,signal_ready_n_delta,after_filter_n_rate_delta,score_gate_n_rate_delta,breakout_pass_n_rate_delta,momentum_pass_n_rate_delta,quality_pass_n_rate_delta,trigger_pass_n_rate_delta,signal_ready_n_rate_delta
20260206,36,18,18,11,18,11,14,14,34.08928571428571,81.14936988580149,87.63587888214218,loose,0.5,0.5,0.3055555555555556,0.5,0.3055555555555556,0.3888888888888889,0.3888888888888889,36,19,19,11,19,11,14,14,68.01984126984127,81.14936988580149,87.63587888214218,0.5277777777777778,0.5277777777777778,0.3055555555555556,0.5277777777777778,0.3055555555555556,0.3888888888888889,0.3888888888888889,0,1,1,0,1,0,0,0,0.02777777777777779,0.02777777777777779,0.0,0.02777777777777779,0.0,0.0,0.0
20260209,81,34,32,11,32,20,23,22,0.0,70.75,88.0,loose,0.419753086419753,0.3950617283950617,0.1358024691358024,0.3950617283950617,0.2469135802469135,0.2839506172839506,0.2716049382716049,81,35,33,11,33,20,23,22,0.0,70.75,88.0,0.4320987654320987,0.4074074074074074,0.1358024691358024,0.4074074074074074,0.2469135802469135,0.2839506172839506,0.2716049382716049,0,1,1,0,1,0,0,0,0.012345679012345678,0.012345679012345678,0.0,0.012345679012345678,0.0,0.0,0.0
20260210,57,20,20,7,19,12,14,14,0.0,83.81755607902426,90.86497008739182,loose,0.3508771929824561,0.3508771929824561,0.1228070175438596,0.3333333333333333,0.2105263157894736,0.2456140350877192,0.2456140350877192,57,20,20,7,19,12,14,14,0.0,83.81755607902426,90.86497008739182,0.3508771929824561,0.3508771929824561,0.1228070175438596,0.3333333333333333,0.2105263157894736,0.2456140350877192,0.2456140350877192,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260211,61,23,21,7,21,11,12,12,0.0,68.44768729841255,88.25385466296973,loose,0.3770491803278688,0.3442622950819672,0.1147540983606557,0.3442622950819672,0.180327868852459,0.1967213114754098,0.1967213114754098,61,24,22,7,22,11,12,12,0.0,68.44768729841255,88.25385466296973,0.3934426229508196,0.360655737704918,0.1147540983606557,0.360655737704918,0.180327868852459,0.1967213114754098,0.1967213114754098,0,1,1,0,1,0,0,0,0.016393442622950782,0.016393442622950782,0.0,0.016393442622950782,0.0,0.0,0.0
20260212,53,21,21,10,19,11,13,13,0.0,69.1142450496979,87.80441391991876,loose,0.3962264150943396,0.3962264150943396,0.1886792452830188,0.3584905660377358,0.2075471698113207,0.2452830188679245,0.2452830188679245,53,23,23,10,21,11,13,13,0.0,69.42366517815687,87.80441391991876,0.4339622641509434,0.4339622641509434,0.1886792452830188,0.3962264150943396,0.2075471698113207,0.2452830188679245,0.2452830188679245,0,2,2,0,2,0,0,0,0.03773584905660382,0.03773584905660382,0.0,0.037735849056603765,0.0,0.0,0.0
20260213,24,14,14,8,13,7,9,9,79.51282063441465,90.67434016131487,97.522354790497,loose,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.5416666666666666,0.2916666666666667,0.375,0.375,24,14,14,8,13,7,9,9,79.51282063441465,90.67434016131487,97.522354790497,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.5416666666666666,0.2916666666666667,0.375,0.375,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260224,97,28,28,11,28,20,23,23,0.0,75.23866339020933,89.51138991934849,loose,0.2886597938144329,0.2886597938144329,0.1134020618556701,0.2886597938144329,0.2061855670103092,0.2371134020618556,0.2371134020618556,97,31,31,12,31,20,24,24,0.0,75.23866339020933,89.51138991934849,0.3195876288659793,0.3195876288659793,0.1237113402061855,0.3195876288659793,0.2061855670103092,0.2474226804123711,0.2474226804123711,0,3,3,1,3,0,1,1,0.030927835051546393,0.030927835051546393,0.0103092783505154,0.030927835051546393,0.0,0.010309278350515483,0.010309278350515483
20260225,112,34,34,20,33,19,30,30,0.0,70.75,88.62167426249653,loose,0.3035714285714285,0.3035714285714285,0.1785714285714285,0.2946428571428571,0.1696428571428571,0.2678571428571428,0.2678571428571428,112,34,34,20,33,19,30,30,0.0,70.75,88.62167426249653,0.3035714285714285,0.3035714285714285,0.1785714285714285,0.2946428571428571,0.1696428571428571,0.2678571428571428,0.2678571428571428,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260226,114,38,37,17,36,24,28,28,0.0,66.89241476935534,85.97435962096851,loose,0.3333333333333333,0.3245614035087719,0.1491228070175438,0.3157894736842105,0.2105263157894736,0.2456140350877192,0.2456140350877192,114,38,37,17,36,24,28,28,0.0,66.89241476935534,85.97435962096851,0.3333333333333333,0.3245614035087719,0.1491228070175438,0.3157894736842105,0.2105263157894736,0.2456140350877192,0.2456140350877192,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260227,109,35,32,18,34,26,29,28,0.0,66.06551403347412,87.39364281045845,loose,0.3211009174311927,0.2935779816513761,0.1651376146788991,0.3119266055045872,0.2385321100917431,0.2660550458715596,0.2568807339449541,109,35,32,18,34,26,29,28,0.0,66.06551403347412,87.39364281045845,0.3211009174311927,0.2935779816513761,0.1651376146788991,0.3119266055045872,0.2385321100917431,0.2660550458715596,0.2568807339449541,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260302,91,33,33,23,32,21,28,28,0.0,70.0,88.75,loose,0.3626373626373626,0.3626373626373626,0.2527472527472527,0.3516483516483517,0.2307692307692307,0.3076923076923077,0.3076923076923077,91,33,33,23,32,21,28,28,0.0,70.0,88.75,0.3626373626373626,0.3626373626373626,0.2527472527472527,0.3516483516483517,0.2307692307692307,0.3076923076923077,0.3076923076923077,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260303,41,16,16,16,16,8,15,15,0.0,71.76463667859215,87.45872848460755,loose,0.3902439024390244,0.3902439024390244,0.3902439024390244,0.3902439024390244,0.1951219512195122,0.3658536585365853,0.3658536585365853,41,17,17,17,17,9,16,16,0.0,73.37816712874155,87.45872848460755,0.4146341463414634,0.4146341463414634,0.4146341463414634,0.4146341463414634,0.2195121951219512,0.3902439024390244,0.3902439024390244,0,1,1,1,1,1,1,1,0.02439024390243899,0.02439024390243899,0.02439024390243899,0.02439024390243899,0.02439024390243899,0.0243902439024391,0.0243902439024391
20260304,28,15,15,12,15,9,14,14,70.23743971634019,86.95933502655517,95.08847217841095,loose,0.5357142857142857,0.5357142857142857,0.4285714285714285,0.5357142857142857,0.3214285714285714,0.5,0.5,28,15,15,12,15,9,14,14,70.23743971634019,86.95933502655517,95.08847217841095,0.5357142857142857,0.5357142857142857,0.4285714285714285,0.5357142857142857,0.3214285714285714,0.5,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260305,33,16,16,10,16,9,13,13,0.0,85.43371648382009,97.01866626701592,loose,0.4848484848484848,0.4848484848484848,0.303030303030303,0.4848484848484848,0.2727272727272727,0.3939393939393939,0.3939393939393939,33,17,17,11,17,9,14,14,48.399028915572046,85.43371648382009,97.01866626701592,0.5151515151515151,0.5151515151515151,0.3333333333333333,0.5151515151515151,0.2727272727272727,0.4242424242424242,0.4242424242424242,0,1,1,1,1,0,1,1,0.03030303030303033,0.03030303030303033,0.03030303030303033,0.03030303030303033,0.0,0.030303030303030276,0.030303030303030276
20260306,74,18,17,13,18,14,17,16,0.0,0.0,87.06501254097984,loose,0.2432432432432432,0.2297297297297297,0.1756756756756756,0.2432432432432432,0.1891891891891892,0.2297297297297297,0.2162162162162162,74,19,18,13,19,14,17,16,0.0,26.82657149099824,87.06501254097984,0.2567567567567567,0.2432432432432432,0.1756756756756756,0.2567567567567567,0.1891891891891892,0.2297297297297297,0.2162162162162162,0,1,1,0,1,0,0,0,0.013513513513513487,0.013513513513513514,0.0,0.013513513513513487,0.0,0.0,0.0
20260309,37,16,16,14,16,9,15,15,0.0,86.83905854876332,94.73938085693769,loose,0.4324324324324324,0.4324324324324324,0.3783783783783784,0.4324324324324324,0.2432432432432432,0.4054054054054054,0.4054054054054054,37,17,17,14,17,9,15,15,0.0,86.83905854876332,94.73938085693769,0.4594594594594595,0.4594594594594595,0.3783783783783784,0.4594594594594595,0.2432432432432432,0.4054054054054054,0.4054054054054054,0,1,1,0,1,0,0,0,0.027027027027027084,0.027027027027027084,0.0,0.027027027027027084,0.0,0.0,0.0
20260310,58,18,18,12,17,10,14,14,0.0,66.653273654281,93.93070786042648,loose,0.3103448275862069,0.3103448275862069,0.2068965517241379,0.293103448275862,0.1724137931034483,0.2413793103448276,0.2413793103448276,58,18,18,12,17,10,14,14,0.0,66.653273654281,93.93070786042648,0.3103448275862069,0.3103448275862069,0.2068965517241379,0.293103448275862,0.1724137931034483,0.2413793103448276,0.2413793103448276,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
