profile,trigger_group,rule_id,fail_count_base,after_filter_events_base,fail_ratio_after_filter_base,fail_count_tune1,after_filter_events_tune1,fail_ratio_after_filter_tune1,fail_count_delta,after_filter_events_delta,fail_ratio_after_filter_delta
loose,quality,k_body_to_atr,582,604,0.9635761589403974,592,617,0.959481361426256,10,13,-0.004094797514141435
loose,breakout,breakout_volume_ratio20,233,604,0.3857615894039735,242,617,0.3922204213938411,9,13,0.0064588319898676305
loose,quality,k_upper_shadow_ratio,196,604,0.3245033112582781,202,617,0.3273905996758509,6,13,0.0028872884175727975
loose,momentum,k_pct_chg,101,604,0.1672185430463576,108,617,0.1750405186385737,7,13,0.00782197559221609
loose,momentum,up_down_vol_ratio20,92,604,0.152317880794702,93,617,0.1507293354943274,1,13,-0.001588545300374583
loose,quality,industry_rank_trigger_assist,67,604,0.1109271523178807,80,617,0.1296596434359805,13,13,0.018732491118099798
neutral,quality,k_body_to_atr,468,486,0.9629629629629628,477,498,0.9578313253012049,9,12,-0.0051316376617579484
neutral,breakout,breakout_volume_ratio20,227,486,0.4670781893004115,233,498,0.4678714859437751,6,12,0.0007932966433635835
neutral,quality,k_upper_shadow_ratio,190,486,0.3909465020576131,194,498,0.3895582329317269,4,12,-0.001388269125886188
neutral,momentum,up_down_vol_ratio20,134,486,0.2757201646090535,136,498,0.2730923694779116,2,12,-0.002627795131141919
neutral,quality,industry_rank_trigger_assist,75,486,0.1543209876543209,87,498,0.1746987951807229,12,12,0.020377807526402003
neutral,momentum,k_pct_chg,73,486,0.1502057613168724,79,498,0.1586345381526104,6,12,0.008428776835737978
strict,quality,k_body_to_atr,335,342,0.97953216374269,344,355,0.9690140845070424,9,13,-0.010518079235647626
strict,breakout,breakout_volume_ratio20,210,342,0.6140350877192983,199,355,0.5605633802816902,-11,13,-0.053471707437608096
strict,momentum,up_down_vol_ratio20,168,342,0.4912280701754385,177,355,0.4985915492957746,9,13,0.0073634791203360805
strict,quality,k_upper_shadow_ratio,157,342,0.4590643274853801,166,355,0.4676056338028169,9,13,0.00854130631743677
strict,quality,industry_rank_trigger_assist,83,342,0.2426900584795321,96,355,0.2704225352112676,13,13,0.027732476731735484
strict,momentum,k_pct_chg,61,342,0.1783625730994152,69,355,0.1943661971830985,8,13,0.016003624083683304
