profile,reason,hit_count,failed_events,hit_ratio_among_failed
loose,hard:trend_close_ma20_gap:fail,697,912,0.7642543859649122
loose,hard:strength_rs20_xsec_q:fail,588,912,0.6447368421052632
loose,hard:industry_rank_pctchg_weak_gate:fail,338,912,0.3706140350877193
neutral,hard:trend_close_ma20_gap:fail,811,1031,0.7866149369544132
neutral,hard:strength_rs20_xsec_q:fail,686,1031,0.6653734238603298
neutral,hard:industry_rank_pctchg_weak_gate:fail,436,1031,0.42289039767216297
neutral,universe:price_too_high,11,1031,0.01066925315227934
strict,hard:trend_close_ma20_gap:fail,920,1174,0.7836456558773425
strict,hard:strength_rs20_xsec_q:fail,792,1174,0.6746166950596252
strict,hard:industry_rank_pctchg_weak_gate:fail,527,1174,0.4488926746166951
strict,universe:amount_ma20_too_low,217,1174,0.1848381601362862
strict,universe:price_too_low,112,1174,0.09540034071550256
strict,universe:price_too_high,35,1174,0.029812606473594547
strict,universe:list_days_too_short,4,1174,0.0034071550255536627
