trade_date,universe_n,after_filter_n,score_gate_n,breakout_pass_n,momentum_pass_n,quality_pass_n,trigger_pass_n,signal_ready_n,score_total_median,score_total_p75,score_total_p90,profile,after_filter_n_rate,score_gate_n_rate,breakout_pass_n_rate,momentum_pass_n_rate,quality_pass_n_rate,trigger_pass_n_rate,signal_ready_n_rate
20260206,36,19,19,11,19,11,14,14,68.01984126984127,81.14936988580149,87.63587888214218,loose,0.5277777777777778,0.5277777777777778,0.3055555555555556,0.5277777777777778,0.3055555555555556,0.3888888888888889,0.3888888888888889
20260209,81,35,33,11,33,20,23,22,0.0,70.75,88.0,loose,0.43209876543209874,0.4074074074074074,0.13580246913580246,0.4074074074074074,0.24691358024691357,0.2839506172839506,0.2716049382716049
20260210,57,20,20,7,19,12,14,14,0.0,83.81755607902426,90.86497008739182,loose,0.3508771929824561,0.3508771929824561,0.12280701754385964,0.3333333333333333,0.21052631578947367,0.24561403508771928,0.24561403508771928
20260211,61,24,22,7,22,11,12,12,0.0,68.44768729841255,88.25385466296973,loose,0.39344262295081966,0.36065573770491804,0.11475409836065574,0.36065573770491804,0.18032786885245902,0.19672131147540983,0.19672131147540983
20260212,53,23,23,10,21,11,13,13,0.0,69.42366517815687,87.80441391991876,loose,0.4339622641509434,0.4339622641509434,0.18867924528301888,0.39622641509433965,0.20754716981132076,0.24528301886792453,0.24528301886792453
20260213,24,14,14,8,13,7,9,9,79.51282063441465,90.67434016131487,97.522354790497,loose,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.5416666666666666,0.2916666666666667,0.375,0.375
20260224,97,31,31,12,31,20,24,24,0.0,75.23866339020933,89.51138991934849,loose,0.31958762886597936,0.31958762886597936,0.12371134020618557,0.31958762886597936,0.20618556701030927,0.24742268041237114,0.24742268041237114
20260225,112,34,34,20,33,19,30,30,0.0,70.75,88.62167426249653,loose,0.30357142857142855,0.30357142857142855,0.17857142857142858,0.29464285714285715,0.16964285714285715,0.26785714285714285,0.26785714285714285
20260226,114,38,37,17,36,24,28,28,0.0,66.89241476935534,85.97435962096851,loose,0.3333333333333333,0.32456140350877194,0.14912280701754385,0.3157894736842105,0.21052631578947367,0.24561403508771928,0.24561403508771928
20260227,109,35,32,18,34,26,29,28,0.0,66.06551403347412,87.39364281045845,loose,0.3211009174311927,0.29357798165137616,0.1651376146788991,0.3119266055045872,0.23853211009174313,0.26605504587155965,0.25688073394495414
20260302,91,33,33,23,32,21,28,28,0.0,70.0,88.75,loose,0.3626373626373626,0.3626373626373626,0.25274725274725274,0.3516483516483517,0.23076923076923078,0.3076923076923077,0.3076923076923077
20260303,41,17,17,17,17,9,16,16,0.0,73.37816712874155,87.45872848460755,loose,0.4146341463414634,0.4146341463414634,0.4146341463414634,0.4146341463414634,0.21951219512195122,0.3902439024390244,0.3902439024390244
20260304,28,15,15,12,15,9,14,14,70.23743971634019,86.95933502655517,95.08847217841097,loose,0.5357142857142857,0.5357142857142857,0.42857142857142855,0.5357142857142857,0.32142857142857145,0.5,0.5
20260305,33,17,17,11,17,9,14,14,48.399028915572046,85.43371648382009,97.01866626701593,loose,0.5151515151515151,0.5151515151515151,0.3333333333333333,0.5151515151515151,0.2727272727272727,0.42424242424242425,0.42424242424242425
20260306,74,19,18,13,19,14,17,16,0.0,26.826571490998237,87.06501254097984,loose,0.25675675675675674,0.24324324324324326,0.17567567567567569,0.25675675675675674,0.1891891891891892,0.22972972972972974,0.21621621621621623
20260309,37,17,17,14,17,9,15,15,0.0,86.83905854876332,94.73938085693769,loose,0.4594594594594595,0.4594594594594595,0.3783783783783784,0.4594594594594595,0.24324324324324326,0.40540540540540543,0.40540540540540543
20260310,58,18,18,12,17,10,14,14,0.0,66.653273654281,93.93070786042647,loose,0.3103448275862069,0.3103448275862069,0.20689655172413793,0.29310344827586204,0.1724137931034483,0.2413793103448276,0.2413793103448276
20260311,68,26,26,19,26,20,24,24,0.0,89.55818485841388,94.90036665457194,loose,0.38235294117647056,0.38235294117647056,0.27941176470588236,0.38235294117647056,0.29411764705882354,0.35294117647058826,0.35294117647058826
20260312,64,31,31,17,31,21,27,27,0.0,83.43498806910489,96.37386831275391,loose,0.484375,0.484375,0.265625,0.484375,0.328125,0.421875,0.421875
20260313,42,13,13,12,13,8,12,12,0.0,62.66617737685214,93.41354691019156,loose,0.30952380952380953,0.30952380952380953,0.2857142857142857,0.30952380952380953,0.19047619047619047,0.2857142857142857,0.2857142857142857
20260316,53,23,23,14,22,15,18,18,0.0,83.35115401508762,95.57087606108985,loose,0.4339622641509434,0.4339622641509434,0.2641509433962264,0.41509433962264153,0.2830188679245283,0.33962264150943394,0.33962264150943394
20260317,26,14,14,13,14,9,14,14,65.29987884554045,79.71216318380186,98.45722389228175,loose,0.5384615384615384,0.5384615384615384,0.5,0.5384615384615384,0.34615384615384615,0.5384615384615384,0.5384615384615384
20260318,23,8,8,4,7,4,6,6,0.0,88.160560850696,95.54563997390534,loose,0.34782608695652173,0.34782608695652173,0.17391304347826086,0.30434782608695654,0.17391304347826086,0.2608695652173913,0.2608695652173913
20260319,19,15,15,13,15,6,15,15,88.0,92.25062363489681,98.87035338971427,loose,0.7894736842105263,0.7894736842105263,0.6842105263157895,0.7894736842105263,0.3157894736842105,0.7894736842105263,0.7894736842105263
20260320,17,8,8,7,8,6,8,8,0.0,93.3843398619151,96.02386734635076,loose,0.47058823529411764,0.47058823529411764,0.4117647058823529,0.47058823529411764,0.35294117647058826,0.47058823529411764,0.47058823529411764
20260323,6,6,6,6,6,4,5,5,87.67194677500115,96.29603241156403,99.40568827437602,loose,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334
20260324,15,8,8,5,8,5,8,8,50.10346109614339,83.48346888598479,94.07135469557998,loose,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.5333333333333333,0.5333333333333333
20260325,39,19,19,14,19,13,19,19,0.0,86.64378344860972,95.34636091862072,loose,0.48717948717948717,0.48717948717948717,0.358974358974359,0.48717948717948717,0.3333333333333333,0.48717948717948717,0.48717948717948717
20260326,21,13,13,9,12,7,10,10,70.0,78.12488194261599,88.75,loose,0.6190476190476191,0.6190476190476191,0.42857142857142855,0.5714285714285714,0.3333333333333333,0.47619047619047616,0.47619047619047616
20260327,30,24,24,19,24,16,22,22,79.18493150684931,88.5625,98.64946629956889,loose,0.8,0.8,0.6333333333333333,0.8,0.5333333333333333,0.7333333333333333,0.7333333333333333
ALL,1529,617,608,375,600,376,502,499,0.0,82.25026195044455,94.00103127800323,loose,0.40353172007848265,0.3976455199476782,0.24525833878351863,0.3924133420536298,0.2459123610202747,0.32831916285153695,0.3263570961412688
20260206,36,16,16,8,16,9,11,11,0.0,78.31174080886524,86.96416868832671,neutral,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.25,0.3055555555555556,0.3055555555555556
20260209,81,27,26,6,22,11,12,12,0.0,68.17892650515078,86.34650382704675,neutral,0.3333333333333333,0.32098765432098764,0.07407407407407407,0.2716049382716049,0.13580246913580246,0.14814814814814814,0.14814814814814814
20260210,57,18,18,4,17,9,10,10,0.0,83.81755607902426,90.14015006879599,neutral,0.3157894736842105,0.3157894736842105,0.07017543859649122,0.2982456140350877,0.15789473684210525,0.17543859649122806,0.17543859649122806
20260211,61,19,19,6,17,8,8,8,0.0,66.58531752959519,86.83652590703657,neutral,0.3114754098360656,0.3114754098360656,0.09836065573770492,0.2786885245901639,0.13114754098360656,0.13114754098360656,0.13114754098360656
20260212,53,15,15,5,14,8,10,10,0.0,67.44238672560336,86.81569976452504,neutral,0.2830188679245283,0.2830188679245283,0.09433962264150944,0.2641509433962264,0.1509433962264151,0.18867924528301888,0.18867924528301888
