profile,trigger_group,rule_id,fail_count,after_filter_events,fail_ratio_after_filter
loose,quality,k_body_to_atr,592,617,0.9594813614262561
loose,breakout,breakout_volume_ratio20,242,617,0.39222042139384117
loose,quality,k_upper_shadow_ratio,202,617,0.3273905996758509
loose,momentum,k_pct_chg,108,617,0.17504051863857376
loose,momentum,up_down_vol_ratio20,93,617,0.1507293354943274
loose,quality,industry_rank_trigger_assist,80,617,0.12965964343598055
neutral,quality,k_body_to_atr,477,498,0.9578313253012049
neutral,breakout,breakout_volume_ratio20,233,498,0.4678714859437751
neutral,quality,k_upper_shadow_ratio,194,498,0.3895582329317269
neutral,momentum,up_down_vol_ratio20,136,498,0.27309236947791166
neutral,quality,industry_rank_trigger_assist,87,498,0.1746987951807229
neutral,momentum,k_pct_chg,79,498,0.15863453815261044
strict,quality,k_body_to_atr,344,355,0.9690140845070423
strict,breakout,breakout_volume_ratio20,199,355,0.5605633802816902
strict,momentum,up_down_vol_ratio20,177,355,0.49859154929577465
strict,quality,k_upper_shadow_ratio,166,355,0.4676056338028169
strict,quality,industry_rank_trigger_assist,96,355,0.2704225352112676
strict,momentum,k_pct_chg,69,355,0.19436619718309858
