feature,valid_count,median_A,median_C,q25_A,q75_A,auc_A_vs_C,separability,direction,suggested_role,suggested_min,suggested_max
candidate_condition_count,253,6.0,5.0,5.0,6.0,0.6981994459833794,0.6981994459833794,higher_better,score,5.0,
vol_ratio20,253,2.4884363573108534,1.772846663227281,1.7530098628430517,3.0463374100452634,0.6494459833795013,0.6494459833795013,higher_better,score,1.7530098628430517,
winner_rate,253,0.9903841826412055,0.942606133354692,0.9554398853274739,0.9973650986916398,0.6484072022160665,0.6484072022160665,higher_better,score,0.9554398853274739,
rs60_xsec_q,253,0.8797986154814349,0.8108661417322836,0.8349114084980112,0.9495583511087371,0.6452908587257619,0.6452908587257619,higher_better,score,0.8349114084980112,
ret60,253,0.26238195770919204,0.16054225975765157,0.1779295919026993,0.44828308101334396,0.6369806094182826,0.6369806094182826,higher_better,score,0.1779295919026993,
close_pos,253,0.8729838709677418,0.8111130078525094,0.8287456445993041,1.0,0.629224376731302,0.629224376731302,higher_better,score,0.8287456445993041,
vol_ratio60,253,2.7483204013257385,2.2417371055902526,1.8796961531813898,4.154016713005072,0.6231301939058171,0.6231301939058171,higher_better,score,1.8796961531813898,
body_to_atr,253,1.1652137816521373,0.9518101598088419,0.7963453016232835,1.5930876723413516,0.6130193905817175,0.6130193905817175,higher_better,score,0.7963453016232835,
rs20_xsec_q,253,0.948047838340386,0.9200503619767075,0.9157488986784141,0.9713566257475607,0.6120498614958448,0.6120498614958448,higher_better,score,0.9157488986784141,
pct_chg,253,6.619999999999999,4.795,4.8149999999999995,9.98,0.6107340720221607,0.6107340720221607,higher_better,score,4.8149999999999995,
stock_rank_pctchg_in_industry,253,0.9629120879120879,0.9477101845522897,0.9289929189614476,1.0,0.6036703601108033,0.6036703601108033,higher_better,score,0.9289929189614476,
upper_shadow_ratio,253,0.1270161290322583,0.17624926513815364,0.0,0.17125435540069586,0.3975069252077562,0.6024930747922438,lower_better,score,,0.17125435540069586
industry_ret5,253,-0.7245218598195695,-0.4606735019366601,-1.136129069767442,0.16511666666666658,0.3982686980609418,0.6017313019390582,lower_better,score,,0.16511666666666658
ret20,253,0.1328199404761905,0.09277442473045983,0.07937874798166628,0.22588603938244217,0.6013850415512465,0.6013850415512465,higher_better,score,0.07937874798166628,
