symbol,ts_code,name,rec_date,buy_date,buy_price,sell_date,sell_price,gross_return,net_return,score,strategy,month,score_bin
000701.SZ,000701.SZ,厦门信达,20251117,20251201,7.17,20251208,8.65,20.6416,20.4816,84.3,商贸代理,2025-11,低分
000753.SZ,000753.SZ,漳州发展,20251117,20251201,8.7,20251208,9.1,4.5977,4.4377,81.1,综合类,2025-11,低分
000863.SZ,000863.SZ,三湘印象,20251117,20251201,5.01,20251208,4.57,-8.7824,-8.9424,80.9,区域地产,2025-11,低分
002430.SZ,002430.SZ,杭氧股份,20251117,20251201,26.81,20251208,29.27,9.1757,9.0157,81.8,化工机械,2025-11,低分
002931.SZ,002931.SZ,锋龙股份,20251117,20251201,21.49,20251208,19.54,-9.074,-9.234,82.6,机械基件,2025-11,低分
600338.SH,600338.SH,西藏珠峰,20251117,20251118,16.74,20251125,14.46,-13.6201,-13.7801,80.9,铅锌,2025-11,低分
600734.SH,600734.SH,实达集团,20251117,20251118,3.99,20251125,5.59,40.1003,39.9403,81.3,软件服务,2025-11,低分
603755.SH,603755.SH,日辰股份,20251117,20251118,38.8,20251125,37.28,-3.9175,-4.0775,81.3,食品,2025-11,低分
603758.SH,603758.SH,秦安股份,20251117,20251118,16.5,20251125,15.83,-4.0606,-4.2206,81.8,汽车配件,2025-11,低分
603817.SH,603817.SH,海峡环保,20251117,20251118,8.71,20251125,7.38,-15.2698,-15.4298,81.5,环境保护,2025-11,低分
000778.SZ,000778.SZ,新兴铸管,20260205,20260206,5.13,20260213,4.85,-5.4581,-5.6181,94.8,钢加工,2026-02,高分
001278.SZ,001278.SZ,一彬科技,20260205,20260206,24.86,20260213,25.25,1.5688,1.4088,97.5,汽车配件,2026-02,高分
002043.SZ,002043.SZ,兔宝宝,20260205,20260206,17.52,20260213,16.31,-6.9064,-7.0664,94.7,其他建材,2026-02,高分
002193.SZ,002193.SZ,如意集团,20260205,20260206,7.01,20260213,6.88,-1.8545,-2.0145,97.0,纺织,2026-02,高分
002259.SZ,002259.SZ,升达林业,20260205,20260206,5.9,20260213,5.58,-5.4237,-5.5837,95.0,供气供热,2026-02,高分
002372.SZ,002372.SZ,伟星新材,20260205,20260206,12.41,20260213,12.06,-2.8203,-2.9803,94.7,其他建材,2026-02,高分
002506.SZ,002506.SZ,协鑫集成,20260205,20260206,4.01,20260213,4.31,7.4813,7.3213,95.0,电气设备,2026-02,高分
002931.SZ,002931.SZ,锋龙股份,20260205,20260206,113.0,20260213,89.85,-20.4867,-20.6467,95.3,机械基件,2026-02,高分
002948.SZ,002948.SZ,青岛银行,20260205,20260206,5.47,20260213,5.43,-0.7313,-0.8913,97.6,银行,2026-02,高分
002985.SZ,002985.SZ,北摩高科,20260205,20260206,45.98,20260213,44.22,-3.8278,-3.9878,97.5,航空,2026-02,高分
600054.SH,600054.SH,黄山旅游,20260205,20260206,14.19,20260213,12.98,-8.5271,-8.6871,96.3,旅游景点,2026-02,高分
600683.SH,600683.SH,京投发展,20260205,20260206,6.6,20260213,6.71,1.6667,1.5067,98.0,区域地产,2026-02,高分
600763.SH,600763.SH,通策医疗,20260205,20260206,51.06,20260213,46.95,-8.0494,-8.2094,94.6,医疗保健,2026-02,高分
601015.SH,601015.SH,陕西黑猫,20260205,20260206,5.18,20260213,4.45,-14.0927,-14.2527,95.0,焦炭加工,2026-02,高分
603059.SH,603059.SH,倍加洁,20260205,20260206,39.0,20260213,39.47,1.2051,1.0451,96.7,日用化工,2026-02,高分
603271.SH,603271.SH,永杰新材,20260205,20260206,51.98,20260213,46.81,-9.9461,-10.1061,94.8,铝,2026-02,高分
603616.SH,603616.SH,韩建河山,20260205,20260206,8.29,20260213,6.76,-18.456,-18.616,98.0,水泥,2026-02,高分
603618.SH,603618.SH,杭电股份,20260205,20260206,12.46,20260213,14.51,16.4526,16.2926,96.8,电气设备,2026-02,高分
605016.SH,605016.SH,百龙创园,20260205,20260206,26.53,20260213,24.7,-6.8979,-7.0579,94.9,食品,2026-02,高分
605599.SH,605599.SH,菜百股份,20260205,20260206,26.1,20260213,25.32,-2.9885,-3.1485,98.0,服饰,2026-02,高分
000415.SZ,000415.SZ,渤海租赁,20260206,20260209,5.25,20260224,5.31,1.1429,0.9829,95.0,多元金融,2026-02,高分
000428.SZ,000428.SZ,华天酒店,20260206,20260209,3.96,20260224,3.81,-3.7879,-3.9479,94.8,酒店餐饮,2026-02,高分
002193.SZ,002193.SZ,如意集团,20260206,20260209,7.12,20260224,6.73,-5.4775,-5.6375,96.6,纺织,2026-02,高分
002218.SZ,002218.SZ,拓日新能,20260206,20260209,7.4,20260224,6.79,-8.2432,-8.4032,96.7,新型电力,2026-02,高分
002259.SZ,002259.SZ,升达林业,20260206,20260209,5.98,20260224,5.66,-5.3512,-5.5112,95.0,供气供热,2026-02,高分
