ts_code,rec8,score,buy_td,buy_p,sell_td,sell_p,net_pct,month,bin
603949.SH,20260319,97.8,20260320,23.39,20260327,17.62,-24.8287,2026-03,高
603817.SH,20260319,97.6,20260320,9.07,20260327,7.89,-13.1699,2026-03,高
000890.SZ,20260319,97.1,20260320,13.5,20260327,13.48,-0.3081,2026-03,高
000020.SZ,20260319,95.0,20260320,23.33,20260327,16.79,-28.1926,2026-03,高
600396.SH,20260319,95.0,20260320,6.1,20260327,8.99,47.217,2026-03,高
000020.SZ,20260320,97.5,20260323,25.66,20260327,16.79,-34.7274,2026-03,高
600396.SH,20260320,97.5,20260323,6.65,20260327,8.99,35.028,2026-03,高
002730.SZ,20260320,97.5,20260323,22.0,20260327,24.42,10.84,2026-03,高
000601.SZ,20260320,95.0,20260323,8.12,20260327,7.8,-4.1009,2026-03,高
600726.SH,20260320,95.0,20260323,5.31,20260327,6.68,25.6404,2026-03,高
603105.SH,20260323,98.0,20260324,12.62,20260327,12.48,-1.2694,2026-03,高
600396.SH,20260323,97.5,20260324,6.9,20260327,8.99,30.1299,2026-03,高
603687.SH,20260323,97.5,20260324,15.0,20260327,15.63,4.04,2026-03,高
600310.SH,20260323,96.7,20260324,4.92,20260327,6.6,33.9863,2026-03,高
600032.SH,20260323,95.5,20260324,10.84,20260327,11.71,7.8658,2026-03,高
600982.SH,20260324,98.0,20260325,6.3,20260327,7.35,16.5067,2026-03,高
600396.SH,20260324,97.5,20260325,8.01,20260327,8.99,12.0747,2026-03,高
000862.SZ,20260324,97.2,20260325,8.78,20260327,7.93,-9.8411,2026-03,高
600310.SH,20260324,97.2,20260325,5.02,20260327,6.6,31.3141,2026-03,高
603105.SH,20260324,96.9,20260325,12.85,20260327,12.48,-3.0394,2026-03,高
600798.SH,20260303,98.0,20260304,4.63,20260311,3.95,-14.8468,2026-03,高
002980.SZ,20260303,98.0,20260304,34.98,20260311,37.75,7.7588,2026-03,高
600026.SH,20260303,97.5,20260304,24.99,20260311,22.76,-9.0836,2026-03,高
601872.SH,20260303,97.5,20260304,18.8,20260311,16.3,-13.4579,2026-03,高
603393.SH,20260303,97.3,20260304,40.59,20260311,40.05,-1.4904,2026-03,高
600759.SH,20260303,97.2,20260304,8.26,20260311,7.56,-8.6346,2026-03,高
002843.SZ,20260303,97.1,20260304,28.87,20260311,26.42,-8.6463,2026-03,高
600673.SH,20260303,96.9,20260309,35.0,20260316,34.98,-0.2171,2026-03,高
600744.SH,20260303,96.9,20260304,7.66,20260311,9.39,22.4249,2026-03,高
603663.SH,20260303,96.9,20260304,52.66,20260311,52.29,-0.8626,2026-03,高
002001.SZ,20260303,96.7,20260304,33.11,20260311,38.67,16.6325,2026-03,高
000988.SZ,20260303,96.6,20260304,93.85,20260311,134.88,43.5587,2026-03,高
600299.SH,20260303,96.5,20260304,11.75,20260311,14.61,24.1804,2026-03,高
603121.SH,20260303,96.4,20260309,23.13,20260316,19.34,-16.5456,2026-03,高
600803.SH,20260303,95.5,20260304,24.55,20260311,21.29,-13.439,2026-03,高
002040.SZ,20260303,95.5,20260304,12.2,20260311,11.1,-9.1764,2026-03,高
002911.SZ,20260303,95.5,20260304,17.77,20260311,15.17,-14.7914,2026-03,高
600188.SH,20260303,95.1,20260304,19.59,20260311,20.15,2.6986,2026-03,高
000554.SZ,20260303,95.0,20260304,11.93,20260311,9.72,-18.6847,2026-03,高
000968.SZ,20260303,95.0,20260304,10.58,20260311,9.61,-9.3282,2026-03,高
600236.SH,20260304,98.0,20260305,11.08,20260312,10.75,-3.1383,2026-03,高
603318.SH,20260304,97.5,20260305,10.09,20260312,8.88,-12.1521,2026-03,高
002491.SZ,20260304,97.4,20260305,12.8,20260312,11.41,-11.0194,2026-03,高
600759.SH,20260304,97.2,20260305,8.24,20260312,7.39,-10.4755,2026-03,高
603618.SH,20260304,97.2,20260305,21.3,20260312,20.23,-5.1835,2026-03,高
000988.SZ,20260304,97.1,20260305,105.0,20260312,127.9,21.6495,2026-03,高
600673.SH,20260304,96.9,20260309,35.0,20260316,34.98,-0.2171,2026-03,高
603663.SH,20260304,96.4,20260305,54.5,20260312,50.65,-7.2242,2026-03,高
603121.SH,20260304,96.4,20260309,23.13,20260316,19.34,-16.5456,2026-03,高
605366.SH,20260304,95.2,20260305,10.46,20260312,10.5,0.2224,2026-03,高
600108.SH,20260304,95.0,20260305,5.66,20260312,6.96,22.8082,2026-03,高
